short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
CERC-001,C,11.1,1.15,203.58
CERC-002,C,10.0,1.15,8.12
CERC-003,C,14.53,1.15,828.41
CERC-004,C,9999.0,1.05,779.35
CERC-005,Or,13.5,0.95,491.4
CERC-006,Knt,5.76,0.95,99.1
CERC-007,Knt,13.5,0.95,125.99
CERC-008,Or,9999.0,0.95,978.75
CERC-009,C,9999.0,0.95,1002.51
CERC-010, ,9999.0,1.15,1012.97
CERC-011,Nr,9999.0,0.95,2011.23
CERC-012,pt,0.0,0.0,167.32
CERC-013,B,0.0,0.0,33.66
CERC-014,pt,8.04,0.95,140.6
CERC-015,pt,7.65,0.95,95.95
CERC-016,Ne,7.63,0.95,158.62
CERC-017,C,8.85,0.95,84.41
CERC-018,C,12.65,0.95,103.84
CERC-019,D,14.37,0.95,148.64
CERC-020,D,11.1,0.95,105.57
CERC-021,A,4.58,0.95,46.23
CERC-022,C,7.71,0.95,98.41
CERC-023,A,0.0,0.0,38.38
CERC-024,A,13.5,0.95,22.75
CERC-025,A,9.55,0.95,53.9
CERC-026,A,0.0,0.0,20.71
CERC-027,A,10.06,0.95,22.95
CERC-028,A,9999.0,0.95,2019.59
CERC-029,A,9999.0,0.95,2074.91
CERC-030,Bg,9999.0,0.95,2141.85
CERC-031,C,9999.0,0.95,2357.59
CERC-032,A,7.59,0.95,44.49
CERC-033,A,13.43,0.95,71.82
CERC-034,A,0.0,0.0,41.81
CERC-035,A,0.0,0.0,19.07
CERC-036,A,0.0,0.0,19.64
CERC-037,A,0.0,0.0,26.6
CERC-038,A,0.0,0.0,26.44
CERC-039,A,0.0,0.0,23.53
CERC-040,B,11.43,1.15,88.48
CERC-041,pt,14.14,1.15,72.9
CERC-042,Or,11.83,1.15,84.68
CERC-043,Nd,3.32,0.95,66.35
CERC-044,Or,11.59,1.15,167.89
CERC-045,Or,7.19,1.15,78.02
CERC-046,Or,9999.0,0.95,9029.02
CERC-047,B,9.78,1.15,69.23
CERC~NO_BUILDING,,,,
