short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
GREG-001,C,0.0,1.15,6.51
GREG-002,C,20.03,1.15,628.42
GREG-003,C,14.65,1.15,277.82
GREG-004,C,14.33,1.25,156.93
GREG-005,C,11.36,1.25,84.37
GREG-006,D,0.0,0.0,44.65
GREG-007,A,9.5,0.85,35.66
GREG-008, ,0.0,0.0,63.01
GREG-009,Bg,14.2,0.85,111.22
GREG-010,C,12.4,0.85,199.11
GREG-011,Bg,14.38,0.95,121.11
GREG-012,Bg,14.48,0.95,198.33
GREG-013,B1,10.42,0.95,99.23
GREG-014,Bg,10.67,0.95,154.07
GREG-015,Or,10.36,0.95,189.58
GREG-016,Or,10.84,0.95,381.3
GREG-017,B,12.72,0.95,163.61
GREG-018, ,4.5,0.95,23.55
GREG-019, ,4.44,0.95,27.76
GREG-020, ,0.0,0.0,477.08
GREG-021,Ka,0.0,0.0,505.96
GREG-022,Ka,0.0,0.0,529.99
GREG-023,Ne,0.0,0.0,560.24
GREG-024,Ne,10.0,0.95,637.57
GREG-025,Ne,10.2,0.95,132.73
GREG-026,A,0.0,0.0,31.91
GREG-027,A,0.0,0.0,31.27
GREG-028,pt,9.42,0.95,33.0
GREG-029,pt,5.0,0.95,34.62
GREG-030,Nr,14.08,0.95,180.09
GREG-031,C,0.0,0.0,163.08
GREG-032,C,16.37,0.95,169.65
GREG-033,D,13.23,0.85,168.78
GREG-034,Bg,16.04,0.85,132.52
GREG-035,fa,12.22,0.85,254.65
GREG-036,Bg,4.3,0.95,19.86
GREG-037,Nr,10.2,0.95,130.13
GREG-038,D,6.6,0.95,90.77
GREG-039,Nr,6.84,0.95,72.41
GREG-040, ,0.0,0.95,6.31
GREG-041,Nd,4.59,0.95,101.7
GREG-042,pt,10.73,0.95,229.71
GREG-043,Knt,3.79,1.1,24.63
GREG-044,B1,11.68,1.1,49.11
GREG-045,B1,8.31,0.85,213.21
GREG-046,Bg,13.14,0.75,107.94
GREG-047,Bg,10.64,0.75,102.02
GREG-048,Bg,10.1,0.75,117.84
GREG-049,B,11.0,0.75,121.12
GREG-050,Bg,9.67,0.75,135.46
GREG-051,pt,14.54,0.75,89.13
GREG-052,Nd,13.5,0.75,64.2
GREG-053,Nd,4.44,0.75,76.16
GREG-054,pt,13.5,0.75,208.91
GREG-055,pt,12.52,0.75,8.71
GREG-056,pt,3.4,0.75,11.96
GREG-057,pt,11.25,0.75,342.05
GREG-058,pt,7.3,1.05,84.47
GREG-059,pt,9.76,1.05,144.41
GREG-060,pt,13.9,0.85,134.55
GREG-061,Ne,8.19,0.85,53.72
GREG-062,Bg,9.06,0.85,87.32
GREG-063,Nr,0.0,0.95,55.59
GREG-064,Bg,8.06,0.85,41.26
GREG-065,Bg,14.61,0.85,82.23
GREG-066, ,3.1,0.85,8.89
GREG-067,C,10.2,1.05,118.31
GREG-068,C,11.64,1.25,124.12
GREG-069,A,5.95,0.76,76.84
GREG-070,A,8.2,0.65,33.03
GREG-071,fa,8.54,0.76,35.57
GREG-072,fa,16.09,0.75,83.37
GREG-073,A,10.27,0.85,30.49
GREG-074,N,9.55,0.76,132.61
GREG-075,fa,13.67,0.85,42.58
GREG-076,fa,5.05,1.15,76.35
GREG-077,N,14.6,1.05,104.51
GREG-078,Bg,16.07,1.15,212.84
GREG-079,A,17.0,0.65,116.36
GREG-080,A,13.0,0.65,107.33
GREG-081,C,15.32,1.15,473.74
GREG-082,D,12.33,1.05,237.25
GREG-083,D,12.72,0.85,147.29
GREG-084,A1,7.73,0.75,119.52
GREG-085,A1,10.56,0.75,47.81
GREG-086,B1,14.32,0.75,157.27
GREG-087, ,11.14,0.85,98.35
GREG-088, ,11.65,0.95,21.65
GREG-089, ,10.53,0.95,33.97
GREG-090, ,10.66,0.85,48.69
GREG-091,B,13.11,0.85,42.5
GREG-092, ,12.6,0.95,36.17
GREG-093,A1,10.1,0.95,38.01
GREG-094,A1,12.38,0.85,179.34
GREG-095,SM,0.0,0.0,180.28
GREG-096,SU,0.0,0.0,199.68
GREG-097,SM,0.0,0.85,748.26
GREG-098, ,7.72,0.95,185.95
GREG-099, ,10.68,0.95,62.18
GREG-100,A1,12.98,0.95,93.55
GREG-101,C,13.0,0.95,140.31
GREG-102,C,13.6,0.95,64.38
GREG-103,A,11.24,0.95,82.7
GREG-104,A,13.3,1.0,59.31
GREG-105,A,10.96,0.95,130.99
GREG-106,Kt,11.7,0.95,63.01
GREG-107,B,15.4,0.95,164.74
GREG-108,Bg,11.57,0.95,271.65
GREG-109,C,11.68,0.95,135.8
GREG-110,B,0.0,0.0,285.57
GREG-111,B,0.0,0.0,264.5
GREG-112,B,0.0,0.0,334.41
GREG-113, ,0.0,0.0,355.53
GREG-114,C,13.7,0.97,54.14
GREG-115,C,13.15,0.95,133.81
GREG-116, ,4.1,0.95,21.24
GREG-117, ,4.7,1.15,9.59
GREG-118,Nr,9.36,1.15,156.97
GREG-119,Nr,6.6,1.15,32.91
GREG-120,Nr,6.18,0.95,359.78
GREG-121,SM,9999.0,1.25,21956.48
GREG-122,Kt,9999.0,1.15,22230.98
GREG-123,SM,9999.0,1.25,21942.84
GREG-124,B,9999.0,1.25,21847.68
GREG-125,B,0.0,0.0,64.29
GREG-126,D,13.0,1.15,59.71
GREG-127,pt,12.33,1.05,100.27
GREG-128,pt,11.0,1.05,75.49
GREG-129,Nd,3.5,0.85,20.39
GREG-130,Ne,0.0,0.85,200.52
GREG-131,Nr,9999.0,1.35,21810.1
GREG-132,Ka,6.4,1.35,91.07
GREG-133,Ne,10.29,1.05,450.5
GREG-134,pt,16.16,1.25,778.1
GREG-135,SU,8.26,1.05,118.98
GREG-136,C,0.0,1.15,702.19
GREG~NO_BUILDING,,,,
