short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MALC-001,Nr,9999.0,1.15,12971.78
MALC-002,Nr,18.35,1.15,289.21
MALC-003,Nr,17.0,1.15,769.48
MALC-004, ,15.1,0.95,120.8
MALC-005,B,10.45,1.05,124.37
MALC-006,B,9999.0,0.95,12435.72
MALC-007, ,4.4,0.95,9.09
MALC-008,Or,10.4,1.05,111.58
MALC-009,A1,9999.0,0.95,12575.36
MALC-010,C,0.0,0.0,89.95
MALC-011,B1,9.79,1.15,116.2
MALC-012,B1,0.0,0.0,122.11
MALC-013,C,9999.0,1.15,28826.38
MALC-014,C,9999.0,0.95,12837.86
MALC-015,C,8.27,1.15,231.6
MALC-016,Nd,3.77,1.15,13.52
MALC-017,Nr,9999.0,1.15,28823.8
MALC-018,Bg,9999.0,1.15,29169.12
MALC-019,Nr,9999.0,1.15,28555.98
MALC-020,Nr,4.28,1.25,36.25
MALC-021,A,7.27,0.95,99.85
MALC-022,Nr,0.0,0.0,37.17
MALC-023,A1,11.37,1.15,225.13
MALC-024,Ne,10.6,0.95,214.16
MALC-025,A1,10.63,1.15,137.95
MALC-026,pt,11.07,1.15,441.88
MALC-027,N,12.6,0.95,197.35
MALC-028,Ne,4.22,0.95,73.64
MALC-029,Bg,4.2,0.95,8.77
MALC-030,Bg,0.0,0.95,116.27
MALC-031,Kna,4.92,0.95,17.46
MALC-032,Kna,0.0,0.95,164.07
MALC-033,Bg,0.0,0.0,97.62
MALC-034,Kna,6.47,0.95,179.46
MALC-035,Kna,0.0,0.95,279.97
MALC-036,Bg,14.68,0.95,170.36
MALC-037,Kna,0.0,0.95,165.26
MALC-038,O,8.55,1.25,105.3
MALC-039,O,8.6,1.25,123.35
MALC-040,Ne,12.68,1.05,117.62
MALC-041,Nr,15.26,1.25,377.87
MALC-042,Nr,15.28,1.15,311.59
MALC-043,pt,15.73,1.05,200.12
MALC-044,Nr,9.95,1.05,237.12
MALC-045, ,15.8,1.05,150.93
MALC-046,C,15.02,0.95,557.03
MALC-047,Nr,6.6,1.15,43.25
MALC-048,Nr,7.15,1.15,55.63
MALC-049,C,8.45,0.95,401.17
MALC-050,C,12.3,1.15,192.33
MALC-051,A1,8.2,1.15,91.82
MALC-052,Nr,13.74,1.25,347.01
MALC-053,Or,10.92,1.25,178.04
MALC-054,B,7.05,1.25,51.03
MALC-055,B,13.49,1.25,55.74
MALC-056,C,8.88,1.25,53.24
MALC~NO_BUILDING,,,,
