Full_sesti,short_alias
DD1979,MART-040
DD1980,MART-040
DD1981,MART-040
DD1982,MART-040
DD1983,MART-040
DD1984,MART-039
DD1985,MART-039
DD1986,MART-038
DD1987,MART-038
DD1988,MART-074
DD1989,MART-074
DD1990,MART-073
DD1991,MART-073
DD1992,MART-099
DD1993,MART-099
DD1994,MART-099
DD1995,MART-073
DD1996,MART-074
DD1997,MART-038
DD1998,MART-039
DD1999,MART-059
DD2000,MART-059
DD2001,MART-060
DD2002,MART-060
DD2003,MART-060
DD2004,MART-037
DD2005,MART-037
DD2006,MART-037
DD2007,MART-072
DD2053,MART-173
DD2054,MART-173
DD2055,MART-173
DD2056,MART-173
DD2056A,MART-173
DD2056B,
DD2057,
DD2058,MART-054
DD2059,MART-054
DD2060,MART-054
DD2061,
DD2062,MART-055
DD2063,MART-055
DD2064,MART-055
DD2065,MART-055
DD2065A,MART-056
DD2065B,MART-056
DD2065C,MART-056
DD2066,MART-055
DD2080,MART-061
DD2081,MART-058
DD2082,MART-066
DD2083,MART-064
DD2084,MART-063
DD2085,MART-061
DD2086,MART-072
DD2086A,MART-036
DD2086B,MART-072
DD2087A,MART-036
DD2087B,MART-036
DD2088,MART-036
DD2088A,MART-036
DD2089,MART-072
DD2089A,MART-036
DD2090,MART-071
DD2090A,MART-070
DD2090B,MART-070
DD2090C,MART-070
DD2090D,MART-070
DD2090E,MART-070
DD2090F,MART-070
DD2090G,MART-034
DD2090H,MART-034
DD2090I,MART-034
DD2090M,MART-035
DD2091,MART-105
DD2091A,MART-105
DD2091B,MART-105
DD2092,MART-071
DD2092A,MART-071
DD2092B,MART-071
DD2101,MART-023
DD2102,MART-023
DD2103,MART-027
DD2104,MART-027
DD2104A,MART-026
DD2104B,MART-027
DD2104C,MART-027
DD2105,MART-026
DD2106,MART-067
DD2107,MART-067
DD2108,MART-068
DD2109,MART-068
DD2109A,MART-068
DD2110,MART-069
DD2111,MART-069
DD2112,MART-172
DD2113,MART-032
DD2114,MART-032
DD2115,MART-030
DD2116,MART-029
DD2117,MART-171
DD2117A,
DD2118,MART-171
DD2119,MART-170
DD2120,MART-170
DD2121,MART-170
DD2122,MART-020
DD2122A,MART-020
DD2122B,MART-020
DD2122C,MART-020
DD2122D,MART-020
DD2123,MART-167
DD2123A,MART-167
DD2123B,MART-167
DD2123C,MART-167
DD2123D,MART-167
DD2123E,MART-167
DD2124,MART-163
DD2125,
DD2126,MART-161
DD2127,MART-161
DD2128,MART-161
DD2129,MART-160
DD2131,
DD2132,
DD2133,
DD2134,MART-029
DD2135,MART-030
DD2136,MART-032
DD2137,
DD2196,
DD2196A,MART-132
DD2196B,MART-132
DD2196E,MART-133
DD2196F,MART-133
DD2196G,MART-166
DD2196H,MART-166
DD2201,
DD2202,MART-134
DD2204,MART-135
DD2204A,MART-135
DD2206,MART-137
DD2207,MART-137
DD2208,MART-138
DD2209,
DD2209A,
DD2210,MART-139
DD2211,MART-149
DD2212,MART-150
DD2213,MART-151
DD2214,MART-152
DD2215,MART-153
DD2216,MART-154
DD2216C,MART-137
DD2217A,MART-156
DD2217B,MART-156
DD2218,MART-147
DD2219,
DD2219A,
DD2219B,
DD2220,MART-140
DD2221,MART-141
DD2222,MART-142
DD2223,MART-142
DD2224,MART-142
DD2225,MART-142
DD2226,MART-143
DD2226A,MART-144
DD2226B,MART-145
DD2227,MART-146
