short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MART-001,Kna,8.5,4.25,155.32
MART-002,Kna,0.0,0.0,141.98
MART-003,Kna,0.0,0.0,174.34
MART-004,Kna,9999.0,0.0,193.2
MART-005,Kna,9999.0,0.0,275.6
MART-006,Kna,9999.0,0.0,525.71
MART-007,Kna,9999.0,0.0,424.81
MART-008,Kna,9999.0,4.25,1561.26
MART-009, ,9999.0,0.0,1573.09
MART-010, ,9999.0,0.0,1058.13
MART-011,Kna,9999.0,0.0,364.73
MART-012, ,9999.0,0.0,507.83
MART-013, ,0.0,3.55,274.93
MART-014,Nd,0.0,2.15,31.14
MART-015,,4.01,1.74,18.27
MART-016,Nd,0.0,2.15,69.33
MART-017,Nr,9999.0,2.05,8421.14
MART-018,,4.77,1.74,11.18
MART-019,Nr,8.3,2.15,586.07
MART-020,Nd,0.0,2.15,3.22
MART-021,SU,9999.0,1.75,7605.42
MART-022,,5.0,1.78,15.59
MART-023,Nr,16.32,1.65,541.96
MART-024,Nd,10.0,1.65,76.51
MART-025,Kna,5.8,1.25,18.18
MART-026,Kna,4.08,1.25,94.56
MART-027,Kna,4.02,1.05,65.41
MART-028,Kna,4.43,1.05,81.61
MART-029,Knt,10.54,2.65,371.43
MART-030,Knt,5.68,2.65,145.84
MART-031,Nd,8.0,2.85,194.89
MART-032,Nr,0.0,2.15,108.88
MART-033,Knt,9.48,2.35,325.34
MART-034,Knt,9.14,2.35,546.72
MART-035,Knt,10.83,2.35,402.38
MART-036,Nd,0.0,0.0,696.12
MART-037,Nd,0.0,0.0,0.0
MART-038,Nr,10.0,2.15,228.81
MART-039,Knt,6.85,2.05,275.1
MART-040,Knt,0.0,0.0,239.69
MART-041,Knt,0.0,0.0,262.11
MART-042,Knt,9999.0,2.15,1178.81
MART-043,Nr,14.08,1.75,281.24
MART-044,Nr,0.0,1.75,255.84
MART-045,Nr,13.42,1.65,135.44
MART-046,Nr,0.0,1.65,255.17
MART-047,Nr,0.0,1.75,253.31
MART-048,Nr,0.0,1.85,830.29
MART-049,Nr,0.0,1.85,1036.26
MART-050,Nr,9999.0,1.95,314.21
MART-051,Nr,9999.0,2.35,641.39
MART-052,Nr,0.0,2.05,189.32
MART-053,Nr,0.0,2.35,126.85
MART-054,Nr,0.0,2.05,170.31
MART-055,Nr,0.0,2.35,250.25
MART-056,Nr,0.0,2.35,121.91
MART-057,Nr,6.0,1.45,35.5
MART-058,Nd,4.7,1.65,11.85
MART-059,Nr,12.45,1.45,167.3
MART-060,Nr,15.35,1.45,530.36
MART-061,Nr,14.39,1.45,94.22
MART-062,Nr,6.6,1.55,55.29
MART-063,Nr,5.92,2.55,72.06
MART-064,Nd,0.0,2.05,35.03
MART-065,Nr,9.5,1.55,255.41
MART-066,Knt,9999.0,0.0,456.36
MART-067,Nd,5.4,1.55,46.07
MART-068,Nd,5.4,1.55,80.57
MART-069,Knt,9999.0,0.0,6456.08
MART-070,Knt,9999.0,1.75,401.58
MART-071,Nr,12.77,1.55,2274.32
MART-072,Knt,7.6,1.55,268.63
MART-073,Kot,0.0,4.05,23.08
MART-074,Kot,6.75,1.55,272.61
MART-075,Kot,8.28,1.65,272.92
MART-076,Kot,0.0,0.0,234.26
MART-077,Kot,0.0,0.0,182.76
MART-078,Kot,9999.0,0.0,385.39
MART-079,Kot,0.0,0.0,224.85
MART-080,Kot,0.0,0.0,273.23
MART-081,Kot,0.0,0.0,150.54
MART-082,Kot,0.0,0.0,160.9
MART-083,Kot,0.0,0.0,233.13
MART-084,Kot,0.0,0.0,183.59
MART-085,Kot,9999.0,0.0,658.66
MART-086,Kot,0.0,0.0,226.52
MART-087,Kot,0.0,0.0,149.45
MART-088,Kot,0.0,0.0,159.95
MART-089, ,0.0,4.05,35.2
MART-090,Ne,6.1,1.55,27.94
MART-091,Ne,0.0,1.35,18.62
MART-092, ,9999.0,1.75,11536.15
MART-093,Po,9999.0,1.35,9980.67
MART-094,Ne,9999.0,2.05,7909.01
MART-095,Ne,9999.0,1.45,560.7
MART-096,Nd,0.0,2.35,0.25
MART-097,Nd,5.54,1.95,58.53
MART-098,Po,5.55,1.95,48.33
MART-099,Kna,5.04,2.25,340.09
MART-100,Ne,8.44,1.15,261.64
MART-101,Nr,16.65,1.75,521.26
MART-102,Nr,12.5,1.65,82.11
MART-103,Nr,16.15,1.65,179.38
MART-104,Nr,9.38,1.55,14.02
MART-105,Nr,13.6,1.55,126.54
MART-106,Nr,19.15,1.55,130.73
MART-107,Nr,16.15,1.55,80.27
MART-108,Nr,15.77,1.45,534.21
MART-109,Nr,16.65,1.55,105.49
MART-110,Nr,12.6,1.55,77.91
MART-111,Nr,16.55,1.55,178.77
MART-112,Nr,16.65,1.55,161.99
MART-113,Nr,16.55,1.55,212.74
MART-114,Nr,12.65,1.55,61.12
MART-115,Nr,16.55,1.55,211.44
MART-116,Nr,16.55,1.55,163.78
MART-117,Nr,11.85,1.65,210.18
MART-118,Nr,4.7,1.65,46.26
MART-119,Nr,14.8,1.45,265.7
MART-120,Nr,5.38,1.65,146.08
MART-121,Nr,12.0,1.45,520.05
MART-122,Nr,16.02,1.35,175.37
MART-123,Nr,16.1,1.35,215.72
MART-124,Nr,16.1,1.35,221.98
MART-125,Nr,15.8,1.35,629.96
MART-126,Nr,16.4,1.65,503.83
MART-127,Nr,16.57,1.45,501.86
MART-128,Nr,11.82,2.05,173.58
MART-129,Nr,0.0,2.05,373.45
MART-130,Nr,10.08,2.05,148.75
MART-131,Nr,0.0,1.95,530.03
MART-132,Nr,0.0,2.05,89.79
