Full_sesti,short_alias
DD1838,NICO-070
DD1839,NICO-070
DD1840,NICO-072
DD1840A,NICO-072
DD1842,NICO-066
DD1842A,NICO-066
DD1842B,
DD1843,NICO-066
DD1844,NICO-065
DD1845,NICO-065
DD1846,NICO-065
DD1847,
DD1848,NICO-062
DD1849,NICO-062
DD1849A,NICO-062
DD1850,NICO-063
DD1850B,NICO-078
DD1850D,
DD1851A,NICO-078
DD1852,NICO-061
DD1852A,NICO-090
DD1852C,NICO-061
DD1853,NICO-061
DD1854,NICO-059
DD1854A,
DD1854B,NICO-089
DD1854D,NICO-058
DD1855,NICO-058
DD1856,NICO-058
DD1857,NICO-058
DD1858,NICO-058
DD1859,NICO-058
DD1860,NICO-058
DD1861,NICO-089
DD1862,NICO-089
DD1863,NICO-089
DD1863A,NICO-088
DD1864,NICO-087
DD1865,NICO-057
DD1866,NICO-056
DD1867,NICO-056
DD1868,NICO-055
DD1869,NICO-055
DD1870,NICO-091
DD1871,NICO-091
DD1871A,NICO-091
DD1872,NICO-092
DD1872A,NICO-092
DD1873,NICO-093
DD1874,NICO-093
DD1876,NICO-086
DD1877,NICO-086
DD1878,NICO-085
DD1879,NICO-087
DD1880,NICO-087
DD1881,NICO-084
DD1882,NICO-083
DD1883,NICO-083
DD1884,NICO-082
DD1885,NICO-082
DD1886,NICO-081
DD1887,NICO-080
DD1887A,NICO-080
DD1888,NICO-079
DD1889,NICO-079
DD1890,NICO-076
DD1891,NICO-076
DD1892,NICO-077
DD1893,NICO-077
DD1894,NICO-078
DD1895,NICO-064
DD1896,
DD1897,NICO-068
DD1898,NICO-068
DD1899,NICO-069
DD1900,NICO-073
DD1900C,NICO-073
DD1901A,NICO-075
DD1902,NICO-075
DD1903,NICO-075
DD1904,NICO-080
DD1904A,NICO-080
DD1904B,NICO-081
DD1904C,NICO-082
DD1904D,NICO-083
DD1904E,NICO-084
DD1904F,NICO-085
DD1904G,NICO-086
DD1905,NICO-075
DD1906,NICO-074
DD1907,NICO-073
DD1990B,NICO-073
DD2228,NICO-194
DD2228B,NICO-195
DD2229,NICO-193
DD2230,NICO-007
DD2231,NICO-006
DD2232,NICO-006
DD2234,NICO-004
DD2235,NICO-004
DD2237,NICO-003
DD2238,NICO-003
DD2239,NICO-002
DD2240,NICO-002
DD2240B,
DD2240C,NICO-001
DD2241,NICO-016
DD2241A,NICO-016
DD2241B,NICO-192
DD2242,NICO-016
DD2243,NICO-008
DD2243A,
DD2244,NICO-008
DD2245,NICO-009
DD2246,NICO-010
DD2247,NICO-011
DD2247A,NICO-011
DD2247B,NICO-011
DD2248,
DD2249,NICO-018
DD2250,NICO-018
DD2251,NICO-018
DD2252,NICO-184
DD2252B,NICO-184
DD2255,NICO-184
DD2256,
DD2257,NICO-019
DD2258,NICO-019
DD2259,NICO-019
DD2260,NICO-019
DD2261,NICO-019
DD2262,NICO-019
DD2263,NICO-019
DD2264,
DD2265,NICO-183
DD2265A,
DD2265B,NICO-182
DD2265C,NICO-182
DD2265D,NICO-182
DD2265E,NICO-184
DD2265F,NICO-182
DD2266,NICO-179
DD2266A,
DD2266B,NICO-180
DD2266C,NICO-181
DD2266D,NICO-198
DD2266E,NICO-198
DD2267,NICO-175
DD2268,NICO-036
DD2268A,NICO-036
DD2270,NICO-034
DD2270A,NICO-034
DD2271,NICO-020
DD2271A,NICO-020
DD2272,NICO-021
DD2272A,NICO-021
DD2272B,NICO-021
