short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
NICO-001,Nr,9.69,0.65,156.75
NICO-002,Nr,6.54,0.85,49.64
NICO-003,A1,0.0,0.0,43.77
NICO-004,A1,0.0,0.0,50.14
NICO-005,A1,0.0,0.0,25.01
NICO-006,A1,0.0,0.0,15.82
NICO-007, ,0.0,0.0,38.58
NICO-008,Ne,14.5,0.85,137.83
NICO-009,Ne,5.92,0.88,72.5
NICO-010,Koa,10.93,0.95,99.92
NICO-011,A1,5.54,0.95,49.38
NICO-012,A1,6.53,0.85,50.2
NICO-013,Koa,7.31,0.95,33.35
NICO-014,Koa,6.3,0.95,36.36
NICO-015,Ne,5.06,0.95,95.8
NICO-016,Koa,10.28,0.85,138.95
NICO-017,Knt,4.31,0.95,84.18
NICO-018,Knt,10.22,0.95,130.03
NICO-019,D,13.05,0.85,325.1
NICO-020,Nr,0.0,0.75,30.53
NICO-021,Or,15.2,0.75,198.67
NICO-022,Or,9.55,0.75,42.48
NICO-023,A,9.8,0.75,78.1
NICO-024,B1,9.85,0.75,86.42
NICO-025,A,9.9,0.75,55.07
NICO-026,Or,7.85,0.85,78.39
NICO-027,Nr,10.5,0.85,26.59
NICO-028,Nr,17.1,0.85,116.23
NICO-029,Or,4.4,0.85,23.67
NICO-030,Nr,6.65,0.85,115.93
NICO-031,Ne,4.1,0.85,33.96
NICO-032,Ne,8.5,0.85,134.25
NICO-033,Nr,4.75,0.85,62.45
NICO-034,Nr,8.1,0.75,273.5
NICO-035,Nr,13.0,0.85,119.01
NICO-036,A1,16.7,0.95,98.2
NICO-037,Ne,16.9,0.95,103.36
NICO-038,Nr,17.1,0.95,121.31
NICO-039,Bg,0.0,0.0,60.02
NICO-040,Bg,14.2,0.95,64.98
NICO-041,Bg,10.77,0.95,68.95
NICO-042,Kot,5.56,1.05,79.98
NICO-043,Kot,12.59,1.05,291.96
NICO-044, ,7.02,1.05,123.79
NICO-045,O,7.81,0.95,199.54
NICO-046,fa,14.5,0.95,86.0
NICO-047,fa,13.03,0.65,146.44
NICO-048,Bg,12.68,0.75,169.94
NICO-049,Or,9.25,0.85,66.94
NICO-050,fa,7.3,0.85,138.51
NICO-051,A1,14.5,0.95,64.48
NICO-052,A1,0.0,0.0,62.77
NICO-053,fa,12.62,1.05,67.98
NICO-054,Or,7.0,1.05,93.67
NICO-055,B,10.44,0.85,69.59
NICO-056,fa,10.57,0.85,76.64
NICO-057,Or,7.02,0.85,44.34
NICO-058,fa,11.63,0.85,195.47
NICO-059,A1,7.1,0.85,33.05
NICO-060,fa,7.74,0.85,75.13
NICO-061,fa,7.8,0.85,114.2
NICO-062,A1,9999.0,0.85,6044.3
NICO-063,A1,0.0,0.85,56.37
NICO-064,B,6.6,0.85,50.55
NICO-065,B,9999.0,0.85,6326.86
NICO-066,fa,9999.0,0.85,6346.52
NICO-067,A1,12.25,0.85,37.05
NICO-068,A1,0.0,0.85,57.2
NICO-069,B,10.7,0.85,45.57
NICO-070,SU,8.24,0.75,255.43
NICO-071,SU,26.7,1.05,47.79
NICO-072,pt,13.2,1.05,61.32
NICO-073,SU,0.0,1.05,1039.92
NICO-074,fa,11.04,0.95,57.2
NICO-075,D,10.65,0.95,88.76
NICO-076,B,9.65,0.85,50.17
NICO-077,B,7.1,0.85,54.56
NICO-078,Ne,0.0,0.85,194.06
NICO-079,B,0.0,0.0,50.99
NICO-080,A,10.8,0.85,49.38
NICO-081,A,0.0,0.0,50.53
NICO-082,A,0.0,0.0,42.75
NICO-083,A,0.0,0.0,49.75
NICO-084,A,0.0,0.0,40.51
NICO-085,A,0.0,0.0,42.99
NICO-086,A,0.0,0.0,39.91
NICO-087,Ne,15.22,0.85,232.94
NICO-088,Ne,7.37,0.85,65.07
NICO-089,B,0.0,0.85,128.22
NICO-090,Ne,0.0,0.85,52.4
NICO-091,B,6.6,0.85,91.22
NICO-092,A1,7.38,0.85,68.86
NICO-093,D,11.12,0.85,152.81
NICO-094,fa,7.45,0.85,93.87
NICO-095,fa,7.0,0.95,79.75
NICO-096,Or,10.6,1.05,109.12
NICO-097,fa,10.45,1.15,179.63
NICO-098,B1,0.0,0.0,68.59
NICO-099,Ne,6.6,0.95,74.08
NICO-100,B,7.3,1.05,82.41
NICO-101,A,6.67,1.15,105.85
NICO-102,Or,9.2,1.15,107.36
NICO-103,Or,10.55,0.95,278.17
NICO-104,pt,7.6,0.65,103.16
NICO-105,Nd,5.9,0.95,13.03
NICO-106,Nd,15.5,0.75,524.63
NICO-107,Or,8.45,1.05,10.87
NICO-108,Nd,10.7,0.75,139.55
NICO-109,Or,8.6,1.15,247.21
NICO-110,Nd,4.4,0.75,45.84
NICO-111,A,6.05,0.75,34.87
NICO-112,C,13.5,0.75,549.19
NICO-113,fa,8.9,0.95,53.15
NICO-114,fa,10.25,0.65,230.62
NICO-115,A,7.18,0.95,47.01
NICO-116,pt,13.62,0.75,756.7
NICO-117,Ne,3.9,1.07,15.54
NICO-118,pt,0.0,1.07,50.24
NICO-119,Nd,3.45,1.15,26.49
