short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
PANT-001,B,0.0,0.0,77.32
PANT-002,B,0.0,0.0,102.53
PANT-003, ,0.0,1.15,61.15
PANT-004,B,13.44,1.15,106.89
PANT-005,B,10.17,1.25,65.52
PANT-006,pt,11.08,1.25,61.77
PANT-007,A,8.24,1.25,39.36
PANT-008,A1,7.55,1.25,43.85
PANT-009,fa,10.36,1.25,97.32
PANT-010, ,7.6,1.25,65.64
PANT-011,SU,0.0,1.25,1099.11
PANT-012,SU,4.15,1.15,9.73
PANT-013,pt,4.2,1.15,88.72
PANT-014,B,7.74,1.15,103.39
PANT-015,B,7.74,1.15,83.49
PANT-016,fa,7.78,1.15,74.88
PANT-017,Nr,5.45,1.15,61.42
PANT-018,pt,10.78,1.15,117.94
PANT-019,pt,15.86,1.15,492.12
PANT-020,pt,4.15,1.15,29.19
PANT-021,Ne,12.48,1.15,109.33
PANT-022, ,11.35,1.15,119.49
PANT-023,C,18.73,1.15,205.91
PANT-024,B,0.0,0.0,142.29
PANT-025,B,15.6,1.15,635.69
PANT-026,Nd,4.35,1.15,17.76
PANT-027,pt,10.92,1.25,77.25
PANT-028,Bg,10.26,1.25,87.77
PANT-029,fa,0.0,0.0,98.2
PANT-030,fa,10.68,1.25,296.06
PANT-031,B,7.75,1.15,106.21
PANT-032,B,10.5,1.15,79.27
PANT-033,B,0.0,0.0,107.27
PANT-034,B,10.02,1.25,114.01
PANT-035,B,0.0,0.0,88.18
PANT-036,Bg,10.7,1.25,122.15
PANT-037,A1,9.38,1.25,112.67
PANT-038, ,14.22,1.25,99.2
PANT-039, ,0.0,0.0,0.0
PANT-040, ,13.28,1.25,103.27
PANT-041,pt,7.95,1.15,53.41
PANT-042,A,0.0,0.0,30.21
PANT-043,B,10.66,1.25,72.64
PANT-044,B,11.72,1.15,106.74
PANT-045,A1,8.45,1.15,82.26
PANT-046,A1,10.72,1.25,85.61
PANT-047,Or,0.0,1.25,92.33
PANT-048,pt,11.15,1.25,74.96
PANT-049,pt,15.05,1.25,344.16
PANT-050,A1,10.95,1.25,44.17
PANT-051,A1,10.27,1.25,51.41
PANT-052,fa,10.98,1.25,54.17
PANT-053,fa,10.45,1.15,120.18
PANT-054,B,14.05,1.15,63.6
PANT-055,B,0.0,0.0,61.27
PANT-056,D,13.53,1.15,120.16
PANT-057,fa,10.4,1.15,103.71
PANT-058,pt,10.34,1.15,83.04
PANT-059,fa,0.0,1.15,53.46
PANT-060,Nr,0.0,1.25,26.41
PANT-061,Ne,7.06,1.25,26.68
PANT-062,Kna,5.15,1.25,61.32
PANT-063,Nr,10.79,1.15,98.62
PANT-064,Ka,5.07,1.15,35.14
PANT-065,D,12.69,1.15,124.67
PANT-066,D,11.68,1.15,118.97
PANT-067,C,10.37,0.95,148.23
PANT-068,C,15.43,0.95,561.44
PANT-069, ,10.3,1.05,37.64
PANT-070,Bg,13.4,1.45,157.86
PANT-071,Nr,6.32,1.45,24.42
PANT-072,Or,13.3,1.45,309.87
PANT-073,Or,0.0,0.0,186.04
PANT-074,Or,11.15,1.25,199.2
PANT-075,C,11.42,1.35,148.69
PANT-076,Bg,8.55,1.35,54.01
PANT-077,A1,16.72,1.35,98.15
PANT-078,Bg,4.85,1.45,32.08
PANT-079,fa,8.37,1.35,130.13
PANT-080,C,24.36,1.35,661.29
PANT-081,fa,18.77,1.25,197.08
PANT-082,fa,10.93,1.25,203.05
PANT-083,fa,7.76,1.25,32.97
PANT-084,C,15.16,1.05,341.62
PANT-085,C,11.5,1.05,209.4
PANT-086,Bg,16.63,1.05,129.04
PANT-087,Or,10.25,1.05,91.03
PANT-088,Or,0.0,1.45,1927.15
PANT-089,C,18.62,1.15,470.58
PANT-090,Nr,14.1,1.15,175.02
PANT-091,Nd,4.0,1.31,9.08
PANT-092,pt,15.63,1.15,294.48
PANT-093,C,11.85,1.15,362.58
PANT-094,B,12.57,1.05,83.78
PANT-095,B,0.0,0.0,88.58
PANT-096,D,10.05,1.15,100.84
PANT-097,C,9.67,1.15,207.36
PANT-098,B,0.0,0.0,88.03
PANT-099,B,7.4,1.15,95.9
PANT-100,B,4.0,1.15,4.58
PANT-101,SU,5.24,1.25,69.54
PANT-102,Ne,14.51,1.25,292.4
PANT-103,Ne,8.45,1.25,22.77
PANT-104,Ne,12.66,1.25,89.76
PANT-105,pt,12.55,1.25,44.97
PANT-106,A,9.94,1.05,69.09
PANT-107,Ne,0.0,1.25,202.48
PANT-108,B,0.0,0.0,69.01
PANT-109,B,0.0,0.0,69.88
PANT-110,B,10.64,1.05,72.02
PANT-111,Bg,9.9,1.05,72.61
PANT-112,Bg,14.06,1.15,95.2
PANT-113,Bg,10.72,1.05,74.6
PANT-114, ,10.48,1.05,185.91
PANT-115,C,0.0,0.0,99.47
PANT-116, ,0.0,0.0,69.06
PANT-117,B,0.0,0.0,88.94
PANT~NO_BUILDING,,,,
