short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
SALU-001,SM,9999.0,21315.44,DD1D,3333
SALU-002,SM,9999.0,454.66,none,3333
SALU-003,Nd,4.9,11.35,none,2
SALU-004,N,9.07,269.84,none,4
SALU-005,SM,20.18,2679.98,"DD1, DD1A",7
SALU-006,SM,5.16,53.84,none,2
SALU-007,Ka,0.0,787.98,"DD17, DD2",1
SALU-008,Ka,0.0,287.79,DD3,1
SALU-009,Ka,0.0,216.41,DD16,1
SALU-010,Ka,0.0,608.51,"DD15, DD4",1
SALU-011,Ka,0.0,533.32,"DD14, DD5",1
SALU-012,Ka,0.0,454.66,"DD13, DD6",1
SALU-013,Ka,0.0,363.9,"DD12, DD7",1
SALU-014,SU,0.0,532.53,DD11,1
SALU-015,SU,0.0,148.8,DD10,1
SALU~NO_BUILDING,,,,"DD18, DD1B",
