short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
SEBA-001,pt,10.66,0.95,201.19
SEBA-002,pt,9999.0,1.15,5561.96
SEBA-003,A,9999.0,1.15,5517.26
SEBA-004,A,4.74,0.95,20.45
SEBA-005,A,4.74,0.95,20.45
SEBA-006,B,9999.0,0.95,5457.2
SEBA-007,A1,7.35,1.15,29.72
SEBA-008,A,9.45,0.95,100.93
SEBA-009,Knt,0.0,2.0,125.76
SEBA-010,Knt,0.0,2.15,32.87
SEBA-011,Knt,4.15,1.75,75.59
SEBA-012,B,10.2,1.15,61.63
SEBA-013,A,9999.0,0.95,5505.66
SEBA-014,B,10.2,0.95,113.16
SEBA-015,Knt,5.85,1.75,3.61
SEBA-016,Knt,8.15,1.15,218.0
SEBA-017,Knt,9.1,1.75,80.1
SEBA-018,B,10.54,1.05,114.8
SEBA-019,Ne,10.62,1.15,55.21
SEBA-020,B,10.0,1.05,67.65
SEBA-021,B,7.58,1.05,110.73
SEBA-022,Or,0.0,0.0,50.01
SEBA-023,Ne,9.65,1.05,102.96
SEBA-024,Or,8.07,1.05,76.54
SEBA-025,B,12.65,0.65,183.93
SEBA-026,C,12.25,0.95,314.72
SEBA-027,B,0.0,0.0,147.67
SEBA-028,C,5.2,0.95,77.83
SEBA-029,A,9999.0,1.35,3487.18
SEBA-030,fa,0.0,0.0,47.12
SEBA-031,fa,10.5,0.95,44.49
SEBA-032,fa,7.03,0.85,26.41
SEBA-033,C,9.55,0.85,252.21
SEBA-034,Nd,0.0,1.05,3066.85
SEBA-035,Nr,11.5,1.05,138.05
SEBA-036,Nd,7.9,1.65,533.93
SEBA-037,Nr,13.15,1.05,292.78
SEBA-038,Kot,14.6,1.75,1014.04
SEBA-039,Kot,6.5,1.75,172.31
SEBA-040,Nr,15.0,1.05,163.22
SEBA-041,B,9.8,1.05,90.01
SEBA-042,Nd,4.1,1.95,14.77
SEBA-043,Nd,5.3,1.95,23.5
SEBA-044,Nd,9.53,1.65,26.59
SEBA-045,Kot,14.6,1.85,1140.15
SEBA-046,Kot,9999.0,1.75,5672.14
SEBA-047,Kot,14.65,1.75,1141.91
SEBA-048, ,0.0,1.85,37.21
SEBA-049,Kot,14.7,1.85,1279.78
SEBA-050, ,9.6,1.95,28.83
SEBA-051,Ne,8.16,1.35,39.74
SEBA-052,Or,13.93,1.35,133.09
SEBA-053,Kna,9999.0,0.85,3469.54
SEBA-054,Kna,9999.0,1.15,3268.14
SEBA-055,B,6.48,1.35,54.26
SEBA-056,fa,7.12,1.15,147.21
SEBA-057,O,9999.0,0.85,3249.9
SEBA-058,D,12.25,1.35,171.24
SEBA-059,Nd,4.4,1.15,33.23
SEBA-060,Nd,0.0,1.15,41.39
SEBA-061,Nd,10.58,1.15,85.03
SEBA-062,Nd,13.75,1.19,239.59
SEBA-063,SU,14.5,1.15,534.25
SEBA-064,Nd,3.77,1.15,40.86
SEBA-065,SM,10.07,1.15,567.39
SEBA-066,Nr,12.12,1.15,469.39
SEBA-067,B1,8.35,1.15,185.3
SEBA-068,Ne,7.32,1.35,166.78
SEBA-069,Ne,8.7,1.05,186.26
SEBA-070,Ne,8.03,1.35,210.33
SEBA-071,Nr,13.65,1.15,120.22
SEBA-072,Kt,10.01,1.15,66.87
SEBA-073,Nr,5.4,1.15,113.17
SEBA-074,fa,0.0,0.0,57.27
SEBA-075,fa,0.0,0.0,54.05
SEBA-076,Ne,0.0,0.0,68.78
SEBA-077,Nd,4.7,1.15,14.36
SEBA-078,Nd,0.0,1.15,112.06
SEBA-079,Nd,8.5,1.95,87.28
SEBA-080,Nd,7.25,1.85,50.57
SEBA-081,Nd,8.7,1.75,343.83
SEBA-082,Nd,0.0,1.6,6.62
SEBA-083,Nr,0.0,1.75,691.6
SEBA-084,Nr,0.0,1.55,280.13
SEBA-085,fa,7.7,1.25,52.09
SEBA-086,B1,7.9,1.25,193.59
SEBA-087,O,7.2,1.25,126.47
SEBA-088,Nr,18.09,1.25,212.93
SEBA-089,B1,6.92,1.25,111.08
SEBA-090,B1,7.1,1.25,57.32
SEBA-091,O,4.0,1.45,24.27
SEBA-092,Nr,14.9,1.15,145.14
SEBA-093,O,6.63,1.25,383.95
SEBA-094,Or,11.05,1.15,39.42
SEBA-095,B,0.0,0.0,102.34
SEBA-096,B,0.0,0.0,60.39
SEBA-097,B,0.0,0.0,69.61
SEBA-098,B,6.6,1.05,14.15
SEBA-099,B,6.68,1.05,33.84
SEBA-100,A,8.35,1.05,38.4
SEBA-101,B,13.0,1.15,156.37
SEBA-102,Bg,13.2,1.15,114.46
SEBA-103,B,7.5,1.15,46.17
SEBA-104,B,6.45,1.15,66.93
SEBA-105,B,12.71,1.15,90.08
SEBA-106,Nd,8.25,1.95,3536.75
SEBA-107,SU,9999.0,0.95,5424.06
SEBA~NO_BUILDING,,,,
