Full_sesti,short_alias
DD267,SPIR-032
DD268,SPIR-032
DD269,SPIR-031
DD270,SPIR-043
DD270A,SPIR-043
DD271,SPIR-030
DD272,SPIR-030
DD273,SPIR-030
DD274,SPIR-028
DD275,SPIR-026
DD277,SPIR-024
DD278,SPIR-042
DD279,SPIR-041
DD279A,SPIR-041
DD280,SPIR-041
DD286,SPIR-040
DD287,SPIR-040
DD288,SPIR-040
DD290,SPIR-042
DD293,
DD294,
DD295,SPIR-034
DD298,SPIR-034
DD299,SPIR-034
DD300,SPIR-034
DD307,SPIR-035
DD308,SPIR-035
DD309,SPIR-036
DD310,SPIR-036
DD311,SPIR-038
DD311A,SPIR-037
DD312,SPIR-141
DD312A,
DD314,SPIR-142
DD314A,
DD314B,
DD316,SPIR-143
DD316A,SPIR-037
DD316B,SPIR-037
DD318,
DD319,
DD320,SPIR-016
DD321,SPIR-144
DD322,SPIR-144
DD324,SPIR-144
DD325,
DD329,SPIR-145
DD330,SPIR-145
DD331,SPIR-145
DD332,SPIR-145
DD333,SPIR-146
DD333A,SPIR-146
DD334,SPIR-146
DD334A,SPIR-147
DD335,SPIR-147
DD336,SPIR-148
DD336A,SPIR-148
DD337,SPIR-149
DD338,SPIR-149
DD339,SPIR-163
DD340,SPIR-163
DD341,SPIR-164
DD342,SPIR-164
DD343,SPIR-004
DD344,SPIR-004
DD345,SPIR-003
DD346,SPIR-003
DD347,SPIR-003
DD348,SPIR-003
DD349,SPIR-002
DD350,SPIR-165
DD351,
DD353,
DD355,SPIR-165
DD356,SPIR-165
DD357,SPIR-165
DD360,SPIR-004
DD361,SPIR-004
DD362,SPIR-005
DD363,SPIR-005
DD364,SPIR-006
DD364A,SPIR-162
DD365,SPIR-162
DD366,SPIR-115
DD368,SPIR-116
DD368A,SPIR-116
DD369,SPIR-118
DD370,SPIR-125
DD372,SPIR-126
DD373,SPIR-126
DD373A,
DD374,SPIR-126
DD375,SPIR-161
DD376,
DD376A,SPIR-154
DD376B,SPIR-154
DD377,SPIR-153
DD378,SPIR-153
DD379,SPIR-153
DD380,SPIR-007
DD381,SPIR-007
DD382,SPIR-009
DD383,SPIR-009
DD384,SPIR-009
DD385,SPIR-009
DD386,SPIR-010
DD387,SPIR-011
DD389,SPIR-011
DD390,
DD391,SPIR-012
DD392,SPIR-012
DD393,SPIR-015
DD393A,
DD393B,
DD394,
DD394A,
DD394B,
DD395,SPIR-023
DD396,SPIR-023
DD397,SPIR-139
DD398,SPIR-044
DD399,SPIR-044
DD401,SPIR-046
DD402,SPIR-046
DD404,SPIR-046
DD405,
DD405A,SPIR-138
DD406,SPIR-137
DD407,
DD410,SPIR-051
DD411,SPIR-050
DD411A,SPIR-050
DD412,SPIR-050
DD414,
DD415,SPIR-047
DD416,SPIR-048
DD417,SPIR-048
DD418,SPIR-049
DD419,SPIR-049
DD420,SPIR-049
DD421,SPIR-049
DD422,SPIR-069
DD423,SPIR-069
DD424,SPIR-069
DD426,
DD429,
DD430,
DD430A,
DD430B,
DD431,
DD432,SPIR-055
DD433,SPIR-055
DD434,SPIR-055
DD435,SPIR-055
DD436,SPIR-056
DD437,SPIR-056
DD438,SPIR-057
DD438A,
DD439,SPIR-059
DD442,SPIR-070
DD443,SPIR-070
DD444,SPIR-071
DD445,SPIR-071
DD446,SPIR-055
DD447,SPIR-055
DD448,SPIR-077
DD449,SPIR-077
DD451,SPIR-079
DD452,SPIR-080
DD453,SPIR-080
DD454,SPIR-080
DD454A,SPIR-080
DD455,
DD456,
DD457,SPIR-135
DD458,SPIR-134
DD459,SPIR-134
DD460,SPIR-133
DD461,SPIR-159
DD462,SPIR-159
DD463,SPIR-159
DD464,SPIR-158
DD465,SPIR-157
DD466,SPIR-127
DD467,SPIR-128
DD468,SPIR-129
DD469,SPIR-130
DD469A,SPIR-130
DD470,SPIR-131
DD470A,SPIR-131
DD470B,SPIR-131
DD470C,SPIR-131
DD471A,SPIR-130
DD473,SPIR-129
DD473A,SPIR-129
DD474,SPIR-128
DD475,SPIR-127
DD477,SPIR-160
DD478,SPIR-160
DD478A,SPIR-160
DD478B,SPIR-081
DD478C,SPIR-081
DD478D,SPIR-084
DD479,SPIR-125
DD480,SPIR-124
DD482,SPIR-123
DD483,SPIR-122
DD484,SPIR-121
DD485,SPIR-086
DD486,SPIR-086
DD487,SPIR-086
DD488,SPIR-086
DD489,SPIR-076
DD489A,SPIR-076
DD489B,SPIR-076
DD490,SPIR-076
DD491,SPIR-075
DD492,SPIR-074
DD492A,SPIR-074
DD492B,SPIR-088
DD492C,
DD493,SPIR-087
DD494,SPIR-087
DD495,SPIR-087
DD495A,SPIR-120
DD495B,SPIR-120
DD496,SPIR-119
DD497,SPIR-119
DD498,SPIR-119
DD498A,SPIR-119
DD499,SPIR-119
DD500,SPIR-118
DD500A,SPIR-117
DD501,SPIR-116
DD502,SPIR-111
DD504,SPIR-109
DD505,SPIR-108
DD507,SPIR-107
DD509A,SPIR-106
DD510,SPIR-090
DD511,SPIR-091
DD512,SPIR-091
DD513,SPIR-090
DD514,SPIR-089
DD515,SPIR-106
DD516,SPIR-106
DD517,SPIR-107
DD518,SPIR-109
