short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
SPIR-001,Or,12.9,1.25,61.67
SPIR-002,Or,4.6,1.25,15.63
SPIR-003,Nd,4.1,1.25,21.61
SPIR-004,A,2.57,0.95,16.11
SPIR-005,A,3.0,0.91,11.12
SPIR-006,Or,11.0,1.25,72.37
SPIR-007,A,6.58,0.95,34.02
SPIR-008,Or,13.5,1.25,94.69
SPIR-009,A,9.1,0.95,59.03
SPIR-010,Nd,10.0,0.95,152.23
SPIR-011,Nd,0.0,0.0,18.67
SPIR-012,B,0.0,0.0,47.33
SPIR-013,Nd,0.0,0.91,12.1
SPIR-014,B,0.0,0.0,38.67
SPIR-015,C,13.2,0.95,181.59
SPIR-016,B,0.0,0.0,39.28
SPIR-017,B,0.0,0.0,37.43
SPIR-018,A,0.0,0.0,35.86
SPIR-019,A1,9.73,1.39,39.27
SPIR-020,A1,6.8,1.39,53.0
SPIR-021,A1,0.0,0.0,51.74
SPIR-022,C,10.0,0.91,48.85
SPIR-023,Nd,4.42,1.15,12.72
SPIR-024,fa,8.95,1.15,39.62
SPIR-025,fa,0.0,0.0,248.23
SPIR-026,A,11.36,1.15,44.03
SPIR-027,Or,6.42,1.05,74.55
SPIR-028,fa,6.2,0.95,47.19
SPIR-029, ,5.4,0.95,7.14
SPIR-030,Or,13.64,1.15,140.76
SPIR-031,fa,9.53,0.95,119.79
SPIR-032,fa,6.53,0.95,86.89
SPIR-033,fa,8.39,1.05,115.29
SPIR-034,Nd,7.47,0.95,65.25
SPIR-035,B,0.0,0.0,61.27
SPIR-036,B,0.0,0.0,58.01
SPIR-037,Nd,0.0,0.95,9.73
SPIR-038,B,0.0,0.95,57.84
SPIR-039,Nd,4.6,1.25,12.19
SPIR-040,Knt,4.98,1.25,62.3
SPIR-041,Nd,12.25,1.25,85.25
SPIR-042,Nd,3.2,1.15,16.79
SPIR-043,Nd,3.0,1.25,17.13
SPIR-044,C,11.3,1.25,187.75
SPIR-045,C,13.3,0.85,365.5
SPIR-046,B,10.16,1.25,105.47
SPIR-047,B,10.76,1.25,106.37
SPIR-048,B,10.6,1.25,104.65
SPIR-049,A1,0.0,0.0,58.73
SPIR-050, ,13.47,1.25,56.54
SPIR-051,Ne,7.18,0.85,135.48
SPIR-052, ,7.31,1.25,49.52
SPIR-053,Nd,3.3,1.25,21.28
SPIR-054,B1,10.78,1.25,125.47
SPIR-055,Nr,6.64,1.25,162.42
SPIR-056,Bg,5.05,1.25,11.98
SPIR-057,Bg,10.0,0.95,221.57
SPIR-058,fa,14.45,0.95,216.66
SPIR-059, ,6.54,1.05,12.15
SPIR-060,SU,13.0,0.85,289.61
SPIR-061,C,12.1,0.85,101.85
SPIR-062,Bg,0.0,0.0,85.02
SPIR-063,Bg,10.12,1.25,84.63
SPIR-064,fa,10.33,1.15,162.0
SPIR-065,Nr,5.0,0.85,136.72
SPIR-066,Or,4.7,1.15,15.89
SPIR-067,Nr,15.0,1.25,256.66
SPIR-068,Or,0.0,0.85,219.09
SPIR-069,Nr,15.5,0.85,383.42
SPIR-070,fa,8.5,0.95,220.12
SPIR-071,Nd,4.5,0.95,16.59
SPIR-072,C,13.45,0.95,57.12
SPIR-073,Kt,7.12,0.95,54.21
