short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
SVIO-001,SUo,7.0,1.05,46.61
SVIO-002,SUo,8.25,1.05,39.01
SVIO-003,Ne,13.15,1.05,59.76
SVIO-004,B,0.0,1.05,309.58
SVIO-005,Ne,14.12,1.05,20.02
SVIO-006,B,0.0,1.05,131.63
SVIO-007,B,10.2,1.05,70.32
SVIO-008,Nr,3.6,1.25,49.62
SVIO-009,B,0.0,0.0,64.05
SVIO-010,B,0.0,0.0,66.81
SVIO-011,A,8.0,0.86,67.32
SVIO-012,O,0.0,0.0,87.86
SVIO-013,SUo,10.13,1.05,76.74
SVIO-014,A,8.64,1.05,32.45
SVIO-015,Nd,6.7,1.05,5.75
SVIO-016,A,7.68,1.05,31.77
SVIO-017,pt,9.9,1.15,147.24
SVIO-018,pt,8.4,1.25,45.18
SVIO-019,Nr,0.0,1.25,95.19
SVIO-020,fa,12.23,0.95,293.99
SVIO-021,B1,10.02,0.95,118.46
SVIO-022,B1,11.63,0.95,153.74
SVIO-023,A1,10.68,1.05,50.55
SVIO-024,A,0.0,0.0,40.21
SVIO-025,A,12.45,1.05,51.55
SVIO-026,Nr,0.0,0.0,64.88
SVIO-027,Ne,0.0,1.05,192.59
SVIO-028,Ne,10.5,1.05,164.92
SVIO-029,pt,12.3,1.05,78.52
SVIO-030,Kt,7.4,1.05,83.34
SVIO-031,A1,0.0,0.0,123.51
SVIO-032,Ne,0.0,1.05,220.41
SVIO-033,Kt,6.95,1.05,149.66
SVIO-034,A1,12.64,1.05,29.84
SVIO-035,Nd,3.6,1.05,11.57
SVIO-036,A,0.0,0.0,40.39
SVIO-037,Kt,5.3,1.05,50.84
SVIO-038,Bg,0.0,0.0,143.96
SVIO-039,Nr,9.0,1.05,593.09
SVIO-040,A,4.3,1.05,11.27
SVIO-041,A,11.44,1.05,26.39
SVIO-042,Nr,0.0,0.0,159.0
SVIO-043,Bg,0.0,0.0,118.05
SVIO-044,Nr,0.0,0.0,124.65
SVIO-045,Bg,0.0,0.0,134.69
SVIO-046,Nr,15.05,1.05,226.52
SVIO-047,Nr,9.6,1.05,153.59
SVIO-048,C,0.0,0.0,123.89
SVIO-049,C,15.36,1.05,142.6
SVIO-050,Nr,9999.0,1.05,237.42
SVIO-051,Bg,10.1,1.05,75.41
SVIO-052,pt,10.1,1.05,197.69
SVIO-053,A1,10.1,1.05,79.75
SVIO-054,pt,4.5,1.05,22.07
SVIO-055,A1,0.0,0.0,38.75
SVIO-056, ,9.97,1.15,98.46
SVIO-057,A,9.26,1.05,43.61
SVIO-058,A1,9.64,1.05,75.11
SVIO-059,C,9.93,1.05,67.04
SVIO-060,C,9.2,1.05,53.79
SVIO-061,C,0.0,1.05,285.78
SVIO-062,D,10.05,1.05,59.95
SVIO-063,Or,8.1,1.05,45.98
SVIO-064,D,9.15,1.05,97.57
SVIO-065,D,8.96,1.05,131.06
SVIO-066,Kna,0.0,1.05,26.04
SVIO-067,B,7.63,1.05,108.29
SVIO-068,D,12.51,1.05,168.28
SVIO-069,B,10.27,0.95,154.14
SVIO-070,B,10.36,0.85,210.75
SVIO-071,B,4.5,0.95,21.05
SVIO-072, ,6.68,0.95,43.31
SVIO-073,Nd,5.69,0.85,16.31
SVIO-074,Kt,4.5,0.85,35.95
SVIO-075,Kt,6.93,0.85,35.41
SVIO-076, ,10.0,0.95,608.15
SVIO-077, ,8.0,0.95,35.24
SVIO-078,B,8.73,0.95,144.76
SVIO-079,B,9.3,0.95,72.16
SVIO-080,B,9.4,0.95,66.04
SVIO-081,Kna/Ne,0.0,0.0,71.52
SVIO-082,Kna,7.5,0.95,40.62
SVIO-083,C,11.6,1.05,247.6
SVIO-084,Ne,10.68,1.05,126.34
SVIO-085,C,16.41,0.95,508.17
SVIO-086,C,5.8,1.05,220.32
SVIO-087,Or,3.9,0.95,35.12
SVIO-088,Or,10.65,0.95,118.54
SVIO-089,C,0.0,0.95,15.69
SVIO-090,C,5.9,0.95,23.53
SVIO-091,C,20.3,1.55,805.42
SVIO-092,C,0.0,0.95,241.36
SVIO-093,pt,0.0,0.0,110.4
SVIO-094,pt,10.78,0.95,155.89
SVIO-095,B,11.39,1.55,90.41
SVIO-096,fa,9.34,0.95,33.01
SVIO-097,Or,10.99,0.95,102.05
SVIO-098,B,8.51,1.55,58.92
SVIO-099,B,10.0,1.55,141.95
SVIO-100,A1,11.04,0.95,161.65
SVIO-101,A1,0.0,0.0,130.93
SVIO-102,pt,0.0,0.0,102.84
SVIO-103,pt,11.36,0.85,108.04
SVIO-104,pt,7.95,0.85,84.11
SVIO-105,Ne,6.25,1.55,117.13
SVIO-106,Ka,9.3,0.95,441.82
SVIO-107,Ka,0.0,0.0,190.02
SVIO-108,Ne,8.12,1.55,504.05
SVIO-109,B,0.0,0.0,31.37
SVIO-110,pt,9.4,0.85,230.2
SVIO-111,B,0.0,1.05,211.56
SVIO-112,Nr,9.76,1.7,118.92
SVIO-113, ,3.66,0.95,11.65
SVIO-114,O,10.5,1.05,91.61
SVIO-115,O,4.45,1.05,110.57
SVIO-116,D,14.45,0.95,255.99
SVIO-117,Knt,3.68,1.05,72.12
SVIO~NO_BUILDING,,,,
