short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
TROV-001,Or,16.05,1.15,222.85
TROV-002,A,13.27,1.15,33.12
TROV-003,pt,11.02,1.15,227.61
TROV-004,pt,10.77,0.95,281.16
TROV-005,D,13.0,0.95,198.97
TROV-006,A,12.36,0.95,216.37
TROV-007,B,13.67,0.95,147.63
TROV-008,fa,9.7,0.95,79.47
TROV-009,A,11.41,0.95,79.72
TROV-010,pt,10.47,0.85,198.38
TROV-011,B1,15.37,0.85,121.17
TROV-012,A,6.45,0.85,146.24
TROV-013,A,9.37,0.85,120.79
TROV-014,B,14.42,0.85,116.94
TROV-015,Ne,13.29,0.85,119.43
TROV-016,Or,13.45,0.85,123.98
TROV-017,fa,13.54,0.85,96.04
TROV-018,Bg,12.7,0.85,70.23
TROV-019,A,10.14,0.85,22.88
TROV-020,Bg,12.5,0.85,51.64
TROV-021,B,16.1,0.85,169.57
TROV-022,B,12.7,0.85,64.38
TROV-023,C,6.44,0.85,44.25
TROV-024,B,0.0,0.0,44.64
TROV-025,A,6.04,0.85,36.02
TROV-026,C,14.25,0.85,298.49
TROV-027,A,9.3,0.85,114.17
TROV-028,A,8.26,0.85,186.98
TROV-029,B,11.5,0.75,65.48
TROV-030,B,9.72,0.75,30.98
TROV-031,A1,0.0,0.0,66.75
TROV-032,A1,10.54,0.75,56.76
TROV-033,A1,0.0,0.0,63.84
TROV-034,A1,10.08,0.85,51.85
TROV-035,A1,6.63,0.75,100.19
TROV-036,pt,11.13,0.95,329.06
TROV-037,Ka/A1,8.0,0.95,47.06
TROV-038,Ka/A1,6.17,0.85,104.53
TROV-039,Kna,4.75,0.85,89.8
TROV-040,Ka/B,7.15,0.85,67.45
TROV-041,Ka,0.0,0.0,54.03
TROV-042,Ka,0.0,0.0,31.67
TROV-043,Bg,0.0,0.0,60.45
TROV-044,Bg,11.1,1.05,61.24
TROV-045,Bg,23.5,1.05,930.73
TROV-046,SU,14.48,1.15,356.45
TROV-047,fa,11.61,1.15,202.03
TROV-048,Bg,0.0,0.0,63.3
TROV-049,Bg,11.48,1.15,116.31
TROV-050,fa,12.36,1.05,102.55
TROV-051,fa,12.36,1.05,41.17
TROV-052,pt,14.0,1.05,197.52
TROV-053,C,15.9,1.05,616.81
TROV-054,C,17.0,0.95,682.33
TROV-055,pt,15.63,0.85,169.41
TROV-056,Nr,4.65,0.85,52.02
TROV-057,Bg,10.75,0.85,113.6
TROV-058,A1,6.25,0.85,54.55
TROV-059,B,11.22,0.85,45.98
TROV-060,A,12.6,0.95,27.5
TROV-061,fa,11.5,0.85,207.3
TROV-062,Ne,17.83,0.85,823.25
TROV-063,A,9.84,1.05,159.49
TROV-064, ,9.61,1.05,82.69
TROV-065,Ne,10.53,1.05,35.17
TROV-066,Ne,15.46,1.15,129.9
TROV-067,Ne,15.5,1.15,208.48
TROV-068,A,10.1,1.15,73.06
TROV-069,A,14.0,1.05,147.28
TROV-070,B,6.95,1.05,55.62
TROV-071,Nd,4.32,0.95,160.13
TROV-072,B1,0.0,0.0,147.68
TROV-073,Nr,0.0,1.05,224.06
TROV-074,A1,3.28,0.85,47.43
TROV-075,C,12.5,0.85,112.41
TROV-076,A1,12.01,0.85,219.08
TROV-077,Nr,15.27,1.2,276.21
TROV-078,fa,4.9,0.95,28.29
TROV-079,fa,4.0,0.95,30.95
TROV-080,pt,11.9,0.95,104.93
TROV-081,C,10.1,0.95,76.46
TROV-082,C,15.07,1.15,319.17
TROV-083,C,13.3,1.15,77.28
TROV-084,O,11.53,1.05,124.52
TROV-085,A,0.0,0.0,27.73
TROV-086,A,0.0,0.0,34.02
TROV-087,A,0.0,0.0,93.96
TROV-088,A,12.0,0.95,47.77
TROV-089,A,0.0,0.0,55.98
TROV-090,A,11.5,0.95,52.52
TROV-091,B,9.0,0.95,127.29
TROV-092,A,12.6,0.95,43.75
TROV-093,B,7.46,0.95,65.38
TROV-094,Bg,11.9,0.95,60.86
TROV-095,Bg,11.7,0.95,49.03
TROV-096,Bg,0.0,0.0,89.86
TROV-097,Bg,10.23,0.85,61.62
TROV-098,C,0.0,0.0,123.65
TROV-099,C,13.8,0.95,110.88
TROV-100,C,12.18,0.95,68.42
TROV-101,fa,15.3,0.95,465.27
TROV-102,Or,11.0,1.15,107.91
TROV-103,Or,15.0,1.15,190.48
TROV-104,C,15.6,1.05,249.11
TROV-105,C,17.5,1.05,286.61
TROV-106,C,11.5,1.15,254.37
TROV-107,C,10.5,1.15,302.35
TROV-108,C,11.04,1.15,166.53
TROV~NO_BUILDING,,,,
