short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
AMAV-003,Nd,0.0,0.0,0.0
AMAV-001,Nd,0.0,0.0,0.0
AMAV-006,Nd,0.0,0.0,0.0
AMAV-004,Nd,0.0,0.0,0.0
AMAV-005,Nd,0.0,0.0,0.0
AMAV-002,Nd,0.0,0.0,0.0
AMAV-009,Nd,5.5,2.65,43.63
AMAV-008,Nd,6.97,2.15,29.42
AMAV-011,Nr,5.73,1.85,191.08
AMAV-012,Nd,5.5,1.85,49.05
AMAV-019,Knt,6.61,2.15,403.33
AMAV-020,Knt,5.52,1.95,111.98
AMAV-013,Nd,5.0,1.65,52.91
AMAV-010,Nd,5.22,1.95,169.52
AMAV-015,Kna,5.64,1.75,99.82
AMAV-029,Nd,4.9,2.25,74.72
AMAV-030,Nd,5.83,2.05,161.6
AMAV-033,Kna,4.5,1.95,137.91
AMAV-026,Kna,5.3,1.95,90.39
AMAV-027,Kna,5.14,1.95,78.59
AMAV-024,Kna,0.0,1.75,229.1
AMAV-017,Kna,5.64,1.95,66.71
AMAV-018,Kna,7.6,1.55,133.28
AMAV-014,Nd,4.4,1.45,51.75
AMAV-034,Kna,7.04,1.95,234.44
AMAV-031,Kna,5.77,2.05,61.99
AMAV-032,Kna,10.04,2.05,92.32
AMAV-025,Nd,6.22,2.05,181.48
AMAV-023,Nr,4.22,1.85,22.81
AMAV-007,Kna,6.72,1.65,316.17
AMAV-021,Nr,5.03,1.85,31.45
AMAV-022,Nr,4.22,1.85,3.14
AMAV-028,Kna,4.5,1.95,39.71
AMAV-016,Nd,5.32,1.55,63.45
