Full_sesti,short_alias
GD710A,BIAG-050
GD710B,BIAG-050
GD710C,BIAG-028
GD760,BIAG-070
GD761,BIAG-069
GD772,BIAG-069
GD773,BIAG-069
GD774,BIAG-069
GD775,BIAG-069
GD776,BIAG-069
GD777,BIAG-069
GD778,BIAG-068
GD779,BIAG-068
GD780,BIAG-068
GD781,
GD782,BIAG-066
GD782A,BIAG-066
GD783,BIAG-066
GD784,BIAG-065
GD785,BIAG-064
GD786,BIAG-064
GD787,BIAG-064
GD788,BIAG-063
GD789,BIAG-063
GD789A,BIAG-063
GD789B,BIAG-059
GD790,BIAG-059
GD791,BIAG-062
GD792,BIAG-062
GD793,BIAG-062
GD794,BIAG-061
GD794A,BIAG-061
GD795,BIAG-061
GD796,BIAG-072
GD796A,BIAG-072
GD797,BIAG-018
GD797A,BIAG-018
GD798,BIAG-017
GD799,BIAG-016
GD800,BIAG-015
GD800A,BIAG-015
GD800B,BIAG-015
GD800C,BIAG-016
GD800O,BIAG-047
GD800P,BIAG-047
GD800Q,BIAG-047
GD800T,BIAG-047
GD801,BIAG-015
GD801A,BIAG-014
GD801B,BIAG-014
GD801C,BIAG-014
GD801D,BIAG-044
GD801E,BIAG-014
GD801F,BIAG-014
GD801G,BIAG-044
GD801H,BIAG-044
GD801I,BIAG-044
GD801L,BIAG-044
GD801M,BIAG-044
GD801N,BIAG-014
GD801Q,BIAG-044
GD801R,BIAG-044
GD801S,BIAG-044
GD801T,BIAG-044
GD801U,BIAG-044
GD801V,BIAG-044
GD801Z,BIAG-044
GD802,BIAG-073
GD803,BIAG-012
GD804,BIAG-012
GD805,BIAG-012
GD806,BIAG-011
GD806A,BIAG-011
GD807,BIAG-001
GD807A,BIAG-001
GD808,
GD809,
