short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
BIAG-001,Knt,0.0,0.0,24.75
BIAG-002,Nd,0.0,1.35,28.04
BIAG-003,Kna,4.68,1.35,61.0
BIAG-004,Kna,9999.0,1.85,1947.76
BIAG-005,Knt,0.0,1.25,30.76
BIAG-006,Knt,5.3,1.35,318.84
BIAG-007,Knt,6.18,1.35,101.33
BIAG-008,B,9999.0,1.11,30714.3
BIAG-009,Nr,0.0,1.25,77.28
BIAG-010,Nd,0.0,1.25,29.11
BIAG-011,Kna,0.0,1.35,216.9
BIAG-012,B,8.39,1.25,121.24
BIAG-013,Nd,0.0,1.25,24.85
BIAG-014,B1,9999.0,1.11,2414.8
BIAG-015,Kna,9999.0,1.35,2323.96
BIAG-016,Ne,9999.0,1.35,2955.6
BIAG-017,Kna,13.05,1.25,94.23
BIAG-018,Ne,6.82,1.35,107.05
BIAG-019,Ne,0.0,1.25,1041.09
BIAG-020,Knt,6.0,1.35,219.01
BIAG-021,Kna,0.0,1.25,961.55
BIAG-022,Ne,9999.0,1.38,2316.96
BIAG-023,Ne,0.0,1.25,10.45
BIAG-024,Ka,0.0,1.35,657.87
BIAG-025,Pn,0.0,1.25,244.35
BIAG-026,Ka,0.0,1.25,72.84
BIAG-027,Ka,0.0,0.0,586.35
BIAG-028,Nd,0.0,1.15,1723.9
BIAG-029,Ka,0.0,0.0,482.81
BIAG-030,Knt,0.0,1.25,34.89
BIAG-031,pt,0.0,1.35,435.08
BIAG-032,Kna,0.0,1.25,114.25
BIAG-033,Pn,0.0,1.25,344.31
BIAG-034,Nd,0.0,1.25,198.97
BIAG-035,Nd,0.0,1.25,267.58
BIAG-036,Knt,0.0,1.25,49.54
BIAG-037,Nd,0.0,1.25,175.91
BIAG-038,Nr,0.0,1.25,71.64
BIAG-039,C,0.0,1.35,428.61
BIAG-040,Nd,0.0,1.25,25.85
BIAG-041,Kna,0.0,1.25,85.25
BIAG-042,Knt,0.0,0.95,96.19
BIAG-043,Nd,0.0,1.35,10.86
BIAG-044,Nd,0.0,1.25,12.62
BIAG-045,Knt,0.0,0.0,35.48
BIAG-046,Knt,0.0,0.0,76.55
BIAG-047,Knt,0.0,0.0,75.23
BIAG-048,Knt,9999.0,0.0,3297.46
BIAG-049,Knt,9999.0,0.0,3152.3
BIAG-050,C,9999.0,0.95,28769.58
BIAG-051,Knt,9999.0,0.0,3039.98
BIAG-052,Knt,9999.0,0.0,223.12
BIAG-053,Kot,9999.0,1.35,179.44
BIAG-054,Kot,8.26,0.95,73.28
BIAG-055,Nr,9999.0,1.45,28355.1
BIAG-056,C,10.35,0.95,69.61
BIAG-057,Kot,9999.0,0.0,596.23
BIAG-058,Kot,3.8,1.35,22.38
BIAG-059,Nr,13.91,1.35,244.1
BIAG-060,Nr,10.68,1.35,154.24
BIAG-061,C,11.58,0.95,170.36
BIAG-062,Nr,14.74,1.45,864.11
BIAG-063,Nr,11.72,1.45,262.82
BIAG-064,Nr,16.1,1.45,520.41
BIAG-065,C,15.51,0.95,336.98
BIAG-066,Bg,12.02,0.95,153.56
BIAG-067,Nr,11.32,1.55,112.61
BIAG-068,Nr,8.3,1.45,245.54
BIAG-069,Bg,12.3,0.95,190.1
BIAG-070,B,11.05,0.95,349.32
BIAG-071,Nr,12.4,1.45,890.43
BIAG-072,Nr,0.0,0.95,507.78
BIAG-073,Nr,10.24,1.45,386.09
BIAG~NO_BUILDING,,,,
