short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
CONV-001, ,4.18,1.35,5.85
CONV-002,Nr,0.0,1.45,178.51
CONV-003,SP,0.0,1.75,157.64
CONV-004,Nr,0.0,1.35,5.39
CONV-005,A,0.0,1.25,32.19
CONV-006,Nr,0.0,1.75,181.18
CONV-007, ,0.0,1.55,5.96
CONV-008,SU,0.0,1.55,2707.29
CONV-009,SU,9999.0,1.35,1197.28
CONV-010, ,0.0,1.55,7.0
CONV-011,Nd,9999.0,0.95,27590.02
CONV-012,fa,9999.0,1.15,27467.04
CONV-013,D,9999.0,0.95,27528.0
CONV-014,Nd,9999.0,0.95,27588.3
CONV-015, ,3.7,1.65,10.36
CONV-016,Nr,0.0,1.65,427.52
CONV-017,Nr,3.59,1.75,41.37
CONV-018,Nr,8.2,1.15,272.43
CONV-019,Nr,4.2,1.75,116.23
CONV-020,Kna,0.0,0.75,37.32
CONV-021,Nr,0.0,1.75,194.98
CONV-022,Kna,8.0,1.15,415.73
CONV-023,A1,0.0,1.25,91.26
CONV-024,B1,0.0,1.25,127.71
CONV-025,Or,0.0,0.0,90.95
CONV-026,B,0.0,0.0,92.37
CONV-027,B,0.0,0.0,126.31
CONV-028,B,0.0,0.0,116.53
CONV-029,B,0.0,0.0,120.58
CONV-030,B,0.0,0.0,107.91
CONV-031,B,0.0,0.0,109.1
CONV-032,B,0.0,0.0,79.65
CONV-033,Nd,3.95,2.05,27.06
CONV-034,Nr,9.1,1.65,223.68
CONV-035,Nd,0.0,1.55,15.73
CONV-036,Nr,9.14,1.85,222.54
CONV-037,Kna,0.0,1.15,97.48
CONV-038,Nd,0.0,1.75,28.83
CONV-039,C,0.0,1.55,162.46
CONV-040,B,0.0,0.0,14.56
CONV-041,Nr,9999.0,1.65,27134.14
CONV-042,B,0.0,0.0,57.61
CONV-043,B,9999.0,1.05,27446.9
CONV-044,Kot,9999.0,1.15,27466.54
CONV-045,Nd,9999.0,1.65,26226.14
CONV-046,A,9999.0,1.55,27153.3
CONV-047,Kot,3.99,0.95,32.23
CONV-048,A,8.98,1.05,29.69
CONV-049,A,9999.0,1.05,94.55
CONV-050,fa,9999.0,1.25,25854.8
CONV-051,D,12.44,0.95,168.84
CONV-052,Nr,9999.0,0.95,27439.42
CONV-053,fa,9.17,1.25,22.75
CONV-054,pt,5.33,1.05,60.2
CONV-055,Nd,4.28,1.05,47.97
CONV-056, ,10.5,0.95,295.26
CONV-057,pt,9.78,0.95,89.85
CONV-058,Nr,4.3,1.05,77.22
CONV-059,Nr,7.6,1.05,149.86
CONV-060, ,5.07,0.95,54.19
CONV-061,Nr,4.37,1.05,0.67
CONV-062,A,8.75,0.95,73.55
CONV-063,Nd,0.0,0.82,50.3
CONV-064,Nr,8.68,1.05,47.46
CONV-065,Ne,7.5,1.05,65.62
CONV-066,Nr,7.92,0.95,148.36
CONV-067,Nd,4.61,1.15,25.42
CONV-068,Nd,0.0,1.55,462.16
CONV-069,Nd,0.0,1.45,117.92
CONV-070,Nd,0.0,1.35,15.77
CONV-071,Nd,4.18,1.35,15.3
CONV-072,Kna,0.0,1.25,1309.5
CONV-073,Nd,0.0,1.05,11.69
CONV-074,Kna,0.0,1.05,889.54
CONV-075,Kna,0.0,1.55,224.13
CONV-076,Kna,0.0,1.15,668.27
CONV-077,Kna,0.0,1.15,68.84
CONV-078,Kna,0.0,0.85,215.39
CONV-079,Kna,9999.0,1.25,25108.42
CONV-080,Kna,9999.0,1.25,25399.14
CONV-081,Nr,12.16,1.75,336.99
CONV-082,Nr,9999.0,1.75,26226.02
CONV-083,Nr,9999.0,1.45,26296.74
CONV-084,Nr,15.5,1.45,342.7
CONV-085,Nr,12.25,1.45,342.5
CONV-086,Nr,12.25,1.45,344.09
CONV~NO_BUILDING,,,,
