short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
EUFE-001,pt,7.42,0.85,32.67
EUFE-002,pt,11.0,0.95,184.41
EUFE-003,A,6.18,0.85,168.0
EUFE-004,pt,6.7,0.85,97.56
EUFE-005,pt,7.48,0.85,86.97
EUFE-006,Nd,0.0,0.85,11.83
EUFE-007,pt,7.57,1.25,40.66
EUFE-008,pt,0.0,1.25,131.22
EUFE-009,Ne,4.54,1.25,65.32
EUFE-010,B,10.1,1.05,176.15
EUFE-011,B,2.95,1.05,94.74
EUFE-012,B,6.6,1.05,108.0
EUFE-013,pt,0.0,1.15,664.92
EUFE-014,Kna,0.0,1.15,199.41
EUFE-015,SM,10.62,1.24,339.48
EUFE-016,Kna,11.1,1.37,292.8
EUFE-017,Nr,4.53,1.35,78.77
EUFE-018,N,9.47,1.55,261.86
EUFE-019,Ka,0.0,1.35,32.38
EUFE-020,Kna,10.48,1.05,221.01
EUFE-021,Kna,0.0,1.05,409.15
EUFE-022,Kna,7.5,1.05,114.72
EUFE-023,Kna,0.0,1.25,578.81
EUFE-024,Kna,14.37,1.25,591.02
EUFE-025,Kna,10.1,1.25,998.4
EUFE-026,Nd,4.46,1.25,11.57
EUFE-027,Knt,4.16,1.25,38.58
EUFE-028,Knt,7.51,1.25,161.09
EUFE-029,Knt,7.91,1.25,168.0
EUFE-030,Knt,9.35,1.25,240.81
EUFE-031,Knt,5.5,1.25,106.28
EUFE-032,pt,9999.0,0.0,313.27
EUFE-033,Knt,0.0,1.25,32.69
EUFE-034,pt,3.5,1.25,152.1
EUFE-035,Nd,6.04,0.95,268.65
EUFE-036,fa,3.6,0.95,52.2
EUFE-037,Nr,5.32,0.95,151.01
EUFE-038,Nr,8.0,1.45,117.71
EUFE-039,Knt,7.3,1.35,217.33
EUFE-040,B,9.0,1.35,90.69
EUFE-041,Nd,5.95,1.15,27.79
EUFE-042,Nd,9.61,1.15,12.24
EUFE-043,Nd,3.7,1.15,20.71
EUFE-044,Nd,11.0,1.15,440.42
EUFE-045,Nr,0.0,1.35,572.33
EUFE-046,Nr,10.36,1.35,122.84
EUFE-047,A1,9999.0,0.0,471.76
EUFE-048,Nr,10.56,1.15,161.57
EUFE-049,Nr,11.07,1.15,84.71
EUFE-050,Nr,11.65,1.25,250.15
EUFE-051,Nr,11.97,1.15,194.77
EUFE-052,Nr,11.55,1.15,164.85
EUFE-053,Nr,12.35,1.45,148.6
EUFE-054,Or,10.3,1.45,67.8
EUFE-055,Or,0.0,1.45,257.48
EUFE-056,fa,7.18,1.45,84.83
EUFE-057,fa,7.46,1.45,38.53
EUFE-058,A,4.65,1.45,26.65
EUFE-059,fa,9.14,0.95,22.3
EUFE-060,fa,10.03,0.95,211.94
EUFE-061,Nd,0.0,0.95,336.82
EUFE-062,Kt,0.0,0.95,76.09
EUFE-063,fa,7.65,1.25,155.16
EUFE-064,pt,6.83,1.25,191.31
EUFE-065,Knt,0.0,1.75,260.37
EUFE-066,fa,8.07,1.45,161.15
EUFE-067,Knt,0.0,1.75,217.26
EUFE-068,A1,12.78,1.45,144.69
EUFE-069,A1,9999.0,1.45,139.51
EUFE-070,Nd,8.14,1.45,22.73
EUFE-071,Knt,7.58,1.45,168.78
EUFE-072,Knt,10.8,1.45,100.63
EUFE-073,Nd,3.5,1.65,13.28
EUFE-074,A1,4.19,1.65,25.71
EUFE-075,Nd,0.0,1.65,7.18
EUFE-076,B1,6.7,1.75,66.07
EUFE-077,B1,6.52,1.75,68.43
EUFE-078,Nd,4.04,1.65,37.7
EUFE-079, ,3.5,1.65,7.78
EUFE-080,Nr,14.24,1.15,1139.9
EUFE-081,B1,10.0,1.25,132.32
EUFE-082,C,0.0,1.25,86.24
EUFE-083,fa,7.6,1.15,197.21
EUFE-084,fa,4.47,1.15,64.45
EUFE-085,fa,10.03,1.15,80.87
EUFE-086,Nr,8.28,1.15,94.47
EUFE-087,A1,9999.0,1.05,4621.98
EUFE-088,Nd,3.84,1.95,9.62
EUFE-089,Nd,3.5,1.05,129.14
EUFE-090,pt,3.47,1.05,11.43
EUFE-091,pt,6.7,1.05,61.74
EUFE-092,Nr,0.0,1.05,20.49
EUFE-093,Nr,8.5,1.05,110.71
EUFE-094,Ne,0.0,1.15,370.32
EUFE-095,Ne,12.34,1.15,231.34
EUFE-096,Ne,10.3,1.17,126.1
EUFE-097,Nr,8.54,1.17,106.72
EUFE-098,Ne,10.26,1.44,82.38
EUFE-099,C,0.0,1.15,103.57
EUFE-100,A,9.0,1.44,100.68
EUFE-101,Nr,9.67,1.15,164.09
EUFE-102,Nr,8.44,1.15,67.23
EUFE-103,Knt,4.5,1.15,624.71
EUFE-104,A1,9999.0,0.0,217.33
EUFE-105,Nr,5.26,1.25,102.37
EUFE-106,Nr,4.52,1.25,25.51
EUFE-107,pt,10.03,1.25,73.37
EUFE-108,Nr,8.64,1.25,109.5
EUFE-109,Nr,8.74,1.25,87.39
EUFE-110,Nr,11.44,1.25,102.79
EUFE-111,Knt,0.0,1.23,22.05
EUFE-112,Nr,0.0,1.35,246.81
EUFE-113,Knt,5.93,1.55,91.4
EUFE-114,Knt,7.15,1.65,38.93
EUFE-115,A,9999.0,1.35,137.07
EUFE-116,A,9.82,1.35,60.51
EUFE-117,Or,9.97,1.35,83.87
EUFE-118,A,9999.0,1.35,140.19
EUFE-119,A1,9999.0,1.35,118.79
EUFE-120,Nr,8.62,1.45,107.15
EUFE-121,Ka,4.43,0.85,466.19
EUFE-122,Knt,5.0,1.55,259.85
EUFE-123,Bg,4.28,1.15,36.16
EUFE-124,Knt,3.5,1.23,59.44
EUFE-125,C,16.1,0.95,436.79
EUFE-126,Bg,9.94,0.85,259.08
EUFE-127,Bg,10.0,0.85,223.09
EUFE-128,B,7.31,1.15,151.3
EUFE-129,A,9999.0,0.85,609.84
EUFE-130,A,11.31,0.85,243.78
EUFE-131,Bg,7.18,0.95,214.4
EUFE-132,A,9.08,0.85,81.01
EUFE-133,pt,0.0,1.15,2532.78
EUFE-134,Nd,8.54,1.25,291.1
EUFE-135,Nd,0.0,1.25,80.24
EUFE-136,Kt,6.4,1.25,133.61
EUFE-137,Nd,4.13,1.15,20.06
EUFE-138,Nr,11.51,1.15,195.52
EUFE-139,Nd,4.08,1.15,23.78
EUFE-140,Nr,0.0,1.15,367.97
EUFE-141,Nd,4.24,1.15,8.75
EUFE-142,Nr,4.61,1.15,11.39
EUFE-143,Nr,12.38,1.25,397.57
EUFE-144,Nr,13.4,1.15,178.65
EUFE-145,Nr,9999.0,1.25,1876.47
EUFE-146,Nr,9.95,1.45,154.87
EUFE-147,Nr,5.0,1.55,297.65
EUFE-148,fa,10.5,1.15,526.59
EUFE-149,A1,7.0,1.05,162.82
EUFE-150,A1,7.3,1.05,52.68
EUFE-151,Nr,3.15,1.05,16.05
EUFE-152,fa,3.84,1.05,100.48
EUFE-153,Nr,16.78,0.85,428.35
EUFE-154,A,10.99,0.85,58.83
