short_alias,list_of_addresses
FISO-001,none
FISO-002,"GD1, GD2, GD3, GD4, GD5, GD6, GD7"
FISO-003,none
FISO-004,GD3
FISO-005,"GD5, GD7"
FISO-006,"GD1, GD12, GD13"
FISO-007,"GD1, GD10, GD11, GD3, GD5, GD6, GD7, GD8, GD9"
FISO-008,"GD1, GD2, GD3, GD4, GD6"
FISO-009,"GD1, GD2, GD3, GD4, GD5"
FISO-010,"GD1, GD3"
FISO-011,"GD11, GD50, GD9"
FISO-012,"GD5, GD7"
FISO-013,"GD1, GD3"
FISO-014,"GD2, GD4"
FISO-015,GD3
FISO-016,GD1
FISO-017,none
FISO-018,GD7
FISO-019,"GD1, GD3, GD5"
FISO-020,"GD1, GD2, GD3, GD4, GD5"
FISO-021,"GD1, GD2"
FISO-022,GD10
FISO-023,"GD6, GD8"
FISO-024,"GD2A, GD4"
FISO-025,"GD1, GD1A, GD2, GD3"
FISO-026,none
FISO-027,none
FISO-028,none
FISO-029,none
FISO-030,none
FISO-031,none
FISO-032,none
FISO-033,"GD1A, GD1B"
FISO-034,"GD1, GD1A, GD1B"
FISO-035,none
FISO-036,none
FISO-037,GD3
FISO-038,GD7
FISO-039,GD5
FISO-040,"GD1, GD8"
FISO-041,none
FISO-042,GD2
FISO-043,"GD10, GD12, GD14, GD16, GD18, GD24B, GD28, GD30, GD4, GD9"
FISO-044,"GD1, GD11, GD13, GD2, GD4, GD6, GD8, GD9"
FISO-045,"GD2, GD4, GD6"
FISO-046,GD4
FISO-047,"GD11, GD7, GD9"
FISO-048,none
FISO-049,GD8
FISO-050,"GD32, GD34"
FISO-051,"GD1, GD2, GD3, GD4, GD5, GD6, GD7"
FISO-052,GD7
FISO-053,none
FISO-054,GD30A
FISO-055,"GD29, GD30"
FISO-056,GD11
FISO-057,GD9
FISO-058,GD1
FISO-059,GD2
FISO-060,"GD3, GD5, GD6, GD7"
FISO-061,"GD1, GD19, GD3"
FISO-062,none
FISO-063,GD3
FISO-064,GD1
FISO-065,GD5
FISO-066,GD1
