Full_sesti,short_alias
GD373B,JUNG-006
GD373C,JUNG-006
GD373D,JUNG-006
GD373E,JUNG-006
GD373F,JUNG-006
GD373R,JUNG-006
GD378,JUNG-014
GD378A,JUNG-013
GD378B,JUNG-013
GD379,JUNG-015
GD380,JUNG-015
GD381,JUNG-015
GD381A,
GD382,JUNG-017
GD383,JUNG-017
GD384,JUNG-017
GD384A,
GD385,JUNG-015
GD386,JUNG-015
GD387,JUNG-015
GD388,JUNG-015
GD389,JUNG-014
GD390,JUNG-013
GD391,JUNG-013
GD392,JUNG-002
GD392A,JUNG-002
GD394,JUNG-012
GD395,JUNG-012
GD396,JUNG-012
GD396A,JUNG-012
GD396B,JUNG-016
GD397,JUNG-016
GD397A,JUNG-016
GD398,JUNG-016
GD399,JUNG-016
GD400,JUNG-011
GD402,JUNG-001
GD487,JUNG-002
GD487A,JUNG-002
GD487B,JUNG-002
GD488,JUNG-002
GD488A,JUNG-002
GD489,
GD489A,JUNG-008
GD489B,JUNG-008
GD489C,JUNG-008
GD490,JUNG-008
GD490A,
GD490B,
GD491,
GD491A,
GD491B,JUNG-008
GD491C,JUNG-008
GD491D,JUNG-008
GD493,JUNG-008
GD493A,JUNG-008
GD493B,JUNG-008
GD493C,JUNG-008
GD493D,JUNG-008
GD494,JUNG-009
GD494A,JUNG-009
GD494B,JUNG-009
GD494C,JUNG-009
