short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
JUNG-001,Nd,14.9,1.35,54.84
JUNG-002,Nr,0.0,1.65,431.7
JUNG-003,Ne,0.0,1.65,702.0
JUNG-004,Nr,17.5,1.55,605.51
JUNG-005,Nr,9999.0,1.75,25069.2
JUNG-006,Nr,10.0,1.55,1112.69
JUNG-007,Nr,8.15,1.55,103.1
JUNG-008,Nr,8.9,1.55,184.09
JUNG-009,A,14.0,0.95,213.06
JUNG-010,A,7.0,0.95,63.68
JUNG-011,A,9999.0,0.0,1356.19
JUNG-012,A1,9999.0,0.95,1139.2
JUNG-013,Nr,0.0,1.65,1159.41
JUNG-014,Ne,0.0,1.25,1944.41
JUNG-015,Nd,3.9,1.65,223.25
JUNG-016,Nr,5.7,1.45,170.44
JUNG-017,Nd,8.7,1.45,45.49
JUNG~NO_BUILDING,,,,
