short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
REDE-001,Nd,4.36,0.95,12.64
REDE-002,Ne,8.32,0.95,103.5
REDE-003,pt,10.19,1.05,283.33
REDE-004,pt,10.08,0.95,189.79
REDE-005,fa,9.67,1.25,97.14
REDE-006,C,4.5,1.25,21.86
REDE-007,Bg,10.46,0.75,109.88
REDE-008,Bg,0.0,0.0,104.93
REDE-009,Bg,0.0,0.0,110.09
REDE-010,Bg,0.0,0.0,109.65
REDE-011,Bg,0.0,0.0,116.84
REDE-012,Bg,9.35,0.75,51.33
REDE-013,A1,12.41,0.75,105.41
REDE-014,B,12.63,0.75,154.26
REDE-015,A,9.66,0.75,57.81
REDE-016,Kna,3.8,0.75,62.35
REDE-017,pt,0.0,0.75,134.88
REDE-018,D,12.5,0.75,308.34
REDE-019,Kna,8.47,1.45,142.55
REDE-020, ,0.0,1.45,6.45
REDE-021,Kna,9999.0,1.45,14980.22
REDE-022,Ka,9999.0,1.25,14784.7
REDE-023,Ka,0.0,1.25,135.2
REDE-024,Ka,7.68,1.25,85.49
REDE-025,Kna,9999.0,1.25,14618.7
REDE-026, ,8.27,1.55,247.59
REDE-027,Kna,9999.0,1.15,14516.72
REDE-028,Kna,8.08,1.15,1540.06
REDE-029,Kna,10.69,1.05,2565.57
REDE-030,Kna,6.45,1.15,4241.35
REDE-031,Nd,4.0,1.15,114.74
REDE-032,Kna,0.0,1.25,45.26
REDE-033,Kna,4.87,1.25,159.33
REDE-034,Kna,4.42,1.25,61.95
REDE-035,Kna,4.05,1.15,134.35
REDE-036,Kna,6.25,1.15,267.56
REDE-037,fa,6.13,1.25,165.52
REDE-038,Kot,9999.0,1.25,12265.8
REDE-039,Nr,9999.0,1.15,11881.0
REDE-040,Nd,4.55,0.95,84.34
REDE-041,Knt,3.77,0.95,124.22
REDE-042,Nd,4.0,0.95,12.03
REDE-043,Nd,4.0,0.95,36.18
REDE-044,Nd,11.64,0.95,110.96
REDE-045,Knt,3.48,0.95,76.16
REDE-046,Nr,11.9,1.05,246.81
REDE-047,Nr,6.0,1.25,48.95
REDE-048,Nr,0.0,1.25,22.61
REDE-049,Nr,0.0,1.25,80.88
REDE-050,Nr,0.0,0.0,77.77
REDE-051,Ne,0.0,0.0,78.95
REDE-052,Ne,0.0,0.0,78.29
REDE-053, ,3.6,1.35,27.11
REDE-054,Ne,0.0,1.15,783.38
REDE-055,Nr,15.6,1.15,169.82
REDE-056,Nr,15.6,1.15,174.93
REDE-057,Nd,4.08,1.35,15.97
REDE-058,fa,12.17,1.25,342.85
REDE-059,Nd,4.35,1.25,7.89
REDE-060,Nr,9999.0,1.35,10479.3
REDE-061,Nr,9999.0,1.15,10036.34
REDE-062,Nr,0.0,1.15,515.72
REDE-063,SM,9999.0,1.45,9566.32
REDE-064,Nr,10.2,1.15,86.73
REDE-065,Nd,3.5,1.35,28.57
REDE-066,Ne,0.0,0.0,70.0
REDE-067,Ne,0.0,0.0,74.71
REDE-068,Ne,0.0,0.0,76.32
REDE-069, ,3.7,1.55,15.87
REDE-070, ,3.45,1.35,8.79
REDE-071,Ne,0.0,0.0,69.56
REDE-072,Ne,0.0,0.0,75.36
REDE-073,Ne,0.0,0.0,76.75
REDE-074,Nr,11.08,0.95,1103.56
REDE-075,Nr,11.78,1.05,249.63
REDE-076, ,3.76,0.85,55.07
REDE-077,SM,12.24,1.05,687.83
REDE-078,SM,8.38,0.85,302.64
REDE-079,Knt,13.26,0.85,147.27
REDE-080,B,12.52,0.85,478.0
REDE-081,Kna,7.72,1.15,605.05
REDE-082,Kna,6.41,1.15,255.95
REDE-083,C,8.43,0.85,227.68
REDE-084,A,6.14,0.85,42.72
REDE-085,SM,12.52,0.85,498.04
REDE-086,SM,7.54,0.85,1037.18
REDE-087,Nr,11.06,1.05,263.32
REDE-088,Nd,0.0,0.0,139.53
REDE-089,Nd,13.0,1.2,16.02
REDE-090,Knt,4.4,1.1,159.92
REDE-091,Knt,4.4,1.1,58.01
REDE-092,Knt,6.12,1.05,87.39
REDE-093,pt,9.42,0.85,494.15
REDE-094,pt,4.22,1.35,18.14
REDE-095,Nd,4.03,1.25,13.04
REDE-096,Nd,5.12,1.15,11.1
REDE-097,Nd,9999.0,1.15,475.7
REDE-098,Kt,9.86,1.15,85.9
REDE-099,Kt,6.92,1.35,75.19
REDE-100,pt,0.0,1.35,2339.27
REDE-101,SU,0.0,1.05,85.87
REDE-102,SU,0.0,1.05,9.54
REDE-103,Knt,5.6,1.05,197.12
REDE-104,Knt,6.34,1.05,219.99
REDE-105,Knt,4.21,1.15,35.72
REDE-106,Nr,7.78,1.15,55.34
REDE-107,Ne,9.11,1.15,119.65
REDE-108,Ne,9.22,1.15,151.11
REDE-109,Ne,9.93,1.15,197.99
REDE-110,B,8.53,1.25,72.72
REDE-111,B,0.0,1.35,41.7
REDE-112,B,0.0,1.35,41.7
REDE-113,A,6.9,1.35,68.6
REDE-114,pt,9999.0,0.0,127.48
REDE-115,A,0.0,0.0,38.85
REDE-116,A,0.0,0.0,47.44
REDE-117,B,6.59,0.85,86.08
REDE-118,B,4.42,0.85,118.83
REDE-119, ,8.42,1.35,193.35
REDE-120,Nd,4.43,1.35,16.58
REDE-121, ,4.67,1.45,150.78
REDE-122,SM,3.35,1.5,52.83
REDE-123,SM,5.79,1.45,240.97
REDE-124,SM,4.44,1.45,286.86
REDE-125,Nd,4.62,1.45,12.63
REDE-126,Nd,5.14,1.25,27.62
REDE-127,Nd,5.91,1.05,28.26
REDE-128,A,0.0,0.0,25.51
REDE-129,A,0.0,0.0,28.76
REDE-130,A,0.0,0.0,29.86
REDE-131,Knt,7.55,1.05,31.83
REDE-132,A,0.0,0.0,49.8
REDE-133,A,0.0,0.0,48.5
REDE-134,A,0.0,0.0,51.36
REDE-135,A,6.9,0.95,54.52
REDE-136,Nr,11.2,1.05,122.16
REDE-137,Knt,6.18,1.05,183.92
REDE-138,Knt,6.52,1.05,431.5
REDE-139,Knt,4.36,1.05,116.05
REDE-140,Kna,9.2,1.05,303.84
REDE-141,Kna,11.95,1.05,220.29
REDE-142,Knt,4.7,0.95,43.14
REDE-143,Nr,11.3,0.95,232.78
REDE-144,Nr,8.68,0.95,120.1
REDE-145,Kna,3.6,1.05,18.57
REDE-146,Kna,3.97,1.05,58.48
REDE-147,Nr,10.18,1.05,51.62
REDE-148,A1,7.58,0.85,79.84
REDE-149,A1,0.0,0.0,59.17
REDE-150,Ne,8.04,0.85,137.91
REDE-151,Ne,10.91,0.85,92.24
REDE-152,pt,6.57,0.85,144.9
REDE-153,Kna,8.78,1.05,365.75
REDE-154,pt,11.1,1.05,91.56
REDE-155,Kt,6.86,1.05,360.84
REDE-156,SU,15.43,1.05,2016.04
REDE-157,Ka,6.85,0.85,459.6
REDE-158,B,13.11,0.95,338.85
REDE-159,Nr,0.0,1.05,500.21
REDE-160,pt,8.25,0.85,90.72
REDE-161,B,13.92,0.85,98.19
REDE-162,pt,11.6,1.05,129.67
REDE-163,pt,11.6,0.85,116.93
REDE~NO_BUILDING,,,,
