short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
SACB-001,Nd,3.2,7.23,none,2
SACB-007,Nd,4.76,47.9,none,2
SACB-004,Nd,3.73,7.97,none,2
SACB-006,Kna,4.55,164.32,none,2
SACB-002,Nd,5.85,31.29,none,2
SACB-003,Kna,3.88,54.22,none,2
SACB-005,Kna,5.22,134.45,none,2
SACB-009,Nd,3.7,3.88,none,2
SACB-008,Nd,4.5,25.04,none,2
SACB-010,Nd,5.4,218.27,none,2
SACB-011,Nd,3.95,12.07,none,2
SACB-013,Kna,4.46,63.17,none,2
SACB-014,Nd,3.38,19.39,none,2
SACB-015,Nd,3.58,16.03,none,2
SACB-012,Kna,6.17,262.81,none,3
