Full_sesti,short_alias
GD1,
GD2,
GD3,
GD4,
GD5,
GD6,ZITT-166
GD7,ZITT-165
GD8,ZITT-164
GD9,ZITT-164
GD10,ZITT-163
GD11,ZITT-162
GD12,ZITT-162
GD13,ZITT-162
GD14,ZITT-162
GD16,
GD17,ZITT-159
GD18,ZITT-159
GD18A,ZITT-159
GD19,ZITT-159
GD20,ZITT-160
GD21,ZITT-160
GD22,ZITT-160
GD23,ZITT-161
GD24,ZITT-161
GD24A,ZITT-161
GD25,ZITT-161
GD26,ZITT-161
GD27,
GD32,ZITT-153
GD33,ZITT-153
GD34,ZITT-153
GD35,ZITT-153
GD36,
GD37,ZITT-149
GD38,ZITT-149
GD39,ZITT-149
GD40,ZITT-148
GD40A,ZITT-148
GD41,ZITT-148
GD43,ZITT-146
GD45,ZITT-146
GD46,ZITT-146
GD47,ZITT-146
GD48,ZITT-144
GD49,ZITT-144
GD50,ZITT-144
GD51,ZITT-144
GD52,ZITT-144
GD52A,ZITT-143
GD53,ZITT-144
GD53A,ZITT-143
GD53B,ZITT-142
GD53C,ZITT-142
GD53D,ZITT-139
GD53E,ZITT-139
GD53F,ZITT-139
GD53G,ZITT-139
GD53H,ZITT-141
GD53I,ZITT-139
GD53L,
GD53M,ZITT-139
GD53N,ZITT-139
GD53O,ZITT-139
GD53P,ZITT-139
GD53Q,ZITT-139
GD53R,ZITT-139
GD53S,ZITT-139
GD53T,ZITT-139
GD53U,ZITT-139
GD53V,
GD53Z,
GD54,ZITT-121
GD54A,ZITT-121
GD54B,ZITT-121
GD54C,ZITT-121
GD54D,ZITT-121
GD54E,ZITT-121
GD54F,
GD54G,ZITT-139
GD54H,ZITT-139
GD54I,ZITT-139
GD54J,ZITT-139
GD54L,ZITT-139
GD54M,ZITT-139
GD54N,
GD54O,ZITT-139
GD54P,
GD54Q,ZITT-137
GD54R,
GD54S,ZITT-173
GD55,ZITT-120
GD55A,ZITT-120
GD55B,ZITT-120
GD56,ZITT-120
GD57,ZITT-120
GD58,ZITT-120
GD58A,ZITT-120
GD58B,ZITT-120
GD58C,ZITT-120
GD58D,ZITT-120
GD58E,ZITT-120
GD58F,ZITT-120
GD58G,ZITT-120
GD58H,ZITT-120
GD58I,ZITT-120
GD60,ZITT-120
GD61,ZITT-120
GD62,ZITT-120
GD63,ZITT-120
GD63A,ZITT-120
GD63B,ZITT-120
GD63C,ZITT-120
GD63D,ZITT-120
GD63E,ZITT-120
GD63F,ZITT-120
GD63G,ZITT-120
GD64,ZITT-120
GD65,ZITT-120
GD66,ZITT-119
GD67,ZITT-119
GD67A,ZITT-119
GD67B,ZITT-119
GD68,ZITT-118
GD69,ZITT-118
GD70,ZITT-118
GD71,ZITT-118
GD71A,ZITT-118
GD72,ZITT-114
GD73,ZITT-114
GD74,ZITT-115
GD75,ZITT-115
GD76,ZITT-117
GD77,ZITT-116
GD78,ZITT-116
GD79,ZITT-116
GD80,ZITT-116
GD81,ZITT-116
GD82,ZITT-116
GD83,ZITT-116
GD83A,ZITT-103
GD83B,ZITT-104
GD83C,ZITT-104
GD83D,ZITT-106
GD83E,
GD83F,
GD83G,ZITT-116
GD83H,ZITT-116
GD83I,ZITT-116
GD84,ZITT-102
GD85,ZITT-102
GD86,ZITT-102
GD87,ZITT-102
GD88,ZITT-102
GD89,ZITT-100
GD89A,ZITT-107
GD89B,ZITT-066
GD89C,ZITT-065
GD89D,ZITT-045
GD89E,ZITT-046
GD89F,ZITT-047
GD89G,ZITT-071
GD89H,ZITT-100
GD90,ZITT-100
GD91,ZITT-099
GD92,ZITT-099
GD93,ZITT-099
GD94,ZITT-099
GD94A,ZITT-099
GD95A,ZITT-052
GD95B,ZITT-050
GD95C,ZITT-049
GD95D,ZITT-054
GD95E,ZITT-053
GD95F,ZITT-053
GD95G,ZITT-064
GD95H,ZITT-064
GD95I,ZITT-063
GD95L,ZITT-063
GD95M,ZITT-062
GD95N,ZITT-062
GD95O,ZITT-062
GD95P,ZITT-062
GD95Q,ZITT-062
GD95T,
GD95U,
GD95V,
GD95Z,
GD96,ZITT-098
GD97,
GD98,ZITT-097
GD99,ZITT-073
GD100,ZITT-074
GD101,ZITT-092
GD102,ZITT-087
GD103,ZITT-096
GD104,ZITT-096
GD105,ZITT-096
GD106,ZITT-096
GD107,ZITT-096
GD108,ZITT-096
GD109,ZITT-096
GD110,ZITT-096
GD112,ZITT-096
GD113,ZITT-096
GD114,ZITT-096
GD115,ZITT-096
GD116,ZITT-095
GD117,ZITT-095
GD118,ZITT-095
GD119,ZITT-095
GD120,ZITT-093
GD120A,ZITT-094
GD121,
GD122,
GD122A,
GD123,ZITT-087
GD124,ZITT-087
GD897,ZITT-110
GD898,ZITT-110
