short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ZITT-001,Ka,7.0,1.05,208.23
ZITT-002,Nr,4.9,1.15,139.87
ZITT-003,Ka,9.0,1.15,820.21
ZITT-004,C,13.9,1.05,660.68
ZITT-005,Nd,10.5,1.05,1072.82
ZITT-006,Knt,8.6,1.05,61.23
ZITT-007,Nd,4.4,1.05,29.11
ZITT-008,N,0.0,1.05,429.8
ZITT-009,C,6.0,1.15,177.27
ZITT-010,Nd,4.25,1.05,18.12
ZITT-011,Ne,15.06,1.05,160.04
ZITT-012,Nd,12.32,1.25,44.13
ZITT-013,Nr,8.0,1.05,92.92
ZITT-014,Nr,9.0,1.15,187.73
ZITT-015, ,4.5,1.25,120.59
ZITT-016,Nr,7.95,1.25,38.19
ZITT-017,Nr,8.8,1.25,223.77
ZITT-018,SP,16.7,1.15,2081.9
ZITT-019,pt,5.3,1.15,254.85
ZITT-020,pt,8.5,1.15,487.28
ZITT-021,fa,8.15,1.25,289.66
ZITT-022,pt,9.2,1.05,102.11
ZITT-023,pt,11.6,1.15,244.12
ZITT-024,pt,0.0,0.0,223.26
ZITT-025,Nr,0.0,1.25,44.47
ZITT-026,Nr,4.65,1.45,98.17
ZITT-027,B,12.0,1.05,622.25
ZITT-028,B,12.4,1.05,119.28
ZITT-029,Ka,9.2,1.05,421.71
ZITT-030,Ka,0.0,0.0,461.67
ZITT-031,B,9999.0,1.45,1821.06
ZITT-032,Ka,0.0,0.0,468.04
ZITT-033,Ka,3.5,1.05,78.08
ZITT-034,Ne,9.1,1.35,251.18
ZITT-035,Ne,9999.0,1.85,2136.82
ZITT-036,SM,9999.0,1.15,1803.12
ZITT-037,Kna,6.72,1.45,164.33
ZITT-038,Nd,0.0,1.85,21.55
ZITT-039,B,9.0,1.55,101.24
ZITT-040,Kna,0.0,1.45,914.41
ZITT-041,Kna,5.5,1.35,379.94
ZITT-042,Kna,3.5,1.55,310.16
ZITT-043,Or,8.4,1.35,203.11
ZITT-044,Nd,7.6,1.35,17.97
ZITT-045,Kna,3.29,0.85,58.11
ZITT-046,Ne,5.46,1.35,141.46
ZITT-047,Ne,6.6,1.15,1081.28
ZITT-048,Ne,5.52,1.35,366.13
ZITT-049,Ne,0.0,0.85,789.46
ZITT-050,Ne,8.92,1.35,415.16
ZITT-051, ,4.39,1.35,10.83
ZITT-052,Knt,4.66,1.05,27.25
ZITT-053,Ne,9999.0,1.15,9244.5
ZITT-054,Ne,9999.0,1.35,9080.66
ZITT-055,SU,14.5,1.15,577.73
ZITT-056,Nr,8.12,1.25,107.09
ZITT-057,Nr,7.94,1.15,76.51
ZITT-058,Nr,7.9,1.05,79.24
ZITT-059,B1,10.0,1.15,207.49
ZITT-060,Nd,3.38,1.05,17.8
ZITT-061,Ne,6.15,1.25,593.05
ZITT-062,Ne,5.1,1.15,498.28
ZITT-063,Nr,9.8,1.25,151.91
ZITT-064, ,9999.0,1.65,8685.54
ZITT-065, ,7.33,0.95,14.48
ZITT-066,Or,10.78,1.15,438.08
ZITT-067,Nd,3.7,1.15,11.76
ZITT-068,Nd,3.7,1.15,42.73
ZITT-069,Nd,4.78,1.15,9.81
ZITT-070,B,9.1,1.15,150.55
ZITT-071,O,8.98,1.15,140.49
ZITT-072,Or,4.3,1.15,35.66
ZITT-073,Nr,12.0,1.35,273.09
ZITT-074,Nr,0.0,1.35,376.46
ZITT-075,P,15.64,1.15,624.15
ZITT-076,Nr,0.0,0.0,789.02
ZITT-077,P,7.9,1.15,38.68
ZITT-078,Nr,12.0,1.35,273.74
ZITT-079,Nr,14.04,1.25,319.03
ZITT-080,Nr,9999.0,1.25,8681.88
ZITT-081,A,0.0,1.15,40.59
ZITT-082,fa,7.02,1.15,52.45
ZITT-083,Nr,12.6,0.95,210.12
ZITT-084,fa,9.72,1.15,93.73
ZITT-085,Nr,13.92,1.35,201.64
ZITT-086,Nr,14.04,1.25,367.13
ZITT-087,Nr,13.68,1.25,183.69
ZITT-088,Nr,12.55,0.95,215.98
ZITT-089,Nr,9999.0,1.25,8123.7
ZITT-090,Nd,12.0,1.25,13.0
ZITT-091,Nr,12.49,0.95,226.23
ZITT-092,Nr,13.92,1.25,181.76
ZITT-093,Nr,12.54,1.05,214.71
ZITT-094,Nr,12.66,1.05,224.87
ZITT-095,Nr,9999.0,1.45,7854.78
ZITT-096,Knt,6.0,1.55,177.31
ZITT-097,Knt,6.7,1.55,64.34
ZITT-098,Knt,9999.0,1.65,7536.56
ZITT-099,Knt,9.8,1.65,38.93
ZITT-100,Knt,9999.0,1.55,7456.66
ZITT-101,Knt,9999.0,1.65,7278.22
ZITT-102,Knt,4.0,1.65,119.71
ZITT-103,Nd,4.5,1.05,15.52
ZITT-104,Knt,9999.0,1.65,6591.88
ZITT-105,Nr,7.3,1.55,128.13
ZITT-106,Knt,4.0,1.45,26.14
ZITT-107,Kna,5.3,1.15,62.28
ZITT-108,Knt,4.5,1.45,24.14
ZITT-109,Kna,5.9,1.15,162.51
ZITT-110,Knt,11.9,1.45,248.18
ZITT-111,Nd,6.55,1.45,180.66
ZITT-112,Kna,9999.0,1.05,5902.38
ZITT-113,Nd,0.0,1.45,15.92
ZITT-114,pt,6.2,1.45,75.07
ZITT-115,Nr,0.0,1.45,34.35
ZITT-116,pt,10.6,1.45,299.23
ZITT-117,pt,0.0,0.0,18.73
ZITT-118,Ne,9999.0,0.85,5425.48
ZITT-119,Nd,9.95,0.95,240.45
ZITT-120,Nd,4.32,1.05,20.09
ZITT-121,Nd,4.16,1.05,13.16
ZITT-122,pt,8.92,0.85,83.54
ZITT-123, ,9999.0,0.95,9262.9
ZITT-124, ,10.68,0.95,339.72
ZITT-125, ,10.5,0.95,813.31
ZITT-126,D,13.5,1.15,591.71
ZITT-127,Ne,12.15,1.05,309.6
ZITT-128,Nr,11.63,1.15,456.23
ZITT-129,pt,7.73,1.05,293.35
ZITT-130, ,15.0,1.05,367.4
ZITT-131, ,11.06,1.15,516.56
ZITT-132, ,15.7,1.05,2671.8
ZITT-133,Nr,14.5,1.05,518.32
ZITT-134,Nr,11.57,1.05,516.21
ZITT-135,Nr,11.26,1.15,610.5
ZITT-136,Nr,12.4,1.15,230.62
ZITT-137,Nr,12.3,1.05,234.32
ZITT-138,Nr,12.45,1.05,585.83
ZITT-139,Ne,9.75,1.15,626.8
ZITT-140,Nd,7.3,1.25,19.98
ZITT-141,Nd,5.15,1.25,74.12
ZITT-142,Ne,6.55,1.15,275.64
ZITT-143,Ne,13.6,1.35,1033.83
ZITT-144,Ne,11.41,1.15,575.56
ZITT-145,Knt,5.63,1.25,73.93
ZITT-146,Knt,5.7,1.25,236.32
ZITT-147,Nr,12.24,0.95,534.39
ZITT-148,Nr,12.28,0.95,531.05
ZITT-149,Nr,11.75,0.95,496.77
ZITT-150,Nr,12.3,1.05,544.39
ZITT-151,Nr,12.5,0.95,536.42
ZITT-152,Nr,11.7,1.05,525.74
ZITT-153,Nr,11.7,1.05,372.0
ZITT-154,Nr,11.73,1.05,512.0
ZITT-155,Nr,11.45,1.05,248.22
ZITT-156,Nd,11.2,1.05,465.93
ZITT-157,Nd,11.2,1.15,460.65
ZITT-158,Nr,11.45,1.05,247.53
ZITT-159,Nr,11.4,1.15,411.17
ZITT-160,Nr,14.8,1.15,894.05
ZITT-161,Nr,8.2,1.45,337.83
ZITT-162,Nr,3.1,1.45,16.56
ZITT-163,Koa,5.9,1.55,104.26
ZITT-164,N,14.5,1.55,538.97
ZITT-165,N,14.4,1.75,365.72
ZITT-166,Knt,0.0,1.25,26.48
ZITT-167,Nr,9999.0,1.55,2593.42
ZITT-168,Nr,9999.0,1.65,5235.84
ZITT-169,Nr,0.0,1.75,15.08
ZITT-170,Nr,4.6,1.75,175.79
ZITT-171,Nd,0.0,1.65,21.29
ZITT-172,pt,6.2,0.85,130.42
ZITT-173, ,4.8,1.25,135.4
ZITT-174,Nr,9.0,1.75,584.5
ZITT-175,Nr,0.0,1.05,1339.89
ZITT~NO_BUILDING,,,,
