Full_sesti,short_alias
SC2190A,2TOR-062
SC2191,2TOR-062
SC2192,2TOR-062
SC2193,2TOR-064
SC2194,2TOR-064
SC2195,2TOR-061
SC2196,2TOR-061
SC2196A,2TOR-061
SC2197,2TOR-064
SC2198,2TOR-064
SC2199,2TOR-063
SC2200,2TOR-063
SC2203,2TOR-064
SC2203A,2TOR-064
SC2204,2TOR-063
SC2204A,2TOR-064
SC2205,2TOR-062
SC2206,2TOR-081
SC2207,2TOR-082
SC2208,2TOR-082
SC2209,2TOR-082
SC2210,2TOR-001
SC2210A,2TOR-001
SC2211,2TOR-001
SC2212,2TOR-080
SC2212A,2TOR-080
SC2212B,2TOR-080
SC2213,2TOR-002
SC2213A,2TOR-002
SC2214,2TOR-003
SC2214A,2TOR-003
SC2215,2TOR-003
SC2215A,2TOR-003
SC2215B,2TOR-003
SC2216,2TOR-006
SC2217,2TOR-006
SC2217A,2TOR-006
SC2217B,2TOR-007
SC2218,2TOR-008
SC2219,2TOR-008
SC2219A,2TOR-008
SC2220,2TOR-008
SC2221,2TOR-008
SC2222,2TOR-008
SC2223,2TOR-008
SC2224,2TOR-008
SC2225,2TOR-005
SC2226,2TOR-005
SC2227,2TOR-005
SC2228,2TOR-004
SC2229,2TOR-003
SC2229A,2TOR-003
SC2230,2TOR-079
SC2231,2TOR-079
SC2232,
SC2232A,
SC2233,2TOR-078
SC2234,
SC2235,2TOR-076
SC2235A,2TOR-076
SC2236,
SC2237,2TOR-074
SC2238,2TOR-074
SC2239,2TOR-074
SC2239A,2TOR-072
SC2240,2TOR-073
SC2241,2TOR-009
SC2241A,2TOR-009
SC2242,2TOR-065
SC2242A,2TOR-065
SC2242B,2TOR-065
SC2243,2TOR-012
SC2244,2TOR-012
SC2245,2TOR-011
SC2246,2TOR-011
SC2247,2TOR-010
SC2247A,2TOR-010
SC2248,2TOR-066
SC2249,2TOR-071
SC2250,2TOR-071
SC2251,2TOR-067
SC2252,2TOR-067
SC2252A,2TOR-067
SC2252B,
SC2253,
SC2253A,
SC2254,2TOR-014
SC2255,2TOR-014
SC2256,2TOR-014
SC2256A,2TOR-014
SC2257,
SC2257A,2TOR-061
SC2258,
SC2259,2TOR-058
SC2259A,2TOR-058
SC2260,2TOR-057
SC2261,2TOR-056
SC2262,2TOR-054
SC2263,2TOR-054
SC2264,2TOR-053
SC2264A,2TOR-054
SC2265,2TOR-053
SC2266,2TOR-052
SC2267,2TOR-052
SC2268,2TOR-051
SC2268A,2TOR-051
SC2268B,2TOR-051
SC2268C,2TOR-051
SC2269,2TOR-051
SC2269A,2TOR-051
SC2270,2TOR-048
SC2270A,2TOR-048
SC2271,2TOR-049
SC2272,2TOR-049
SC2273,2TOR-049
SC2274,2TOR-049
SC2275,2TOR-050
SC2275A,2TOR-050
SC2276,2TOR-050
SC2277,
SC2278,2TOR-037
SC2279,2TOR-037
SC2280,2TOR-036
SC2281,2TOR-036
SC2282,2TOR-044
SC2282A,2TOR-044
SC2282B,2TOR-044
SC2282C,
SC2283,2TOR-038
SC2284,2TOR-038
SC2285,
SC2286,2TOR-039
SC2287,2TOR-039
SC2288,2TOR-040
SC2289,2TOR-040
SC2289A,2TOR-040
SC2290,2TOR-028
SC2291,2TOR-028
SC2292,2TOR-029
SC2293,2TOR-030
SC2293A,2TOR-030
SC2294,2TOR-030
SC2295,2TOR-031
SC2296,2TOR-031
SC2297,
SC2298,
SC2299,
SC2300,2TOR-032
SC2301,2TOR-032
SC2302,2TOR-032
SC2303,
SC2304,
SC2305,
SC2305A,2TOR-026
SC2306,2TOR-026
SC2307,2TOR-041
SC2307A,
SC2308,
SC2309,2TOR-043
SC2310,2TOR-024
SC2311,2TOR-024
SC2312,2TOR-024
SC2313,2TOR-025
SC2314,2TOR-026
SC2315,2TOR-021
SC2315B,2TOR-022
SC2316,2TOR-020
SC2317,2TOR-020
SC2318A,2TOR-022
SC2318B,2TOR-044
SC2318C,
SC2319,2TOR-047
SC2320,2TOR-047
SC2321,2TOR-047
SC2322,2TOR-045
SC2323,2TOR-045
SC2324,2TOR-046
SC2325,2TOR-046
SC2326,2TOR-048
SC2327,
SC2328,2TOR-018
SC2328A,2TOR-018
SC2329,
SC2329A,
SC2331,2TOR-018
SC2331A,2TOR-017
SC2331B,2TOR-017
SC2332,2TOR-017
SC2333,2TOR-017
SC2334,2TOR-016
SC2334A,2TOR-015
SC2335,2TOR-015
SC2336,2TOR-015
SC2337,2TOR-015
SC2338,2TOR-015
SC2338A,
SC2339,
SC2340,
SC2341,
SC2342,
SC2343,2TOR-069
SC2344,2TOR-069
SC2345,2TOR-015
SC2346,2TOR-015
SC2346A,2TOR-015
SC2346B,2TOR-015
SC2347A,2TOR-069
