Full_sesti,short_alias
SC271,MAGG-001
SC272,MAGG-001
SC273,MAGG-002
SC274,MAGG-002
SC275,MAGG-003
SC276,MAGG-004
SC277,MAGG-004
SC278,MAGG-005
SC279,MAGG-005
SC280,MAGG-005
SC280A,MAGG-005
SC280B,MAGG-005
SC281,MAGG-006
SC282,MAGG-007
SC283,MAGG-007
SC284,MAGG-007
SC285,MAGG-008
SC286,MAGG-008
SC287,MAGG-009
SC287A,MAGG-009
SC288,MAGG-010
SC289,MAGG-010
SC321,
SC321A,
SC321B,
SC322,MAGG-034
SC324,
SC324A,
SC325,
SC326,MAGG-028
SC326A,MAGG-029
SC326B,MAGG-029
SC326C,MAGG-029
SC327,MAGG-027
SC327A,MAGG-027
SC328,MAGG-026
SC329,MAGG-077
SC330,MAGG-077
SC331,MAGG-076
SC332,MAGG-076
SC333,MAGG-022
SC334,MAGG-022
SC335,MAGG-021
SC336,MAGG-021
SC337,MAGG-020
SC338,MAGG-020
SC339,MAGG-019
SC340,MAGG-019
SC341,MAGG-018
SC342,MAGG-018
SC343,MAGG-017
SC344,MAGG-017
SC345,MAGG-075
SC346,MAGG-075
SC347,MAGG-074
SC348,MAGG-074
SC349,MAGG-073
SC350,MAGG-073
SC351,MAGG-072
SC352,MAGG-071
SC353,MAGG-069
SC353A,MAGG-014
SC353B,MAGG-014
SC353C,MAGG-014
SC353D,MAGG-069
SC354,MAGG-011
SC354A,MAGG-011
SC355,MAGG-012
SC356,MAGG-012
SC357,MAGG-013
SC358,
SC358A,MAGG-079
SC358B,MAGG-079
SC358C,MAGG-079
SC359,MAGG-006
SC359A,MAGG-006
SC359B,MAGG-006
SC360,MAGG-054
SC360A,MAGG-048
SC360B,MAGG-039
SC360C,MAGG-035
SC360D,MAGG-035
SC360E,MAGG-035
SC360F,MAGG-035
SC360G,MAGG-035
SC360H,
SC361,MAGG-055
SC362,MAGG-056
SC363,MAGG-057
SC363A,MAGG-057
SC364,MAGG-058
SC365,MAGG-059
SC365A,MAGG-060
SC365B,MAGG-061
SC366,MAGG-062
SC367,MAGG-063
SC368,MAGG-064
SC369,MAGG-065
SC370,MAGG-066
SC371,MAGG-067
SC372,MAGG-067
SC373,MAGG-068
SC374,MAGG-068
SC375,MAGG-068
SC375A,MAGG-068
SC375B,MAGG-068
SC376,MAGG-068
SC377,
SC378,MAGG-082
SC379,MAGG-082
SC380,MAGG-081
SC381,MAGG-081
SC382,MAGG-080
SC382A,MAGG-081
SC383,MAGG-080
SC383A,MAGG-080
SC384,MAGG-005
SC385,MAGG-005
SC386,MAGG-004
SC387,MAGG-002
SC389,MAGG-001
SC390,MAGG-001
SC391,MAGG-080
SC392,MAGG-080
SC393,MAGG-081
SC394,MAGG-081
SC395,MAGG-082
SC396,MAGG-082
SC397,MAGG-084
SC397A,MAGG-084
SC398,MAGG-085
SC403,MAGG-086
SC404,MAGG-086
SC405,MAGG-087
SC406,MAGG-088
SC407,MAGG-089
SC408,MAGG-090
SC409,MAGG-091
SC410,MAGG-092
SC411,MAGG-093
SC412,MAGG-093
SC413,MAGG-095
SC414,MAGG-096
SC415,MAGG-053
SC415A,MAGG-053
SC415B,MAGG-053
SC415C,MAGG-052
SC415D,MAGG-052
SC415E,MAGG-052
SC416,MAGG-051
SC416A,MAGG-045
SC417,MAGG-045
SC418,MAGG-043
SC419,MAGG-043
SC420,MAGG-044
SC420A,MAGG-044
SC420C,MAGG-044
SC420D,MAGG-036
SC421,MAGG-035
SC421A,MAGG-035
SC421B,MAGG-035
SC421C,MAGG-035
SC421D,MAGG-035
SC422,MAGG-035
SC422A,MAGG-035
SC422B,MAGG-035
SC422C,MAGG-035
SC422D,MAGG-035
SC422E,MAGG-035
