Full_sesti,short_alias
SC2075,MATE-001
SC2076,MATE-001
SC2077,MATE-076
SC2077A,MATE-001
SC2078,MATE-076
SC2079,MATE-076
SC2080,MATE-076
SC2081,MATE-075
SC2082,MATE-075
SC2083,MATE-076
SC2084,MATE-076
SC2084A,MATE-002
SC2085,MATE-002
SC2086,MATE-074
SC2087,MATE-074
SC2088,MATE-074
SC2089,MATE-074
SC2090,MATE-073
SC2091,
SC2092,MATE-007
SC2093,MATE-007
SC2094,MATE-009
SC2095,MATE-011
SC2096,MATE-057
SC2097,MATE-057
SC2097A,MATE-072
SC2097B,MATE-072
SC2097D,MATE-010
SC2097E,MATE-010
SC2098,MATE-054
SC2098A,MATE-057
SC2098B,MATE-056
SC2098C,
SC2099,MATE-054
SC2100,MATE-053
SC2101,MATE-053
SC2102,MATE-053
SC2103,MATE-055
SC2104,
SC2105,
SC2106,MATE-064
SC2107,MATE-067
SC2107A,MATE-067
SC2108,MATE-068
SC2109,MATE-068
SC2110,MATE-068
SC2111,MATE-069
SC2112,MATE-069
SC2113,MATE-069
SC2114,MATE-052
SC2115,MATE-052
SC2115A,MATE-052
SC2116,MATE-051
SC2117,MATE-050
SC2118,MATE-050
SC2119,MATE-045
SC2120,MATE-045
SC2121,MATE-045
SC2122,
SC2123,
SC2124,
SC2125,MATE-043
SC2125A,
SC2125B,MATE-039
SC2125C,
SC2126,MATE-038
SC2126A,MATE-038
SC2127,
SC2127A,
SC2128,MATE-037
SC2129,MATE-036
SC2130,MATE-036
SC2131,MATE-035
SC2132,MATE-035
SC2133,MATE-034
SC2134,MATE-032
SC2135,MATE-031
SC2136,MATE-031
SC2137,MATE-030
SC2138,MATE-030
SC2139,MATE-030
SC2140,MATE-029
SC2141,MATE-028
SC2142,
SC2143,MATE-027
SC2144,MATE-026
SC2145,MATE-026
SC2146,MATE-024
SC2147,MATE-024
SC2147A,MATE-024
SC2148,MATE-023
SC2148A,MATE-023
SC2148B,MATE-023
SC2149,MATE-023
SC2150,MATE-022
SC2151,MATE-022
SC2152,MATE-022
SC2152A,MATE-022
SC2153,MATE-042
SC2154,MATE-042
SC2155,MATE-042
SC2155A,MATE-042
SC2156,MATE-042
SC2157,MATE-042
SC2158,MATE-021
SC2159,MATE-021
SC2160,MATE-021
SC2161,MATE-020
SC2161A,MATE-020
SC2162,MATE-041
SC2163,MATE-041
SC2164,MATE-041
SC2165,MATE-041
SC2166,MATE-040
SC2167,MATE-040
SC2168,
SC2169,
SC2169A,MATE-044
SC2170,MATE-017
SC2170A,MATE-017
SC2171,MATE-017
SC2172,MATE-017
SC2173,MATE-017
SC2174,MATE-017
SC2175,MATE-059
SC2176,MATE-015
SC2177,MATE-015
SC2177A,MATE-016
SC2178A,MATE-058
SC2179,MATE-058
SC2180,MATE-058
SC2181,MATE-013
SC2182,MATE-012
SC2182A,MATE-061
SC2182B,MATE-061
SC2183,MATE-007
SC2184,MATE-007
SC2184A,MATE-007
SC2184B,MATE-007
SC2185,MATE-006
SC2187,MATE-006
SC2188,MATE-005
SC2188A,MATE-005
SC2189,MATE-003
SC2189A,
SC2190,MATE-003
