short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MEGI-001, ,14.0,1.15,609.34
MEGI-002,B,0.0,0.0,74.14
MEGI-003,B,12.3,1.05,83.39
MEGI-004,B,12.03,1.05,69.89
MEGI-005,Bg,0.0,0.0,73.1
MEGI-006,Bg,13.93,1.05,217.78
MEGI-007,C,12.9,1.05,238.05
MEGI-008,C,14.78,1.05,115.4
MEGI-009,B1,6.87,1.05,65.05
MEGI-010,B1,7.66,1.05,84.88
MEGI-011,pt,11.2,1.05,285.47
MEGI-012,pt,8.96,1.05,62.87
MEGI-013,fa,14.5,1.05,288.53
MEGI-014,C,6.78,1.05,264.54
MEGI-015,C,19.0,1.05,486.24
MEGI-016,Nd,0.0,1.05,26.9
MEGI-017,Bg,6.76,1.05,66.55
MEGI-018,B,8.34,1.05,61.99
MEGI-019,B,0.0,0.0,46.19
MEGI-020,B,0.0,0.0,75.75
MEGI-021,B,0.0,0.0,54.65
MEGI-022,fa,14.23,1.05,216.27
MEGI-023,C,16.0,0.95,492.21
MEGI~NO_BUILDING,,,,
