Full_sesti,short_alias
SC2002,MOCE-033
SC2003,MOCE-035
SC2003A,MOCE-033
SC2004,MOCE-052
SC2004A,MOCE-052
SC2005,MOCE-051
SC2006,
SC2006A,MOCE-036
SC2006B,MOCE-036
SC2007,
SC2009,MOCE-031
SC2010,MOCE-031
SC2011,MOCE-030
SC2012,MOCE-030
SC2013,MOCE-044
SC2014,MOCE-044
SC2015,MOCE-043
SC2016,MOCE-043
SC2017,MOCE-043
SC2018,MOCE-043
SC2019,MOCE-044
SC2020,MOCE-029
SC2021,MOCE-028
SC2022,MOCE-028
SC2023,MOCE-027
SC2024,
SC2025,
SC2026,MOCE-024
SC2026A,MOCE-025
SC2027,MOCE-026
SC2028,MOCE-046
SC2028A,MOCE-047
SC2029,MOCE-047
SC2030,MOCE-047
SC2031,MOCE-047
SC2032,MOCE-047
SC2033,MOCE-048
SC2034,MOCE-048
SC2035,MOCE-048
SC2036,MOCE-049
SC2037,MOCE-049
SC2038,MOCE-049
SC2039,MOCE-020
SC2040,MOCE-020
SC2041,MOCE-020
SC2043,MOCE-018
SC2044,MOCE-018
SC2045,MOCE-017
SC2046,MOCE-017
SC2047,MOCE-017
SC2047A,MOCE-017
SC2048,MOCE-017
SC2049,MOCE-017
SC2050,MOCE-017
SC2051,MOCE-017
SC2051A,MOCE-017
SC2052,MOCE-017
SC2052A,MOCE-015
SC2054,MOCE-014
SC2055,MOCE-012
SC2056,MOCE-012
SC2056A,MOCE-012
SC2057,MOCE-011
SC2058,MOCE-011
SC2059,MOCE-010
SC2059A,
SC2061,MOCE-007
SC2064,MOCE-007
SC2064A,MOCE-007
SC2065,MOCE-007
SC2066,MOCE-006
SC2067,MOCE-006
SC2070,
SC2070A,MOCE-002
SC2070B,MOCE-002
SC2070C,MOCE-002
SC2070D,MOCE-001
SC2071,MOCE-005
SC2071A,MOCE-006
SC2072,MOCE-004
SC2072A,
SC2073,
SC2074,MOCE-003
