short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MOCE-001,Ne,0.0,0.95,292.75
MOCE-002,A,7.37,0.95,10.69
MOCE-003,Bg,11.0,1.75,127.21
MOCE-004,Bg,7.05,0.95,114.33
MOCE-005,Kna,14.2,0.95,422.6
MOCE-006,pt,7.74,0.95,155.95
MOCE-007,B,11.5,0.95,91.75
MOCE-008,Kna,4.6,0.95,49.07
MOCE-009,A,11.4,0.95,107.08
MOCE-010,Bg,12.15,0.95,34.92
MOCE-011,pt,9.69,0.95,124.78
MOCE-012,Kna,10.22,0.95,101.73
MOCE-013,Ne,6.4,0.95,91.15
MOCE-014,A,6.93,0.85,66.3
MOCE-015,A,10.19,0.95,60.92
MOCE-016,A,7.37,0.95,57.67
MOCE-017,A,0.0,0.0,29.37
MOCE-018,A,5.45,0.85,33.11
MOCE-019,A,0.0,0.0,33.8
MOCE-020,B1,8.17,1.35,35.05
MOCE-021,A,0.0,0.0,39.53
MOCE-022,Kna,12.18,1.35,108.62
MOCE-023,A,0.0,0.0,33.24
MOCE-024,A,4.65,0.95,144.0
MOCE-025,Bg,13.75,0.95,103.53
MOCE-026,pt,0.0,0.0,32.95
MOCE-027,pt,9.5,0.95,34.5
MOCE-028,Bg,0.0,0.0,100.8
MOCE-029,A,10.19,0.95,35.63
MOCE-030,A,0.0,0.0,38.07
MOCE-031,Bg,0.0,0.0,88.86
MOCE-032,Bg,0.0,0.0,113.8
MOCE-033,A1,15.7,1.25,70.22
MOCE-034,A,11.3,1.25,34.48
MOCE-035,A,0.0,0.0,18.04
MOCE-036,Bg,15.3,1.25,449.68
MOCE-037,Bg,11.0,1.25,28.49
MOCE-038,pt,8.18,1.25,40.88
MOCE-039,C,11.75,1.25,215.02
MOCE-040,Bg,9.4,1.25,20.11
MOCE-041,A,12.39,1.25,54.44
MOCE-042,Ne,10.5,1.35,185.61
MOCE-043,B,15.07,1.25,79.73
MOCE-044,Nr,0.0,1.35,74.77
MOCE-045,C,15.0,1.35,432.01
MOCE-046,C,0.0,1.15,246.57
MOCE-047,C,12.0,1.35,367.45
MOCE-048,C,0.0,0.0,43.24
MOCE-049,C,17.64,1.15,232.62
MOCE-050,B,16.82,1.35,433.4
MOCE-051,C,0.0,0.0,364.47
MOCE-052,Ka,5.0,1.15,94.94
MOCE-053,B,0.0,0.0,385.59
MOCE~NO_BUILDING,,,,
