short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ORIO-001,C,7.12,1.15,57.47
ORIO-002,SU,8.46,0.95,197.67
ORIO-003,SU,0.0,0.0,36.79
ORIO-004,SU,0.0,0.0,45.06
ORIO-005,SU,0.0,0.0,45.84
ORIO-006,SU,9999.0,0.95,2680.83
ORIO-007,SU,11.7,1.15,249.12
ORIO-008,B,13.2,1.15,129.16
ORIO-009,B,5.08,1.15,13.66
ORIO-010,Nr,15.4,1.05,263.6
ORIO-011,pt,10.9,1.15,91.16
ORIO-012,Nr,4.5,1.15,23.38
ORIO-013,Nr,0.0,1.15,29.44
ORIO-014,pt,14.0,1.15,156.73
ORIO-015,fa,12.6,1.05,127.02
ORIO-016,B,15.1,1.05,74.0
ORIO-017,A,9.0,1.05,17.8
ORIO-018,Nr,9.51,1.05,16.97
ORIO-019,A,9.0,1.05,12.93
ORIO-020,B,8.53,1.05,62.73
ORIO-021,Bg,0.0,0.0,58.85
ORIO-022,fa,0.0,0.0,41.13
ORIO-023,Bg,10.2,1.05,57.45
ORIO-024,Bg,13.1,1.15,58.53
ORIO-025,A,7.46,1.05,66.72
ORIO-026,A,0.0,1.15,32.16
ORIO-027,fa,9999.0,0.0,2745.31
ORIO-028,A,9999.0,1.05,2803.41
ORIO-029,C,9999.0,1.05,2797.53
ORIO-030,C,12.11,1.05,109.26
ORIO-031, ,9999.0,1.15,2110.25
ORIO-032,Ka,9999.0,1.15,1857.09
ORIO-033,B,9999.0,1.15,1421.47
ORIO-034,fa,14.08,1.15,73.77
ORIO-035,B,0.0,0.0,52.1
ORIO-036,A,7.0,1.15,68.14
ORIO-037,A,0.0,1.15,31.98
ORIO-038,A,6.5,0.95,49.79
ORIO-039,pt,12.34,1.15,77.42
ORIO-040,pt,0.0,0.0,132.45
ORIO-041,B,15.48,0.95,169.75
ORIO-042,B,12.75,0.95,208.41
ORIO-043,Ne,0.0,1.15,18.17
ORIO-044,Ne,8.84,0.95,76.78
ORIO-045,B1,5.85,0.95,114.07
ORIO-046,B1,0.0,0.0,143.59
ORIO-047,B,7.24,1.15,196.35
ORIO-048,B1,0.0,0.0,236.43
ORIO-049,Bg,14.65,0.95,71.94
ORIO-050,O,10.41,0.95,123.12
ORIO-051,B1,11.44,0.95,150.23
ORIO-052,Bg,13.04,0.95,130.96
ORIO-053,C,9999.0,0.0,357.69
ORIO-054,C,15.1,1.05,281.0
ORIO-055,C,15.07,1.05,159.02
ORIO-056,Bg,11.37,1.15,113.61
ORIO-057,C,15.52,1.05,309.66
ORIO-058,Bg,12.54,1.15,104.58
ORIO-059,B,14.27,0.95,115.97
ORIO-060,Bg,0.0,0.0,65.43
ORIO-061,B,12.64,0.95,55.91
ORIO-062,Bg,0.0,0.0,82.12
ORIO-063,D,11.51,0.95,83.53
ORIO-064,B,9.45,0.95,69.55
ORIO-065,pt,0.0,0.0,111.05
ORIO-066,Nd,4.19,0.95,41.09
ORIO-067,A,10.0,1.05,211.52
ORIO-068,B,0.0,0.0,18.03
ORIO-069,Nd,3.93,0.95,23.81
ORIO-070,A,13.3,0.95,44.18
ORIO-071,Ne,9.41,0.95,94.06
ORIO-072,B,12.02,1.15,187.28
ORIO-073,C,13.92,0.95,83.83
ORIO-074,A,13.0,1.15,607.36
ORIO-075,B,0.0,0.0,28.99
ORIO-076,B,8.88,1.15,107.29
ORIO-077,C,10.02,1.05,61.66
ORIO-078,C,0.0,0.0,27.38
ORIO-079,B,11.36,0.95,35.15
ORIO-080,C,11.2,0.95,169.81
ORIO-081,C,14.08,0.95,70.13
ORIO-082,C,3.7,0.95,45.65
ORIO-083,B1,7.1,1.15,68.22
ORIO-084,pt,11.76,0.95,69.87
ORIO-085,C,0.0,0.0,115.54
ORIO-086,B,10.62,1.15,82.19
ORIO-087,B,12.05,0.95,75.19
ORIO-088,pt,9.6,1.05,123.01
ORIO-089,B,12.76,1.15,269.36
ORIO-090,Bg,15.1,0.95,63.12
ORIO-091,Bg,0.0,0.95,67.94
ORIO-092,Or,9999.0,1.15,676.52
ORIO-093,pt,9999.0,1.15,2354.23
ORIO-094,pt,7.15,1.15,21.7
ORIO-095,fa,14.0,1.15,264.84
ORIO-096,pt,16.77,1.15,187.15
ORIO-097,Or,12.0,1.15,71.84
ORIO-098,Or,0.0,0.0,45.8
ORIO-099,B,10.5,1.15,167.26
ORIO-100,A,16.42,1.15,37.84
ORIO-101,Or,9.41,1.15,74.9
ORIO-102,pt,11.64,1.15,161.2
ORIO-103,Bg,11.5,1.15,135.41
ORIO-104,Bg,7.0,1.15,115.16
ORIO-105,A,15.24,1.15,119.32
ORIO-106,Bg,15.68,1.15,96.66
ORIO-107,Bg,15.16,1.15,242.61
ORIO-108,Or,12.58,1.15,191.81
ORIO-109,Bg,0.0,0.0,238.78
ORIO-110,Bg,16.32,1.05,336.69
ORIO-111,Nr,2.69,0.95,10.13
ORIO-112,Ne,10.9,0.95,192.6
ORIO-113,B,8.45,0.95,122.98
ORIO-114,B,12.4,0.95,196.38
ORIO-115,B,12.9,0.95,149.8
ORIO-116,A,9.48,0.95,52.4
ORIO-117,A1,8.72,0.95,59.82
ORIO-118,A1,9.65,0.95,84.8
ORIO-119,B,0.0,0.0,26.53
ORIO-120,A1,0.0,0.95,33.59
ORIO-121,A1,0.0,0.0,38.85
ORIO-122,A1,0.0,0.0,27.93
ORIO-123,A1,0.0,0.0,21.39
ORIO-124,A1,9.74,0.95,19.64
ORIO-125,A,9.87,0.95,47.75
ORIO-126,A,0.0,0.0,42.46
ORIO-127,A,0.0,0.0,41.27
ORIO-128,A,0.0,0.0,46.09
ORIO-129,A,9999.0,1.15,155.49
ORIO-130,A,0.0,0.0,51.97
ORIO-131,A,0.0,0.0,43.67
ORIO-132,A,0.0,0.0,50.52
ORIO-133,B,0.0,1.05,221.75
ORIO-134,B,9999.0,1.05,3314.47
ORIO-135,A1,9999.0,1.05,2910.29
ORIO-136,fa,9999.0,1.05,3362.39
ORIO-137,A1,6.55,1.05,61.57
ORIO-138,A1,9999.0,1.05,3298.09
ORIO-139,A1,0.0,0.0,45.69
ORIO-140,A1,0.0,0.0,59.99
ORIO-141,pt,6.28,1.05,75.21
ORIO-142,A1,3.76,1.05,49.6
ORIO-143,pt,9.34,1.05,76.83
ORIO-144,C,14.23,0.85,124.0
ORIO-145,C,14.23,0.85,141.96
ORIO-146,Nd,3.11,0.85,15.67
ORIO-147,B,11.24,0.85,62.5
