short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
PORT-001,Kna,16.68,2.25,4925.69
PORT-002,Kna,0.0,0.0,1014.78
PORT-003,Kna,10.35,2.35,1053.44
PORT-004,Kna,9999.0,2.35,652.21
PORT-005,Kna,14.78,2.15,3362.53
PORT-006,Nr,6.07,2.25,130.57
PORT-007,Nd,0.0,2.05,7.33
PORT-008,Knt,5.7,2.15,76.05
PORT-009,Knt,6.47,2.05,62.35
PORT-010,Knt,6.4,2.05,134.42
PORT-011,Kna,15.2,2.25,5739.37
PORT-012,Nd,0.0,2.05,17.66
PORT-013,Knt,9999.0,2.15,14445.04
PORT-014,Kna,9999.0,2.15,30044.62
PORT-015,Kna,9999.0,2.35,8709.32
PORT-016,,6.43,2.35,320.81
PORT-017,,6.19,2.35,78.55
PORT-018,,5.43,2.35,86.95
PORT-019,Nr,0.0,1.85,157.63
PORT-020,Nr,0.0,2.25,11.92
PORT-021,Nr,0.0,2.25,754.05
PORT-022,Kna,18.5,2.05,6528.18
PORT-023,Nr,19.0,2.25,1546.88
PORT-024,Nr,9.95,2.25,125.47
PORT-025,Nr,7.84,2.35,377.8
PORT-026,Nr,13.49,2.45,511.12
PORT-027,Nr,6.74,2.35,124.03
PORT-028,Nd,5.52,2.35,28.39
PORT-029,Nd,5.52,2.35,3.79
PORT-030,Nd,5.52,2.35,11.93
PORT-031,Knt,8.89,2.15,345.91
PORT-032,Knt,9.53,1.75,337.88
PORT-033,Knt,8.7,1.85,335.99
PORT-034,Nr,6.35,2.35,81.61
PORT-035,Nr,6.64,2.45,143.81
PORT-036,Kna,7.95,1.55,2037.04
PORT-037,Nr,0.0,2.35,1024.14
PORT-038,Koa,0.0,0.0,1025.47
PORT-039,Koa,0.0,0.0,756.4
PORT-040,Nr,7.41,2.15,91.05
PORT-041,,0.0,2.45,668.24
PORT-042,Koa,9.0,2.15,782.11
PORT-043,Nr,10.82,2.25,599.86
PORT-044,Koa,0.0,0.0,823.9
PORT-045,Koa,12.0,1.85,802.98
PORT-046,Nr,11.4,2.55,211.3
PORT-047,Koa,0.0,0.0,92.53
PORT-048,Nr,7.8,2.55,396.53
PORT-049,Koa,0.0,0.0,93.25
PORT-050,Koa,0.0,0.0,106.74
PORT-051,Nr,16.43,2.65,165.15
PORT-052,Nr,0.0,2.65,895.36
PORT-053,Koa,0.0,0.0,102.66
PORT-054,Koa,0.0,0.0,99.82
PORT-055,Koa,0.0,0.0,103.52
PORT-056,Knt,7.07,2.55,320.27
PORT-057,Koa,0.0,0.0,102.39
PORT-058,Koa,0.0,0.0,77.07
PORT-059,Nr,6.82,2.65,58.44
PORT-060,Koa,0.0,0.0,76.04
PORT-061,Koa,0.0,0.0,75.33
PORT-062,Koa,0.0,0.0,78.27
PORT-063,Koa,0.0,0.0,73.71
PORT-064,Koa,0.0,0.0,76.69
PORT-065,Nr,0.0,2.55,300.1
PORT-066,Koa,7.5,1.95,73.95
PORT-067,Knt,5.18,2.55,25.64
PORT-068,Kna,13.96,2.35,4946.42
PORT-069,Nr,12.37,1.95,212.43
PORT-070,Knt,6.55,2.55,28.19
PORT-071,Nr,6.25,2.65,53.46
PORT-072,Knt,0.0,2.55,12.33
PORT-073,Knt,11.05,2.65,1907.61
PORT-074,Nd,0.0,2.55,70.17
PORT-075,Nr,6.4,2.65,40.75
PORT-076,Nr,19.09,2.45,800.82
PORT-077,Nr,7.13,2.65,179.88
PORT-078,Knt,7.15,2.55,534.54
PORT-079,Nd,6.6,2.55,25.84
PORT-080,Nr,5.99,2.15,377.24
PORT-081,Nr,16.5,2.55,312.57
PORT-082,Nr,4.3,2.55,14.64
PORT-083,Knt,7.2,2.65,347.98
PORT-084,Knt,6.39,2.65,151.95
PORT-085,Knt,6.4,2.25,285.73
PORT-086,Nr,10.18,2.55,175.17
PORT-087,Nr,7.0,2.65,38.67
PORT-088,,5.5,2.45,133.99
PORT-089,,5.53,2.65,177.17
PORT-090,Nr,17.0,2.65,2139.69
PORT-091,Kna,5.7,3.65,83.83
PORT-092,Kna,5.73,3.65,94.4
PORT-093,Ne,10.3,2.95,82.12
PORT-094,Nr,7.45,3.05,73.38
PORT-095,Nr,13.0,3.05,910.65
PORT-096,Nr,9.12,3.05,458.4
PORT-097,Nr,7.8,2.65,266.26
PORT-098,Nr,4.5,1.25,58.79
PORT-099,Nr,6.0,1.25,881.78
PORT-100,SM,5.5,1.15,108.47
PORT-101,SM,12.2,1.15,3766.69
PORT-102,SM,8.1,1.15,118.34
PORT-103,fa,4.5,1.15,193.85
PORT-104,Ka,0.0,0.0,106.02
PORT-105,Nd,5.13,3.05,18.52
PORT-106,Kna,7.0,3.05,90.9
PORT-107,Nr,8.65,3.05,437.58
PORT-108,Nd,7.18,3.05,131.24
PORT-109,Nr,16.9,3.05,442.55
PORT-110,Nr,7.0,3.05,150.24
PORT-111,Nr,9999.0,2.65,1020.96
PORT-112,Nr,0.0,2.65,34.34
PORT-113,Nr,9999.0,2.65,1000.94
PORT-114, ,7.69,2.65,8.69
PORT~NO_BUILDING,,,,
