Full_sesti,short_alias
SC290,RIZZ-001
SC291,RIZZ-001
SC292,RIZZ-001
SC293,RIZZ-001
SC293A,RIZZ-001
SC294,RIZZ-001
SC295,RIZZ-002
SC295A,RIZZ-002
SC295B,RIZZ-002
SC296,RIZZ-003
SC296A,RIZZ-003
SC297,RIZZ-003
SC297A,RIZZ-003
SC298,RIZZ-003
SC299,RIZZ-004
SC300,RIZZ-004
SC301,RIZZ-004
SC302,RIZZ-005
SC302A,
SC303,RIZZ-006
SC304,RIZZ-006
SC304A,RIZZ-006
SC305,RIZZ-007
SC306,RIZZ-007
SC307,RIZZ-008
SC308,RIZZ-008
SC309,RIZZ-009
SC310,RIZZ-009
SC311,RIZZ-010
SC312,RIZZ-010
SC312A,RIZZ-012
SC313,RIZZ-012
SC314,RIZZ-012
SC315,RIZZ-013
SC316,RIZZ-013
SC317,RIZZ-014
SC318,RIZZ-014
