short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
RIZZ-001,Ne,10.85,1.05,103.58
RIZZ-002,C,11.84,1.05,147.98
RIZZ-003,C,0.0,0.0,287.24
RIZZ-004,Nd,0.0,1.55,49.65
RIZZ-005,C,14.92,1.05,312.21
RIZZ-006,Nd,5.05,1.55,87.64
RIZZ-007,Nr,17.6,1.55,513.99
RIZZ-008,C,13.66,0.95,135.42
RIZZ-009,Nr,0.0,0.0,0.0
RIZZ-010,C,0.0,0.0,135.64
RIZZ-011,Nr,9.2,1.35,78.1
RIZZ-012,Nr,17.7,1.55,498.09
RIZZ-013,C,0.0,0.0,145.82
RIZZ-014,C,0.0,0.0,126.84
RIZZ-015,C,0.0,0.0,132.13
RIZZ-016,Koa,8.48,1.55,174.12
RIZZ-017,Koa,8.48,1.55,147.74
RIZZ-018,pt,7.72,1.05,164.55
RIZZ-019,A1,8.63,0.95,97.21
RIZZ-020,B,9.6,0.95,148.82
RIZZ-021,C,14.0,1.05,298.18
RIZZ-022,C,9.57,0.95,308.85
RIZZ-023,C,11.9,0.95,181.35
RIZZ~NO_BUILDING,,,,
