Full_sesti,short_alias
SC1806,STAE-060
SC1807,STAE-060
SC1808,STAE-060
SC1809,STAE-060
SC1810,STAE-060
SC1810A,STAE-060
SC1811,STAE-060
SC1812,STAE-060
SC1813,STAE-060
SC1814,STAE-060
SC1815,STAE-060
SC1815A,STAE-057
SC1815B,STAE-057
SC1816,STAE-059
SC1817,STAE-059
SC1818,STAE-059
SC1819,STAE-058
SC1820,STAE-056
SC1821,STAE-054
SC1822,STAE-053
SC1823,STAE-052
SC1825,STAE-051
SC1825A,STAE-051
SC1826,STAE-051
SC1827,STAE-051
SC1828,STAE-050
SC1829,STAE-050
SC1830,STAE-049
SC1831,STAE-049
SC1832,STAE-049
SC1833,STAE-048
SC1833A,STAE-048
SC1834,STAE-048
SC1835,STAE-019
SC1836,STAE-061
SC1837,STAE-061
SC1838,STAE-061
SC1839,STAE-063
SC1840,STAE-063
SC1841,STAE-063
SC1842,STAE-063
SC1843,STAE-063
SC1844,STAE-064
SC1844A,STAE-064
SC1845,STAE-064
SC1846,STAE-064
SC1847,STAE-067
SC1848,STAE-068
SC1849,
SC1850,
SC1851,STAE-008
SC1852,STAE-007
SC1853,STAE-005
SC1854,STAE-005
SC1855,STAE-005
SC1856,STAE-074
SC1856A,STAE-074
SC1856B,STAE-102
SC1858,STAE-009
SC1859,STAE-009
SC1860,
SC1860A,
SC1860B,STAE-066
SC1860C,STAE-066
SC1861,STAE-065
SC1862,STAE-065
SC1863,STAE-065
SC1864,STAE-018
SC1865,STAE-018
SC1866,STAE-018
SC1866A,STAE-018
SC1866B,STAE-018
SC1866C,STAE-018
SC1867,STAE-019
SC1867A,STAE-019
SC1867B,STAE-019
SC1867C,STAE-048
SC1868,STAE-020
SC1868A,STAE-050
SC1869,STAE-020
SC1870,STAE-020
SC1870A,
SC1879,
SC1882,STAE-023
SC1882A,STAE-023
SC1883,STAE-037
SC1883A,STAE-037
SC1883B,STAE-037
SC1883C,STAE-037
SC1883D,STAE-037
SC1884,STAE-034
SC1884A,STAE-034
SC1885,STAE-032
SC1886,STAE-032
SC1887,STAE-031
SC1888,STAE-031
SC1889,STAE-031
SC1890,STAE-031
SC1890A,STAE-031
SC1890B,STAE-035
SC1891,STAE-035
SC1891A,STAE-035
SC1891B,STAE-036
SC1892,
SC1892A,STAE-028
SC1892B,STAE-030
SC1893,STAE-024
SC1894,STAE-026
SC1895,STAE-039
SC1895A,STAE-039
SC1895C,STAE-038
SC1895D,
SC1896,STAE-042
SC1896A,STAE-038
SC1896B,STAE-042
SC1897,STAE-042
SC1898,STAE-043
SC1899,STAE-043
SC1900,STAE-043
SC1901,
SC1901A,STAE-043
SC1902,STAE-044
SC1903,STAE-044
SC1904,STAE-045
SC1904A,STAE-045
SC1904B,STAE-047
SC1905,STAE-047
SC1906,STAE-047
SC1907,STAE-047
SC1908,STAE-047
SC1909,STAE-046
SC1910,STAE-018
SC1911,STAE-018
SC1912,STAE-016
SC1913,STAE-016
SC1914,STAE-015
SC1915,STAE-015
SC1916,STAE-014
SC1917,STAE-014
SC1918,STAE-014
SC1919,STAE-013
SC1920,STAE-013
SC1921,STAE-013
SC1922,STAE-012
SC1923,STAE-077
SC1924,STAE-078
SC1925,STAE-080
SC1926,STAE-080
SC1927,STAE-080
SC1928,STAE-080
SC1929,STAE-080
SC1930,STAE-099
SC1931,STAE-099
SC1932,STAE-099
SC1933,STAE-099
SC1934,STAE-099
SC1935,STAE-100
SC1936,STAE-100
SC1937,STAE-101
SC1938,STAE-101
SC1939,STAE-076
SC1939A,STAE-076
SC1940,STAE-077
SC1941,STAE-011
SC1942,STAE-010
SC1943,STAE-010
SC1944,STAE-066
SC1945,STAE-073
SC1946,STAE-074
SC1947,STAE-075
SC1948,STAE-102
SC1948A,STAE-102
SC1949,STAE-004
SC1951,STAE-072
SC1952,
SC1953,
SC1954,
SC1955,
SC1957,STAE-002
SC1958,
SC1958A,
SC1959,STAE-104
SC1959A,STAE-104
SC1960,STAE-104
SC1961,STAE-104
SC1962,STAE-104
SC1963,STAE-103
SC1964,STAE-103
SC1964A,STAE-098
SC1965,STAE-098
SC1966,STAE-098
SC1967,STAE-097
SC1968,STAE-097
SC1969,STAE-097
SC1970,STAE-097
SC1971,STAE-105
SC1971A,STAE-105
SC1972,STAE-106
SC1973,STAE-106
SC1974,STAE-107
SC1975,STAE-107
SC1976,STAE-107
SC1977,STAE-107
SC1978,STAE-107
SC1978A,STAE-108
SC1979,STAE-108
SC1979A,STAE-108
SC1980,STAE-092
SC1981,STAE-094
SC1982,STAE-096
SC1982A,STAE-096
SC1983,STAE-088
SC1983A,STAE-087
SC1984,STAE-089
SC1984A,STAE-086
SC1984B,STAE-086
SC1985,STAE-086
SC1986,STAE-084
SC1987,STAE-084
SC1988,STAE-084
SC1989,STAE-084
SC1990,STAE-081
SC1991,STAE-081
SC1992,STAE-109
SC1993,STAE-109
SC1994,STAE-109
SC1995,STAE-109
SC1996,STAE-109
SC1997,STAE-046
SC1998,STAE-046
SC1999,STAE-046
SC2068,STAE-090
SC2069,STAE-091
