short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
STAE-001,C,12.0,0.85,390.36
STAE-002,C,9999.0,0.95,32093.13
STAE-003,Nd,4.11,0.95,17.59
STAE-004,A,10.81,0.95,58.18
STAE-005,A,12.06,0.95,60.13
STAE-006,A1,10.1,0.95,40.23
STAE-007,A1,6.5,0.95,42.79
STAE-008,A1,8.92,0.95,48.47
STAE-009,pt,10.37,1.05,93.49
STAE-010,A1,7.48,1.05,29.31
STAE-011,Or,0.0,0.0,40.58
STAE-012,A,7.72,1.05,94.53
STAE-013,A,11.0,1.05,190.99
STAE-014,C,12.47,1.25,133.55
STAE-015,D,12.32,1.25,84.99
STAE-016,B,12.2,1.25,89.92
STAE-017,B,3.47,1.25,24.46
STAE-018,Or,12.6,1.15,263.42
STAE-019,B,9.0,1.15,100.04
STAE-020,B,11.0,1.15,180.12
STAE-021,pt,0.0,0.0,77.37
STAE-022,pt,0.0,1.15,75.45
STAE-023,Bg,21.91,1.15,406.31
STAE-024,A,0.0,0.0,22.86
STAE-025,A,9.27,1.15,33.47
STAE-026,A,7.14,1.15,27.51
STAE-027,C,0.0,1.15,15.94
STAE-028,A,15.0,1.45,351.77
STAE-029,C,4.3,1.55,26.97
STAE-030,B,7.54,1.45,82.57
STAE-031,B1,10.5,1.55,213.07
STAE-032,B1,11.0,1.55,122.55
STAE-033,pt,8.15,1.05,199.9
STAE-034,Ne,0.0,1.05,317.9
STAE-035,C,6.48,1.45,97.14
STAE-036, ,6.42,1.45,15.02
STAE-037,Ne,0.0,1.05,420.13
STAE-038,Or,9.0,1.15,169.22
STAE-039,B,13.63,1.15,133.29
STAE-040,Ne,11.53,1.15,79.51
STAE-041,Ne,10.54,1.15,115.62
STAE-042,Bg,12.0,1.15,202.63
STAE-043,D,13.42,1.15,100.37
STAE-044,Ne,10.13,1.15,163.78
STAE-045,Bg,4.77,1.15,84.87
STAE-046,Bg,9.9,1.15,138.97
STAE-047,Bg,14.98,1.15,121.22
STAE-048,B,9.86,1.15,84.87
STAE-049,C,7.23,1.15,73.9
STAE-050,C,13.21,1.15,113.23
STAE-051,pt,14.0,1.15,149.91
STAE-052, ,12.25,1.15,62.76
STAE-053, ,0.0,0.0,27.55
STAE-054,A,6.76,1.15,26.4
STAE-055,A,0.0,0.0,42.4
STAE-056,B,7.4,1.15,33.22
STAE-057,B,4.0,1.15,49.19
STAE-058,A1,12.98,1.15,49.35
STAE-059,pt,9.59,1.15,52.68
STAE-060, ,9.67,1.15,179.26
STAE-061,B,13.56,0.95,157.41
STAE-062,A1,11.1,0.95,184.82
STAE-063,B1,13.6,0.95,159.38
STAE-064,A1,11.16,0.95,100.49
STAE-065,C,9.94,1.25,118.61
STAE-066,C,8.35,1.25,229.34
STAE-067,A1,16.44,0.95,143.58
STAE-068,pt,0.0,0.95,275.49
STAE-069,pt,12.28,0.95,73.77
STAE-070, ,11.29,0.95,193.63
STAE-071,pt,8.78,0.95,46.12
STAE-072,A1,12.66,0.95,78.5
STAE-073,pt,10.2,1.05,47.71
STAE-074,pt,10.2,1.05,48.13
STAE-075,pt,0.0,0.0,43.09
STAE-076,A1,11.08,1.05,47.49
STAE-077,Or,11.46,1.05,45.98
STAE-078,Or,11.33,1.05,38.71
STAE-079,A1,11.52,1.05,47.38
STAE-080,Bg,14.13,1.05,92.76
STAE-081,C,17.0,1.25,219.05
STAE-082,C,0.0,0.0,227.1
STAE-083,Knt,5.38,1.25,50.8
STAE-084,C,15.35,1.25,228.08
STAE-085,C,10.0,1.25,36.3
STAE-086,C,11.0,1.25,371.72
STAE-087,A,7.03,1.25,18.66
STAE-088,fa,9.74,1.25,40.12
STAE-089,Bg,9.88,1.25,114.29
STAE-090,SU,12.25,1.25,94.42
STAE-091,SU,15.55,1.25,29.08
STAE-092,SU,8.96,1.25,119.74
STAE-093,SU,0.0,1.25,757.46
STAE-094,SU,20.53,1.25,23.3
STAE-095,SU,32.03,1.25,44.0
STAE-096,A,9.73,1.25,75.42
STAE-097,B1,15.75,0.95,122.84
STAE-098,pt,15.84,0.95,69.19
STAE-099,Bg,0.0,0.0,159.53
STAE-100,Bg,0.0,0.0,113.61
STAE-101,A1,9.98,1.05,51.13
STAE-102,pt,9.5,1.05,60.09
STAE-103,B,10.98,0.95,109.65
STAE-104,C,9999.0,0.95,31649.88
STAE-105,Or,0.0,0.95,117.98
STAE-106,Or,10.94,0.95,112.75
STAE-107,C,16.03,1.15,253.78
STAE-108,C,9999.0,0.85,30375.5
STAE-109,C,23.0,1.25,696.75
STAE~NO_BUILDING,,,,
