short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
TOLE-001,C,14.26,203.09,"SC240, SC240A, SC240B, SC241, SC241A, SC551",5
TOLE-002,C,15.0,90.45,"SC239, SC239A, SC239B",5
TOLE-003,C,9999.0,518.39,"SC552, SC553, SC554",3333
TOLE-004,C,9999.0,376.37,none,3333
TOLE-005,C,9999.0,280.09,"SC237, SC238",3333
TOLE-006,A1,9999.0,181.45,"SC231, SC231A",3333
TOLE-007,C,9999.0,1138.35,"SC555, SC555A, SC556, SC557, SC557A",3333
TOLE-008,A1,0.0,19.71,none,1
TOLE-009,Nr,0.0,41.38,none,1
TOLE-010,C,3.5,201.26,"SC558, SC559",2
TOLE-011,Nr,0.0,190.84,"SC225, SC225A, SC226, SC227, SC597B, SC597C",1
TOLE-012,A,0.0,55.47,SC230,1
TOLE-013,A,0.0,66.82,"SC232, SC233",1
TOLE-014,A,0.0,84.0,SC229,1
TOLE-015,A1,0.0,47.27,SC219,1
TOLE-016, ,0.0,31.5,none,1
TOLE-017,A1,0.0,48.68,"SC218, SC218A",1
TOLE-018,C,11.4,128.11,none,4
TOLE-019,Nr,0.0,354.57,"SC220, SC221, SC222, SC223, SC224, SC598B",1
TOLE-020,Nr,0.0,51.86,none,1
TOLE-021,Nr,0.0,21.32,none,1
TOLE-022,Nr,0.0,126.54,none,1
TOLE-023,A1,0.0,146.51,"SC215, SC216, SC217, SC608, SC609, SC610",1
TOLE-024,A1,0.0,63.59,SC606,1
TOLE-025,A,14.4,148.04,"SC562, SC563",5
TOLE-026,Ne,0.0,100.82,none,1
TOLE-027,B1,0.0,103.32,SC204,1
TOLE-028,A,0.0,42.86,"SC564, SC565, SC566",1
TOLE-029,Nr,0.0,1257.87,SC561,1
TOLE-030,B1,0.0,258.39,"SC205, SC211, SC213, SC214",1
TOLE-031,A,0.0,104.28,"SC201, SC201A",1
TOLE-032,B1,0.0,42.96,SC200B,1
TOLE-033,Nr,0.0,117.37,"SC603, SC604, SC605",1
TOLE-034,Nr,0.0,196.97,"SC567, SC567C, SC568",1
TOLE-035,Ne,0.0,103.8,"SC612, SC613, SC614, SC614A, SC615A",1
TOLE-036,Ne,0.0,102.45,SC597,1
TOLE-037,B,0.0,261.99,"SC202, SC203",1
TOLE-038,Ne,0.0,323.0,none,1
TOLE-039,Nr,0.0,198.64,none,1
TOLE-040,B,0.0,74.56,"SC615, SC616, SC617, SC617A",1
TOLE-041,Nr,0.0,296.77,SC598,1
TOLE-042,fa,0.0,46.57,SC199,1
TOLE-043,Kt,0.0,66.27,none,1
TOLE-044,A1,0.0,34.34,SC198,1
TOLE-045,Nr,0.0,98.34,none,1
TOLE-046,Ne,0.0,143.53,none,1
TOLE-047,A,0.0,180.6,"SC209, SC209A, SC210",1
TOLE-048,Ne,0.0,41.13,SC595C,1
TOLE-049,Nd,0.0,116.89,SC207B,1
TOLE-050,Nr,6.6,61.16,none,3
TOLE-051,Nr,0.0,452.5,SC595B,1
TOLE-052,Kt,7.6,246.08,none,3
TOLE-053,Nr,0.0,940.78,"SC601, SC601A, SC601B, SC602A",1
TOLE-054,Nd,0.0,13.68,SC207A,1
TOLE-055,A,0.0,38.21,SC618,1
TOLE-056,A,0.0,47.72,none,1
TOLE-057,B1,0.0,91.65,SC197E,1
TOLE-058,Nd,0.0,13.27,none,1
TOLE-059,Kt,0.0,142.81,"SC572, SC573",1
TOLE-060,A,0.0,41.17,none,1
TOLE-061,Nr,0.0,212.79,none,1
TOLE-062,B,0.0,175.87,SC595A,1
TOLE-063,Nr,0.0,477.37,"SC619, SC620, SC621, SC622, SC623, SC624, SC625, SC626",1
TOLE-064,Ne,0.0,835.73,"SC197B, SC197C, SC197H, SC197I, SC197L, SC197M",1
TOLE-065,B,0.0,79.33,none,1
TOLE-066,B,0.0,160.24,"SC639, SC640",1
TOLE-067,Nr,0.0,478.44,"SC627, SC628, SC629, SC630, SC631, SC632, SC633, SC634, SC635",1
TOLE-068,B,0.0,72.83,SC641,1
TOLE-069,pt,0.0,85.9,SC642,1
TOLE-070,Ne,0.0,71.5,SC643A,1
TOLE-071,Nr,0.0,247.11,"SC636A, SC637, SC637A, SC637B",1
TOLE-072,Nr,0.0,84.38,"SC643, SC643B",1
TOLE-073,B1,0.0,68.29,"SC165, SC166, SC167, SC168",1
TOLE-074,B1,9999.0,276.89,"SC169, SC170, SC171",3333
TOLE-075,B1,9999.0,29239.15,"SC163, SC163A, SC164",3333
TOLE-076,A1,9999.0,458.37,"SC177, SC178, SC179, SC180",3333
TOLE-077,B,9999.0,906.37,"SC181A, SC181B, SC182, SC183, SC183A, SC184",3333
TOLE-078,C,9999.0,732.69,"SC180A, SC180B, SC181",3333
TOLE-079,A,6.66,44.05,"SC172, SC173",3
TOLE-080,B,9999.0,29181.58,"SC161, SC161A, SC162",3333
TOLE-081,C,9999.0,916.89,"SC187A, SC187B, SC187C, SC188A, SC189, SC189A, SC190A",3333
TOLE-082,A,8.65,40.63,none,3
TOLE-083,A1,0.0,54.6,SC176,1
TOLE-084, ,0.0,147.93,"SC158, SC159, SC160",1
TOLE-085, ,6.41,43.71,SC173A,3
TOLE-086,Bg,11.4,102.05,none,4
TOLE-087,A1,9.63,79.65,"SC174, SC175",4
TOLE-088,fa,8.4,45.63,none,3
TOLE-089,Bg,9999.0,12358.54,"SC155, SC156, SC157",3333
TOLE-090,C,0.0,191.71,SC154,1
TOLE-091,B1,0.0,158.51,"SC191A, SC191B, SC191C, SC192",1
TOLE-092,fa,0.0,17.73,none,1
TOLE-093,SU,0.0,1476.48,none,1
TOLE-094,B,9999.0,1480.21,"SC151, SC152, SC152A, SC153",3333
TOLE-095,A1,9999.0,763.14,"SC149, SC150",3333
TOLE-096,A1,11.08,36.8,"SC144, SC145, SC146, SC147, SC148",4
TOLE-097,SP,8.0,121.63,"SC194, SC195, SC196",3
TOLE-098, ,7.47,45.56,none,3
TOLE-099,C,9999.0,11840.32,"SC142, SC142A, SC143",3333
TOLE-100,Knt,6.98,132.88,none,3
TOLE-101,Knt,5.37,109.33,none,2
TOLE-102,Nd,9999.0,10643.31,"SC134, SC134A, SC134B, SC135, SC136, SC136A, SC137, SC138, SC139, SC140, SC141",3333
TOLE-103,Nd,4.3,96.67,none,2
TOLE-104,Nr,11.29,133.65,"SC132, SC133",4
TOLE-105,Nd,9999.0,10659.31,none,3333
TOLE-106,Nd,0.0,372.89,none,1
TOLE-107,Nd,3.73,15.49,none,2
TOLE-108,Nr,0.0,0.0,none,1
TOLE-109,A,13.48,260.38,"SC131, SC131A",5
TOLE-110,Knt,0.0,0.0,none,1
TOLE-111,C,14.65,54.32,"SC125A, SC126, SC126A, SC128, SC130",5
TOLE-112,Nd,0.0,24.78,none,1
TOLE-113,Nr,15.05,11.41,none,6
TOLE-114,Nr,3.54,38.51,SC127,2
TOLE-115,Nr,3.6,21.04,none,2
TOLE-116,Nd,9999.0,565.26,none,3333
TOLE-117,Nr,8.7,26.47,none,3
TOLE-118,Nd,0.0,25.25,none,1
TOLE-119,B1,9.63,68.93,none,4
TOLE-120,B,9999.0,9511.51,"SC123, SC124, SC125",3333
TOLE-121,B,0.0,339.45,"SC117, SC117A, SC117B, SC118",1
TOLE-122,A1,9999.0,8509.04,"SC122A, SC122B",3333
TOLE-123,Nr,4.66,61.39,SC118A,2
TOLE-124,A,9.3,44.22,"SC121, SC121A",4
TOLE-125,B,9999.0,9493.43,SC118E,3333
TOLE-126,C,15.3,161.66,"SC119, SC119A, SC120",6
TOLE-127,Or,12.6,146.5,"SC111, SC116A",5
TOLE-128,Ne,8.56,23.29,none,3
TOLE-129,B,0.0,61.12,"SC114, SC114A, SC115",1
TOLE-130,Or,8.76,24.41,SC111A,3
TOLE-131,A1,9.64,47.87,SC113,4
TOLE-132,Ne,9999.0,9474.35,none,3333
TOLE-133,C,10.63,85.04,"SC107A, SC108, SC110, SC110A",4
TOLE-134,Or,10.03,25.03,SC107,4
TOLE-135,A,10.06,44.56,SC106,4
TOLE-136,B,13.2,228.22,"SC100, SC101, SC102, SC86C, SC87",5
TOLE-137,B,13.4,25.01,SC103,5
TOLE-138,Ne,12.0,57.26,none,4
TOLE-139,B,10.11,24.66,SC104,4
TOLE-140,Nr,9999.0,9403.45,"SC118D, SC89, SC89A",3333
TOLE-141,B,10.3,32.39,SC99,4
TOLE-142,Bg,10.63,112.64,"SC95, SC96, SC97",4
TOLE-143,Bg,0.0,125.11,"SC93, SC94",1
TOLE-144,Or,5.34,7.53,none,2
TOLE-145,Bg,12.73,117.76,"SC91, SC92",5
TOLE-146,fa,10.62,98.01,"SC86, SC86A",4
TOLE-147,Bg,0.0,131.15,SC90,1
TOLE-148,Or,8.75,141.87,"SC88, SC88C",3
TOLE-149,fa,12.88,91.93,"SC82, SC83, SC84, SC85",5
TOLE-150,Nr,6.0,224.09,SC88A,2
TOLE-151,Nd,4.0,29.74,none,2
TOLE-152,fa,10.9,304.79,"SC77, SC78, SC79, SC80, SC80A, SC81, SC81A",4
TOLE-153,Nr,0.0,33.03,none,1
TOLE-154,Nr,13.48,264.98,SC88B,5
TOLE-155,Nr,13.64,144.55,"SC71, SC71A",5
TOLE-156,C,4.34,20.76,none,2
