short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ZAND-001,Knt,5.32,1.25,25.97
ZAND-002,B,10.0,0.95,71.87
ZAND-003,Nr,4.63,0.95,117.61
ZAND-004,Ne,9999.0,1.25,32774.47
ZAND-005,Kot,12.95,1.25,206.83
ZAND-006,Bg,0.0,0.0,78.45
ZAND-007,B,0.0,0.95,73.41
ZAND-008,Kot,4.45,1.35,106.03
ZAND-009,B1,12.5,1.25,197.27
ZAND-010,C,0.0,0.0,83.34
ZAND-011,C,9999.0,1.25,32522.99
ZAND-012,B,0.0,0.0,32.29
ZAND-013,A1,0.0,0.0,27.25
ZAND-014,Nr,9.19,0.95,171.09
ZAND-015,A1,13.1,1.25,98.59
ZAND-016,A1,9999.0,0.0,253.48
ZAND-017,Or,13.86,0.95,365.67
ZAND-018,Knt,16.95,1.25,60.79
ZAND-019,Or,16.45,1.25,257.18
ZAND-020,Or,0.0,0.0,66.72
ZAND-021,Knt,16.95,1.25,60.79
ZAND-022,Knt,9.69,1.25,106.38
ZAND-023,C,9999.0,1.25,32424.91
ZAND-024,C,13.8,1.25,263.71
ZAND-025,B,14.16,1.25,188.35
ZAND-026,B1,11.57,1.15,208.47
ZAND-027,Kna,9999.0,0.85,34704.17
ZAND-028,B1,9.7,1.35,99.12
ZAND-029,B1,0.0,0.0,61.75
ZAND-030,Bg,11.84,0.85,189.63
ZAND-031,B1,0.0,0.0,73.51
ZAND-032,Nr,7.6,1.35,96.85
ZAND-033,B,10.4,1.25,62.45
ZAND-034,C,9999.0,0.85,33878.45
ZAND-035,B,14.0,1.35,104.99
ZAND-036,Nr,15.3,1.25,75.66
ZAND-037,C,0.0,0.0,89.12
ZAND-038,Bg,9999.0,1.15,33825.59
ZAND-039,B,4.07,1.35,22.34
ZAND-040,A1,10.5,1.25,61.51
ZAND-041, ,3.15,1.35,4.88
ZAND-042,Nd,10.1,1.35,48.59
ZAND-043,A1,9.64,1.25,104.38
ZAND-044,Kna/Ne,9.46,1.15,244.12
ZAND-045,Ne,10.1,1.25,154.36
ZAND-046,Ne,0.0,0.0,221.24
ZAND-047,A1,12.2,1.25,56.11
ZAND-048,A1,0.0,0.0,51.44
ZAND-049,B,10.3,1.25,81.64
ZAND-050,A1,9.7,1.25,51.56
ZAND-051,A,9999.0,1.15,32894.93
ZAND-052,Ne,9999.0,1.15,33165.81
ZAND-053,fa,17.07,1.35,294.09
ZAND-054,A,0.0,0.0,29.98
ZAND-055,A,10.3,1.25,24.04
ZAND-056,A,0.0,0.0,54.07
ZAND-057,B,14.16,1.35,60.37
ZAND-058,A,8.63,1.25,46.7
ZAND-059, ,12.44,1.35,158.35
ZAND-060,B,3.76,1.35,11.85
ZAND-061,A,12.6,1.25,67.62
ZAND-062,B,0.0,0.0,101.79
ZAND-063,Or,8.38,1.25,39.67
ZAND-064,Bg,8.84,1.25,123.3
ZAND-065,Or,13.2,1.25,429.14
ZAND-066,Knt,6.12,1.35,93.78
ZAND-067,Or,10.0,0.95,61.04
ZAND-068,Or,9999.0,1.35,32866.73
ZAND-069,Or,0.0,0.0,70.93
ZAND-070,Or,6.12,1.35,93.52
ZAND-071,Or,9999.0,1.35,32862.97
ZAND-072,Or,0.0,1.15,54.53
ZAND-073,fa,0.0,1.15,191.59
ZAND-074,fa,8.36,1.15,23.67
ZAND-075,B1,7.26,1.05,79.87
ZAND-076,A1,0.0,0.0,54.74
ZAND-077,A1,9.34,1.05,54.44
ZAND-078,A1,7.0,1.05,54.04
ZAND-079,B,13.4,1.05,117.79
ZAND-080,Knt,0.0,0.0,150.18
ZAND-081,fa,0.0,1.05,174.66
ZAND-082,Knt,0.0,0.0,177.88
ZAND-083,Knt,0.0,1.05,252.89
ZAND-084,C,0.0,0.0,404.28
ZAND-085,C,0.0,0.95,395.53
ZAND-086,A1,9.0,0.95,59.06
ZAND-087,A1,0.0,0.0,43.19
ZAND-088,fa,0.0,1.05,13.84
ZAND-089,B,10.0,0.95,137.35
ZAND-090,B,10.6,1.05,42.98
ZAND-091,B,11.2,1.05,110.36
ZAND-092,Or,10.1,1.05,114.69
ZAND-093,Nr,7.18,0.95,64.55
ZAND-094, ,0.0,1.05,202.38
ZAND-095,B,12.3,1.05,90.5
ZAND-096,fa,10.4,0.95,23.66
ZAND-097,C,13.1,1.05,174.44
ZAND-098,Nr,8.18,1.05,88.22
ZAND-099,C,3.8,1.05,114.49
ZAND-100,B,0.0,0.0,91.22
ZAND-101,B,14.2,1.05,71.26
ZAND-102,B,11.0,1.05,118.19
ZAND-103,B,12.0,0.95,118.43
ZAND-104,B,13.1,1.05,105.92
ZAND-105,Nr,12.6,1.05,172.61
ZAND-106,B,12.2,0.95,74.92
ZAND-107,A1,0.0,0.95,113.72
ZAND-108,A1,10.3,0.95,71.72
ZAND-109,Ne,9.4,0.95,97.01
ZAND-110,B,0.0,0.0,98.25
ZAND-111,C,10.6,0.95,63.6
ZAND-112,B,5.0,0.95,46.56
ZAND-113,B,0.0,0.0,92.84
ZAND-114,B,3.9,0.95,70.59
ZAND-115,B,16.4,0.95,180.32
ZAND-116,B,0.0,0.0,143.71
ZAND-117,B,0.0,0.0,104.53
ZAND-118,A1,15.1,1.15,103.77
ZAND-119,A1,11.6,1.15,92.18
ZAND-120,B,10.1,1.15,89.29
ZAND-121,Bg,10.1,1.15,107.97
ZAND-122,A1,11.0,1.15,54.33
ZAND-123,Nd,4.47,1.15,17.88
ZAND-124,Ne,11.3,1.15,157.98
ZAND-125,Or,4.9,1.15,81.88
ZAND-126,B,0.0,0.0,72.31
ZAND-127,B,0.0,0.0,45.7
ZAND-128,B,0.0,0.0,47.76
ZAND-129,B,8.27,1.15,92.47
ZAND-130,Nr,5.29,1.45,28.14
ZAND-131,C,14.3,1.15,161.2
ZAND-132,B1,10.0,1.15,74.46
ZAND-133,C,0.0,0.0,129.35
ZAND-134,Nr,16.1,1.45,106.77
ZAND-135,Nr,8.27,1.15,82.41
ZAND-136,C,0.0,0.0,141.99
ZAND-137,C,0.0,0.0,110.15
ZAND-138,Nd,11.0,1.15,84.14
ZAND-139,Or,10.0,1.15,47.22
ZAND-140,Nd,7.78,1.15,82.47
ZAND-141,Bg,0.0,0.0,110.73
ZAND-142,Bg,13.5,1.15,108.8
ZAND-143,Or,0.0,0.0,64.82
ZAND-144,Or,6.07,1.15,28.27
ZAND-145,Bg,14.5,1.15,181.16
ZAND-146,Or,14.5,1.15,71.22
ZAND-147,B,11.0,1.15,92.3
ZAND-148,Nr,11.6,1.15,480.25
ZAND-149,fa,11.4,1.05,416.8
ZAND-150,Or,7.68,1.15,254.96
ZAND-151,Ne,10.5,1.05,83.38
ZAND-152,Ne,4.13,0.95,63.39
ZAND-153,Or,13.8,1.05,176.38
ZAND-154,A,14.3,0.85,395.56
ZAND-155,Or,0.0,0.0,21.33
ZAND-156,B,11.4,0.95,237.79
ZAND-157,Bg,12.9,0.95,102.72
ZAND-158,SU,10.4,0.95,101.62
ZAND-159,B1,0.0,0.0,89.8
ZAND-160,B,14.3,0.95,52.44
ZAND-161,B1,11.9,1.25,89.16
ZAND-162,SU,0.0,1.05,737.21
ZAND-163,B,15.0,0.95,219.23
ZAND-164,Or,8.33,0.95,50.09
ZAND-165, ,7.28,1.25,109.36
ZAND-166,B,13.4,0.95,76.55
ZAND-167,B,9.7,0.95,77.32
ZAND-168,Nr,5.61,0.95,118.1
ZAND-169,B,0.0,0.0,72.47
ZAND-170, ,5.21,0.95,117.54
ZAND-171,Nd,11.5,1.05,55.62
ZAND-172,B,0.0,0.0,79.43
ZAND-173,Nr,0.0,0.0,114.54
ZAND-174,A,0.0,1.25,54.7
ZAND-175,B,0.0,0.0,74.2
ZAND-176,A1,3.62,1.05,17.91
ZAND-177,A,0.0,0.0,22.58
ZAND-178,A,10.9,1.15,83.49
ZAND-179,A,10.2,1.25,37.86
ZAND-180,Bg,10.6,1.15,55.55
ZAND-181,B,0.0,0.0,75.34
ZAND-182,A1,7.99,1.05,65.91
ZAND-183,Nr,0.0,1.05,168.19
ZAND-184,Nr,11.7,1.05,121.51
ZAND-185,D,9.1,1.15,45.01
ZAND-186,B,12.0,1.15,178.99
ZAND-187,B,0.0,1.15,172.28
ZAND-188,A1,11.7,1.15,60.34
ZAND-189,C,10.7,1.15,199.72
ZAND-190,B,9.2,1.05,73.07
ZAND-191,C,0.0,0.0,76.59
ZAND-192,C,13.2,1.05,61.26
ZAND-193,Or,20.2,0.95,214.07
ZAND-194,fa,0.0,1.05,150.04
ZAND-195,Bg,15.7,1.05,131.98
ZAND-196,Bg,0.0,0.0,98.83
ZAND-197,fa,0.0,0.0,156.17
ZAND-198,Bg,15.1,1.05,292.79
ZAND-199,B,8.82,1.05,36.64
ZAND-200,fa,12.5,1.05,142.16
ZAND-201,B,10.2,1.05,55.01
ZAND-202,Ne,11.4,1.15,135.31
ZAND-203,pt,11.0,1.15,131.65
ZAND-204,B1,7.92,1.15,46.2
