short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
ANZO-001,C,0.0,0.95,520.54
ANZO-002,A,0.0,0.0,130.3
ANZO-003,A,17.5,0.85,469.53
ANZO-004,Bg,18.0,0.85,307.21
ANZO-005,Bg,0.0,0.0,345.11
ANZO-006,B,0.0,0.0,113.52
ANZO-007,A,0.0,0.0,59.7
ANZO-008,C,10.0,0.95,148.04
ANZO-009,C,13.43,0.95,55.14
ANZO-010,C,9.7,0.95,103.15
ANZO-011,fa,20.61,0.95,964.99
ANZO-012, ,6.2,0.95,11.71
ANZO-013,fa,9.43,0.95,123.17
ANZO-014,A,0.0,0.0,40.72
ANZO-015,A,12.58,0.95,59.58
ANZO-016,A,19.36,0.85,236.84
ANZO-017,C,12.54,0.75,95.67
ANZO-018,Knt,13.03,0.75,107.18
ANZO-019,Bg,0.0,0.0,87.05
ANZO-020,Bg,0.0,0.0,68.42
ANZO-021,Bg,12.38,0.75,55.91
ANZO-022, ,12.53,0.75,116.71
ANZO-023, ,0.0,0.75,6.18
ANZO-024,Knt,10.13,0.75,54.56
ANZO-025,Knt,0.0,0.0,0.0
ANZO-026,D,13.53,0.75,109.19
ANZO-027,D,10.56,0.75,11.95
ANZO-028,C,15.5,0.75,362.67
ANZO-029,C,22.0,0.75,372.76
ANZO-030,Bg,15.26,0.75,224.01
ANZO-031,C,12.6,0.75,157.44
ANZO-032,SU,9.2,1.15,252.36
ANZO-033,Bg,6.31,1.15,92.2
ANZO-034,Bg,11.49,1.15,122.91
ANZO-035,B,12.82,0.75,103.52
ANZO-036,fa,16.3,0.75,234.53
ANZO-037,fa,9.9,0.75,220.36
ANZO-038,C,0.0,0.0,251.59
ANZO-039,C,0.0,0.0,279.05
ANZO-040,C,19.07,0.75,296.47
ANZO-041,C,18.65,1.05,300.35
ANZO-042,C,0.0,1.05,402.83
ANZO-043,C,11.37,0.85,64.54
ANZO-044,A,0.0,0.0,54.9
ANZO-045,C,21.44,0.85,385.43
ANZO-046,C,0.0,0.0,287.75
ANZO-047,A,0.0,0.0,238.96
ANZO-048,pt,10.57,0.95,86.8
ANZO-049,D,13.2,0.75,85.67
ANZO-050,A,0.0,0.0,28.39
ANZO-051,A,13.39,0.75,127.03
ANZO-052,B,12.22,0.75,94.07
ANZO-053,C,10.89,0.75,117.91
ANZO-054,B,6.62,0.75,69.36
ANZO-055,Bg,11.15,0.75,52.52
ANZO-056,Bg,10.38,1.95,59.17
ANZO-057,Bg,10.21,1.15,100.58
ANZO-058, ,0.0,1.05,1.7
ANZO-059, ,14.4,0.75,108.79
ANZO-060,C,16.23,1.15,524.86
ANZO-061,pt,12.85,1.15,187.39
ANZO-062,C,15.54,1.15,357.94
ANZO-063,fa,0.0,1.15,378.6
ANZO-064,Kt,5.7,0.75,28.01
ANZO-065,Kt,13.2,0.95,190.38
ANZO-066,Kt,13.0,0.95,284.98
ANZO-067,fa,0.0,0.0,111.82
ANZO-068,C,16.36,0.95,447.26
ANZO-069,Or,15.0,0.75,325.88
ANZO-070,Or,10.32,0.75,205.59
ANZO-071,Kna,16.2,0.75,313.98
ANZO-072,Kna,4.43,0.75,72.51
ANZO-073,A,14.54,0.75,116.79
ANZO-074,Or,15.64,0.75,57.2
ANZO-075,Or,13.0,0.75,409.95
ANZO-076,C,11.87,0.75,281.58
ANZO-077, ,14.57,0.75,153.24
ANZO-078,Or,14.2,0.75,507.81
ANZO-079,C,8.55,0.75,87.36
ANZO-080,B,11.15,0.75,34.63
ANZO-081,A,13.22,0.75,58.59
ANZO-082,A,0.0,0.0,28.84
ANZO-083,A,0.0,0.0,44.85
ANZO-084,fa,13.02,0.75,92.56
ANZO-085, ,13.43,0.75,238.38
ANZO-086,fa,13.54,0.75,334.64
ANZO-087, ,12.52,0.75,107.06
ANZO-088, ,13.42,0.75,15.38
ANZO-089,Or,13.71,0.75,91.26
ANZO-090, ,0.0,0.0,230.07
ANZO-091,fa,14.9,0.75,126.09
ANZO-092,C,12.54,0.75,95.87
ANZO-093,A1,12.54,0.75,35.65
ANZO-094,fa,13.0,0.75,83.66
ANZO-095,pt,0.0,0.0,65.17
ANZO-096,pt,0.0,0.0,45.86
ANZO-097,pt,0.0,0.0,57.27
ANZO-098,pt,0.0,0.0,116.47
ANZO-099,pt,0.0,0.0,100.58
ANZO-100,pt,0.0,0.75,41.28
ANZO-101,Ne,11.64,0.75,130.87
ANZO-102,C,12.6,0.75,236.29
ANZO-103,A1,10.66,0.85,20.31
ANZO-104,fa,11.2,0.85,97.71
ANZO-105,fa,16.24,0.85,119.41
ANZO-106,fa,11.2,0.85,61.98
ANZO-107,C,16.42,0.85,271.16
ANZO-108,fa,11.67,0.85,100.76
