Full_sesti,short_alias
SM4796,BORT-061
SM4797,BORT-061
SM4798,BORT-061
SM4799,
SM4799A,BORT-059
SM4800,BORT-057
SM4800A,BORT-057
SM4800B,BORT-057
SM4805,BORT-058
SM4806,BORT-058
SM4809,BORT-059
SM4810,BORT-060
SM4810A,BORT-060
SM4810B,BORT-060
SM4811,BORT-060
SM4812,BORT-060
SM4813,BORT-060
SM4814,BORT-060
SM4815,BORT-060
SM4816,BORT-060
SM4817,BORT-060
SM4818,BORT-060
SM4819,BORT-165
SM4820,BORT-165
SM4821,BORT-165
SM4822,BORT-165
SM4826,BORT-165
SM4827,BORT-030
SM4828,BORT-030
SM4829,BORT-030
SM4830,BORT-030
SM4831,BORT-029
SM4832,BORT-029
SM4833,BORT-028
SM4834,BORT-028
SM4835,BORT-026
SM4836,BORT-026
SM4837,BORT-026
SM4839,BORT-021
SM4840,BORT-021
SM4842,BORT-021
SM4843,BORT-159
SM4844,BORT-159
SM4845,BORT-159
SM4847,BORT-160
SM4848,BORT-160
SM4849,BORT-160
SM4850,BORT-160
SM4851,BORT-161
SM4852,BORT-161
SM4854,BORT-162
SM4855,BORT-162
SM4856,BORT-162
SM4857,BORT-163
SM4858,BORT-163
SM4859,BORT-163
SM4860,BORT-112
SM4861,BORT-113
SM4862,BORT-113
SM4863,BORT-113
SM4864,BORT-113
SM4864A,BORT-113
SM4865,BORT-114
SM4866,
SM4867,BORT-115
SM4868,BORT-115
SM4869,BORT-115
SM4869A,BORT-115
SM4870,BORT-118
SM4870A,BORT-118
SM4870B,BORT-117
SM4871,BORT-117
SM4872,BORT-117
SM4873,BORT-117
SM4874,BORT-117
SM4875,BORT-119
SM4876,BORT-119
SM4877,BORT-122
SM4878,BORT-122
SM4879,BORT-122
SM4880,BORT-127
SM4881,
SM4882,BORT-129
SM4882A,BORT-129
SM4882B,BORT-130
SM4883,BORT-131
SM4884,BORT-131
SM4885,BORT-131
SM4886,BORT-127
SM4887,BORT-127
SM4888,BORT-127
SM4889,BORT-126
SM4890,BORT-125
SM4891,BORT-125
SM4892,BORT-125
SM4893,BORT-124
SM4893A,BORT-125
SM4894,BORT-123
SM4894A,BORT-123
SM4894B,BORT-121
SM4895,BORT-123
SM4896,BORT-121
SM4896B,BORT-120
SM4897,BORT-121
SM4898A,BORT-116
