short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
BORT-001,A,12.4,1.15,60.37
BORT-002,A,0.0,0.0,48.73
BORT-003,A,12.3,1.15,282.48
BORT-004,fa,15.0,1.15,267.82
BORT-005,fa,18.32,1.05,99.59
BORT-006,C,14.58,1.05,57.26
BORT-007,C,0.0,0.0,56.5
BORT-008,C,20.33,1.15,15.1
BORT-009,C,0.0,0.0,69.33
BORT-010,A,18.73,1.05,70.32
BORT-011,Ne,16.0,0.95,83.16
BORT-012,A1,13.29,1.15,103.7
BORT-013,B,9999.0,0.85,216.04
BORT-014,B,16.33,0.85,72.04
BORT-015,A1,13.04,0.85,53.57
BORT-016,A1,3.6,0.85,10.31
BORT-017,Bg,0.0,0.85,117.39
BORT-018,A,18.15,1.15,114.46
BORT-019,A1,19.36,0.95,46.68
BORT-020,Bg,19.21,0.95,55.31
BORT-021,Nr,4.3,0.95,13.1
BORT-022,Or,16.27,0.95,56.54
BORT-023, ,15.62,0.95,55.38
BORT-024, ,21.55,1.05,8.47
BORT-025, ,15.3,1.15,31.64
BORT-026,SU,16.17,1.15,61.29
BORT-027,Bg,0.0,0.95,1483.85
BORT-028,Bg,0.0,0.0,51.51
BORT-029,Bg,0.0,0.0,47.54
BORT-030,Bg,0.0,1.15,66.61
BORT-031,B,0.0,0.0,37.74
BORT-032,B,0.0,0.0,53.43
BORT-033,A,18.38,1.15,243.15
BORT-034,A,0.0,1.15,47.4
BORT-035, ,20.0,0.85,44.8
BORT-036,A,0.0,0.0,52.59
BORT-037, ,17.7,1.15,72.6
BORT-038, ,0.0,0.0,64.37
BORT-039, ,4.08,0.85,39.1
BORT-040, ,20.32,0.85,162.84
BORT-041,B,10.6,0.85,47.21
BORT-042,B,16.32,0.85,113.24
BORT-043,B,9999.0,1.15,2065.78
BORT-044,Bg,9999.0,0.85,164.96
BORT-045,Nd,18.08,1.15,130.07
BORT-046,Nd,20.06,1.29,12.22
BORT-047,C,9999.0,1.29,146.09
BORT-048,Nr,4.52,1.15,33.98
BORT-049,Nr,7.4,1.15,32.01
BORT-050,A,0.0,1.15,32.12
BORT-051,Or,9999.0,1.15,1982.84
BORT-052,Or,0.0,1.05,19.89
BORT-053,Or,19.42,1.15,136.31
BORT-054,Or,9999.0,1.05,1561.46
BORT-055,Or,19.1,1.15,230.61
BORT-056,Or,18.44,1.15,216.59
BORT-057,C,18.11,0.95,173.45
BORT-058,fa,11.1,0.95,196.19
BORT-059, ,0.0,0.0,213.18
BORT-060,SU,17.0,0.95,536.5
BORT-061, ,19.72,1.05,43.15
BORT-062,Or,19.72,0.95,67.43
BORT-063,C,19.16,0.95,154.85
BORT-064,A1,17.0,0.95,40.77
BORT-065,Or,9999.0,0.95,1073.3
BORT-066,A1,9999.0,0.95,1107.28
BORT-067,A1,9999.0,1.15,1113.66
BORT-068,B,18.44,1.05,98.41
BORT-069,B,9999.0,1.15,1160.34
BORT-070,Or,9999.0,1.15,1225.76
BORT-071,Or,9999.0,1.05,1533.54
BORT-072,fa,12.58,1.05,30.61
BORT-073,fa,0.0,1.05,64.35
BORT-074, ,0.0,1.05,5.76
BORT-075,Or,0.0,1.05,14.91
BORT-076,Or,18.9,1.05,128.06
BORT-077,C,14.16,1.05,112.19
BORT-078,B,0.0,0.0,104.64
BORT-079,C,0.0,0.0,60.98
BORT-080,A1,14.95,1.05,222.54
BORT-081,A1,0.0,0.95,273.79
BORT-082,C,18.76,0.95,278.95
BORT-083,D,17.0,0.95,135.65
BORT-084,D,20.65,1.05,180.02
BORT-085,pt,33.46,1.15,22.3
BORT-086,Nr,13.57,1.15,491.14
BORT-087,B1,13.4,1.15,90.05
BORT-088,D,21.21,1.15,129.04
BORT-089,A1,17.33,1.15,184.13
BORT-090,A,17.2,1.15,45.63
BORT-091,B,0.0,0.0,30.64
BORT-092,B,16.27,1.15,107.75
BORT-093,Or,17.0,1.15,59.76
BORT-094,fa,14.78,1.15,209.44
BORT-095,C,18.35,1.15,60.07
BORT-096,B1,11.6,1.15,101.47
BORT-097,C,18.11,1.15,311.7
BORT-098,B,17.5,0.95,143.95
BORT-099,A1,0.0,0.0,68.68
BORT-100,B,9999.0,0.85,341.36
BORT-101,B,14.47,0.85,66.58
BORT-102,B1,15.84,0.85,83.06
BORT-103,B1,0.0,0.85,103.98
BORT-104,A1,13.26,0.85,217.58
BORT-105,A,7.6,0.95,24.19
BORT-106,A,3.6,0.95,33.41
BORT-107,fa,19.67,0.95,122.42
BORT-108,Bg,0.0,0.95,61.18
BORT-109,fa,0.0,0.95,75.33
BORT-110,A,13.27,1.05,112.6
BORT-111,A,16.25,1.05,66.93
BORT-112,A,15.98,1.05,30.22
BORT-113,A,17.12,1.05,180.45
BORT-114,C,6.28,1.05,123.48
BORT-115,SM,18.35,1.15,168.27
BORT-116,B1,0.0,1.15,100.45
BORT-117,C,0.0,0.0,146.4
BORT-118,C,19.16,1.15,64.81
BORT-119,C,0.0,0.0,104.74
BORT-120,Bg,10.02,1.15,74.54
BORT-121,A,9.72,0.85,76.59
BORT-122,C,0.0,1.15,103.39
BORT-123,A,14.29,0.85,55.61
BORT-124,Or,15.24,0.75,125.77
BORT-125,C,16.0,0.85,153.61
BORT-126,Bg,9.87,0.85,15.25
BORT-127,Bg,15.06,0.85,160.9
BORT-128, ,0.0,0.85,5.61
BORT-129, ,19.93,0.95,139.69
BORT-130,pt,18.79,1.05,108.11
BORT-131,pt,0.0,0.85,107.58
BORT-132,C,15.65,0.85,308.5
BORT-133,C,0.0,0.0,106.1
BORT-134,C,15.24,1.15,104.81
BORT-135,pt,16.8,1.05,268.17
BORT-136,A,16.98,1.05,79.06
BORT-137,A,16.05,1.05,80.74
BORT-138,B,14.94,0.95,81.23
BORT-139,B,16.66,0.95,67.88
BORT-140,B1,0.0,0.0,27.6
BORT-141,B1,16.0,1.0,86.11
BORT-142,A1,0.0,1.95,58.92
BORT-143,A1,0.0,0.85,29.77
BORT-144,A1,15.75,0.85,30.88
BORT-145,A1,13.43,0.85,35.5
BORT-146,A1,15.98,0.85,37.82
BORT-147,B,20.24,0.95,83.5
BORT-148,C,17.63,0.95,137.01
BORT-149,B,15.22,0.85,99.94
BORT-150,Ne,13.32,0.85,65.99
BORT-151,A1,0.0,0.0,38.5
BORT-152,A1,0.0,0.0,34.56
BORT-153,pt,0.0,1.05,142.28
BORT-154,Bg,16.98,1.05,175.61
BORT-155,B1,0.0,0.85,40.5
BORT-156,C,23.79,0.95,492.14
BORT-157,Nr,0.0,0.95,33.57
BORT-158,A,0.0,0.95,43.67
BORT-159,Or,16.0,0.95,106.8
BORT-160,B,0.0,0.0,43.17
BORT-161,A,0.0,0.95,20.09
BORT-162,A1,19.25,1.05,54.74
BORT-163,A1,0.0,1.05,209.05
BORT-164,SM,41.84,1.05,54.73
BORT-165,SM,17.38,1.15,2253.72
BORT-166,A,17.62,0.95,151.7
BORT-167,A1,0.0,0.85,47.75
BORT-168,C,0.0,0.85,369.96
BORT-169,Bg,14.4,0.85,133.81
BORT-170,Bg,14.1,0.85,69.16
BORT-171, ,9999.0,0.85,68.7
BORT-172,A1,15.3,0.95,23.84
BORT-173,A1,9999.0,0.95,469.44
BORT-174,Or,9.36,0.95,94.54
BORT-175,Nd,0.0,0.95,13.28
BORT-176,B,19.23,0.95,70.19
BORT-177,C,13.1,0.95,66.69
BORT-178,Nr,9.98,0.95,93.82
BORT-179,B,16.62,1.05,154.92
BORT-180,B,13.69,1.05,33.73
BORT-181,B,16.07,1.05,69.23
BORT-182,A1,13.88,1.05,55.89
BORT-183,A1,15.11,1.05,58.51
BORT-184,A1,16.25,0.95,121.65
BORT-185,pt,14.18,0.95,46.21
BORT-186,Nr,9999.0,0.95,978.92
BORT-187,A,14.98,1.05,97.57
BORT-188,A,14.33,1.05,53.21
BORT-189,Nr,14.0,1.05,113.46
BORT-190,Nr,13.65,1.05,114.65
BORT-191,A,13.63,1.05,62.39
BORT-192,A,0.0,0.0,27.2
BORT-193,A,12.3,1.05,79.31
BORT-194,fa,17.31,1.05,152.73
BORT-195,A,13.65,1.05,104.91
BORT-196,C,19.78,1.05,192.71
BORT-197,C,0.0,0.0,121.11
BORT-198,Bg,15.0,1.05,69.19
BORT-199,C,18.65,1.05,214.07
BORT-200,B,0.0,0.0,80.08
BORT-201,B,12.32,1.05,60.33
BORT-202,B,19.39,1.15,210.04
BORT-203,A,12.3,1.15,51.23
BORT-204,B,11.94,1.15,124.59
BORT-205,D,15.0,1.15,107.1
BORT-206,fa,13.14,1.15,25.93
BORT-207,A1,13.58,1.15,144.83
BORT-208,SM,21.15,1.05,2293.57
BORT-209,D,21.04,1.05,552.35
BORT-210,P,0.0,8.14,114.09
BORT-211,P,0.0,8.14,122.54
BORT-212,Ne,15.69,0.85,318.41
BORT~NO_BUILDING,,,,
