short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
DUCA-001,fa,0.0,0.0,24.87
DUCA-002,fa,0.0,0.0,23.52
DUCA-003,fa,9999.0,1.05,4659.88
DUCA-004,fa,0.0,0.0,81.36
DUCA-005,C,0.0,1.05,282.33
DUCA-006,Bg,15.98,1.05,252.75
DUCA-007,Bg,0.0,0.0,200.44
DUCA-008,Bg,0.0,0.0,182.18
DUCA-009,C,12.18,1.05,108.79
DUCA-010,C,15.93,1.05,207.02
DUCA-011,C,0.0,0.0,136.65
DUCA-012,C,0.0,0.0,78.05
DUCA-013,fa,0.0,0.85,548.47
DUCA-014,fa,0.0,0.0,214.02
DUCA-015,A,9999.0,1.05,3970.93
DUCA-016,A,0.0,1.05,33.1
DUCA-017,A,9999.0,0.85,35.32
DUCA-018,A1,9999.0,0.85,64.87
DUCA-019,A,0.0,0.85,13.46
DUCA-020,C,0.0,0.0,64.09
DUCA-021,C,9.63,1.05,77.23
DUCA-022,C,11.81,1.05,130.33
DUCA-023,C,9.32,1.05,113.71
DUCA-024,B,10.62,1.05,87.69
DUCA-025,B,0.0,0.0,80.64
DUCA-026,B,0.0,0.0,89.74
DUCA-027,B,6.55,1.05,60.02
DUCA-028,Ne,10.68,1.05,154.72
DUCA-029,A,6.65,1.05,20.39
DUCA-030,Ne,10.79,1.05,214.81
DUCA-031,A,0.0,0.85,214.14
DUCA-032,Bg,0.0,0.0,115.78
DUCA-033,Bg,0.0,0.0,163.45
DUCA-034,C,14.4,0.85,66.2
DUCA-035,C,12.63,0.85,20.94
DUCA-036,C,7.12,0.85,128.71
DUCA-037,A,15.67,0.85,49.6
DUCA-038,B,0.0,0.0,26.63
DUCA-039,Bg,15.09,0.85,292.13
DUCA-040,B,11.91,0.85,71.23
DUCA-041,B,9999.0,0.85,739.0
DUCA-042,A,15.17,1.05,76.45
DUCA-043,Bg,12.18,1.05,38.56
DUCA-044,Bg,9999.0,0.85,2045.17
DUCA-045,Bg,8.0,1.05,80.34
DUCA-046,C,9999.0,1.05,923.86
DUCA~NO_BUILDING,,,,
