Full_sesti,short_alias
SM2499,DUOD-017
SM2500,DUOD-017
SM2501,DUOD-017
SM2501A,DUOD-017
SM2502,DUOD-018
SM2503,DUOD-018
SM2503A,DUOD-018
SM2504,DUOD-013
SM2505,DUOD-013
SM2506,DUOD-012
SM2506A,
SM2507,DUOD-011
SM2507A,DUOD-011
SM2508,DUOD-019
SM2509,DUOD-010
SM2510,DUOD-009
SM2511,DUOD-008
SM2511A,DUOD-008
SM2511B,DUOD-008
SM2511C,DUOD-008
SM2512,DUOD-007
SM2513,DUOD-007
SM2513A,DUOD-007
SM2560,DUOD-003
SM2561,DUOD-003
SM2562,DUOD-003
SM2563,DUOD-003
SM2564,DUOD-003
SM2565,DUOD-003
SM2566,
SM2567,DUOD-004
SM2568,DUOD-004
SM2569,
SM2570,DUOD-026
SM2571,DUOD-026
SM2572,DUOD-026
SM2573,DUOD-026
SM2574,DUOD-024
SM2575,DUOD-024
SM2576,DUOD-024
SM2577,DUOD-024
SM2578,DUOD-024
SM2580,
SM2583,DUOD-025
SM2584,DUOD-025
SM2585,DUOD-025
SM2586,DUOD-025
SM2587,
SM2588,DUOD-022
SM2589,DUOD-021
SM2590,DUOD-020
SM2591,DUOD-020
SM2592,DUOD-025
SM2593,DUOD-025
SM2595,DUOD-025
SM2596,DUOD-004
SM2597,DUOD-005
