short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
DUOD-001,pt,12.0,0.95,166.2
DUOD-002,A,0.0,0.0,61.91
DUOD-003,A,13.02,0.95,267.27
DUOD-004,C,15.5,0.95,214.76
DUOD-005, ,13.23,0.86,171.02
DUOD-006,pt,13.57,0.86,258.03
DUOD-007,pt,9999.0,0.95,549.83
DUOD-008,pt,14.64,1.05,224.01
DUOD-009,pt,13.45,1.05,59.96
DUOD-010,B1,17.42,1.05,322.62
DUOD-011,C,0.0,0.0,153.67
DUOD-012,A,22.23,1.05,494.35
DUOD-013,pt,14.93,1.05,139.93
DUOD-014,pt,0.0,0.0,101.34
DUOD-015,A,0.0,0.0,158.38
DUOD-016,fa,0.0,0.0,152.36
DUOD-017,C,0.0,1.05,407.34
DUOD-018,C,0.0,0.0,188.86
DUOD-019,C,0.0,1.05,9.73
DUOD-020,pt,6.32,0.95,60.42
DUOD-021,A1,9.79,0.95,29.66
DUOD-022,A1,10.14,0.95,48.47
DUOD-023,A1,11.6,0.95,58.93
DUOD-024,C,14.3,0.95,242.55
DUOD-025,pt,15.96,0.86,411.57
DUOD-026,C,16.7,0.95,483.73
DUOD~NO_BUILDING,,,,
