Full_sesti,short_alias
SM1831,FANT-065
SM1832,FANT-065
SM1833,FANT-065
SM1834,FANT-065
SM1835,FANT-065
SM1836,FANT-065
SM1837,FANT-065
SM1838,FANT-065
SM1839,FANT-065
SM1840,FANT-065
SM1841,FANT-065
SM1842,FANT-065
SM1843,FANT-065
SM1844,FANT-065
SM1845,FANT-065
SM1847,FANT-064
SM1848,FANT-064
SM1849,FANT-062
SM1850,FANT-062
SM1851,FANT-061
SM1852,FANT-061
SM1853,FANT-045
SM1854,FANT-045
SM1854A,FANT-045
SM1855,FANT-045
SM1857,FANT-073
SM1858,FANT-073
SM1859,
SM1860,FANT-070
SM1861,FANT-070
SM1862,FANT-070
SM1863,FANT-044
SM1864,FANT-044
SM1865,FANT-044
SM1868,FANT-043
SM1869,FANT-071
SM1870,FANT-073
SM1871,FANT-072
SM1872,FANT-043
SM1872A,FANT-043
SM1873,FANT-074
SM1874,FANT-074
SM1875,FANT-042
SM1876,FANT-042
SM1877,FANT-042
SM1878,FANT-075
SM1878A,FANT-075
SM1879,FANT-075
SM1880,FANT-001
SM1881,FANT-001
SM1882,FANT-002
SM1884,FANT-002
SM1885,FANT-076
SM1886,FANT-076
SM1887,FANT-004
SM1888,FANT-004
SM1889,
SM1890,FANT-041
SM1891,
SM1892,
SM1893,FANT-039
SM1893A,FANT-039
SM1894,FANT-039
SM1895,FANT-039
SM1896,FANT-039
SM1897,FANT-038
SM1897A,FANT-038
SM1897B,FANT-038
SM1898,FANT-006
SM1899,FANT-006
SM1900,FANT-006
SM1901,FANT-006
SM1902,FANT-006
SM1903,FANT-037
SM1904,FANT-037
SM1905,FANT-037
SM1906,FANT-035
SM1907,FANT-034
SM1908,FANT-034
SM1908A,FANT-034
SM1909,FANT-034
SM1909A,FANT-034
SM1912,FANT-007
SM1913,FANT-007
SM1914,FANT-007
SM1915,FANT-013
SM1915A,FANT-007
SM1916,FANT-013
SM1917,FANT-013
SM1918,FANT-012
SM1919,FANT-012
SM1920,FANT-011
SM1921,FANT-010
SM1922,FANT-010
SM1922A,FANT-010
SM1923,FANT-010
SM1923A,FANT-009
SM1924,FANT-009
SM1925,FANT-008
SM1925A,FANT-007
SM1925B,FANT-008
SM1926,FANT-030
SM1927,FANT-030
SM1928,FANT-030
SM1929,FANT-029
SM1930,FANT-029
SM1930A,FANT-030
SM1931,FANT-029
SM1932,FANT-028
SM1933,FANT-028
SM1936,FANT-031
SM1936C,FANT-026
SM1937,FANT-032
SM1937A,FANT-032
SM1938,FANT-032
SM1939,FANT-032
SM1940,FANT-032
SM1941,FANT-032
SM1942,FANT-032
SM1943,FANT-032
SM1944,FANT-032
SM1945,FANT-032
SM1946,FANT-032
SM1947,FANT-032
SM1948,FANT-032
SM1949,FANT-032
SM1950,FANT-032
SM1951,FANT-025
SM1952,FANT-025
SM1953,FANT-024
SM1954,FANT-024
SM1955,FANT-024
SM1956,FANT-024
SM1957,FANT-023
SM1958,
SM1963,FANT-022
SM1964,FANT-022
SM1965,FANT-020
SM1965A,FANT-020
SM1966,FANT-020
SM1967,FANT-020
SM1968,FANT-033
SM1968A,FANT-033
SM1970,FANT-018
SM1972,FANT-014
SM1973,FANT-014
SM1974,FANT-014
SM1975,FANT-014
SM1977,FANT-014
SM1978,FANT-014
SM1979,FANT-015
SM1980,FANT-015
SM1980A,FANT-015
SM1981,
SM1982,FANT-015
SM1983,FANT-050
SM1983A,FANT-051
SM1984,FANT-050
SM1986,FANT-061
SM1987,FANT-062
SM1988,FANT-062
SM1989,FANT-063
SM1989A,FANT-064
SM1990,FANT-067
SM1991,FANT-067
SM1992,FANT-067
SM1993,FANT-067
SM1994,FANT-068
SM1994A,FANT-068
SM1994B,FANT-068
SM1994C,FANT-068
SM1994D,FANT-059
SM1995,FANT-059
SM1996,FANT-048
SM1996A,FANT-048
SM1996B,FANT-048
SM1996C,FANT-048
SM1996D,FANT-048
SM1997,FANT-049
SM1998,FANT-049
SM1999,FANT-060
SM2000,
SM2001,FANT-054
SM2002,FANT-054
SM2003,FANT-053
SM2004,FANT-053
SM2005,FANT-052
SM2007,FANT-052
SM2007A,FANT-052
SM2008,FANT-052
SM2009,FANT-052
SM2010,FANT-052
SM2012,FANT-016
SM2547A,FANT-018
SM2547B,FANT-018
SM2548,FANT-018
SM2549,FANT-018
SM2550,
SM2551,
SM2551A,FANT-017
SM2552,FANT-017
SM3239,FANT-018
