short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
GALL-001,Bg,14.53,0.85,104.86
GALL-002,Bg,17.0,0.95,184.98
GALL-003,Bg,0.0,0.0,13.25
GALL-004,Bg,0.0,0.0,93.6
GALL-005,D,11.45,0.95,41.57
GALL-006,Bg,0.0,0.0,106.48
GALL-007,D,13.66,0.95,94.86
GALL-008,pt,12.0,0.95,108.25
GALL-009,Nd,0.0,0.95,352.55
GALL-010,Bg,0.0,0.0,97.77
GALL-011,Nd,5.0,0.95,26.74
GALL-012,A1,0.0,0.85,69.09
GALL-013,pt,10.03,0.85,51.67
GALL-014,D,0.0,0.85,225.28
GALL-015,Nd,0.0,0.0,44.45
GALL-016,Nd,5.0,0.95,36.42
GALL-017,A1,0.0,0.0,50.35
GALL-018,Nd,14.31,0.95,54.8
GALL-019,B,10.02,0.85,87.28
GALL-020,A1,0.0,0.0,51.18
GALL-021,Ne,0.0,0.0,106.95
GALL-022, ,17.4,0.85,204.61
GALL-023,A,0.0,0.0,30.41
GALL-024,B,13.24,0.95,74.26
GALL-025,A,12.5,0.85,30.22
GALL-026,B,0.0,0.0,74.42
GALL-027, ,13.13,0.85,178.58
GALL-028,Ne,0.0,0.0,268.98
GALL-029, ,13.66,0.75,293.18
GALL-030,Or,9.14,1.05,81.36
GALL-031,O,8.4,1.05,146.54
GALL-032,O,11.0,1.05,89.84
GALL-033,Nr,16.53,1.05,612.77
GALL-034,Nr,8.18,1.05,123.04
GALL-035,Or,13.64,0.95,49.6
GALL-036,Nr,9.47,1.05,73.57
GALL-037,A1,15.28,0.95,162.07
GALL-038,fa,14.73,0.95,105.96
GALL-039,A,17.46,1.05,61.22
GALL-040,B,0.0,1.05,32.73
GALL-041,fa,13.6,0.95,83.1
GALL-042,A1,16.42,0.95,55.78
GALL-043,B,14.07,1.05,60.11
GALL-044,fa,16.3,0.95,65.88
GALL-045,B,12.37,0.95,93.81
GALL-046,Ne,19.72,0.95,129.04
GALL-047,B,0.0,0.0,70.79
GALL-048,fa,15.21,0.95,83.23
GALL-049,pt,0.0,0.0,75.95
GALL-050,B1,16.54,0.95,71.07
GALL-051,B1,0.0,0.95,56.35
GALL-052,pt,14.0,0.95,137.98
GALL-053,pt,14.25,0.95,187.65
GALL-054,SMo,15.0,0.95,419.22
GALL-055,SMo,5.87,0.95,28.81
GALL-056,SU,6.64,0.95,101.67
GALL-057,SMo,0.0,0.95,290.57
GALL-058,fa,15.1,0.95,216.37
GALL-059,C,0.0,0.85,99.12
GALL-060,C,0.0,0.0,90.04
GALL-061,C,12.65,0.85,303.38
GALL-062,C,0.0,0.0,107.68
GALL-063,C,0.0,0.0,121.89
GALL-064,C,0.0,0.0,198.58
GALL-065,C,0.0,0.0,173.92
GALL-066,C,14.4,0.85,187.87
GALL-067,C,0.0,0.0,239.18
GALL-068,Bg,10.58,0.85,185.88
GALL-069,Bg,13.15,0.85,144.27
GALL-070,C,18.62,0.85,251.14
GALL-071,A,13.46,0.95,123.6
GALL-072,B,14.46,0.95,52.4
GALL-073,B,10.57,0.95,63.6
GALL-074,Bg,13.6,0.95,62.23
GALL-075,Or,12.62,0.95,34.21
GALL-076,B,17.48,0.95,181.39
GALL-077,B,9.96,0.95,58.67
GALL-078,B,0.0,0.0,49.07
GALL-079,B,0.0,0.0,63.75
GALL-080,B,9.44,0.95,53.02
GALL-081,B,15.6,0.95,62.7
GALL-082,D,13.37,0.95,279.66
GALL-083,Bg,0.0,0.0,75.45
GALL-084,Bg,14.21,0.95,151.77
GALL-085,C,17.57,0.95,301.4
GALL-086,pt,17.18,0.95,457.49
GALL-087,pt,15.67,0.95,79.24
GALL-088,pt,16.12,0.95,151.5
GALL-089,Bg,11.5,0.95,175.72
GALL-090,D,16.33,0.95,242.3
GALL-091,D,13.51,0.95,175.51
GALL-092,D,0.0,0.85,203.68
GALL-093,fa,13.36,0.85,86.01
GALL-094,A1,0.0,0.85,159.96
GALL-095,fa,13.94,0.85,84.11
GALL-096,A1,0.0,0.85,105.02
GALL-097,B,17.14,0.85,135.68
GALL-098, ,12.6,0.85,147.92
GALL-099,B1,13.06,0.85,83.84
GALL-100,B,0.0,0.0,45.17
GALL-101,B1,12.6,0.85,82.22
GALL-102, ,0.0,0.0,81.09
GALL-103,B1,0.0,0.0,70.56
GALL-104,pt,10.64,0.85,32.29
GALL-105,C,0.0,0.85,139.48
GALL-106,pt,0.0,0.0,56.28
GALL-107,SU,11.22,0.75,23.7
GALL-108,SU,0.0,0.75,36.96
GALL-109,SU,0.0,0.75,125.54
GALL-110,C,0.0,0.0,47.58
GALL-111,C,0.0,0.85,148.15
GALL-112,C,12.5,0.85,86.03
GALL-113,C,0.0,0.75,240.61
GALL-114,A,12.65,0.85,42.99
GALL-115,C,0.0,0.0,246.46
GALL~NO_BUILDING,,,,
