short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
GARZ-001,C,0.0,1.05,503.6
GARZ-002, ,10.18,1.05,16.17
GARZ-003,fa,0.0,0.0,35.63
GARZ-004,C,10.12,1.05,122.98
GARZ-005,C,15.43,1.05,545.47
GARZ-006,C,4.0,1.05,51.22
GARZ-007,Knt,10.25,1.05,70.86
GARZ-008,C,11.65,1.05,131.13
GARZ-009,A,0.0,0.0,74.31
GARZ-010,A1,13.1,1.05,74.04
GARZ-011,Knt,0.0,1.05,771.47
GARZ-012,A1,6.44,1.05,164.51
GARZ-013,A1,0.0,0.0,34.88
GARZ-014,A1,6.82,1.05,53.18
GARZ-015,B,7.52,1.05,63.21
GARZ-016,B,6.78,1.05,57.12
GARZ-017,A,0.0,0.0,31.93
GARZ-018,A,13.7,1.05,27.7
GARZ-019,C,0.0,0.0,301.68
GARZ-020,D,13.48,0.75,84.07
GARZ-021,C,15.58,1.15,160.2
GARZ-022,C,15.18,1.15,127.16
GARZ-023,D,16.0,1.15,102.45
GARZ-024,pt,13.51,1.15,58.32
GARZ-025,fa,15.3,1.15,85.63
GARZ-026,Bg,14.03,1.15,90.79
GARZ-027,Bg,0.0,0.0,145.68
GARZ-028,Bg,16.0,1.15,149.29
GARZ-029,D,13.48,0.75,88.85
GARZ-030,C,11.13,1.15,89.11
GARZ-031,C,14.0,1.95,173.84
GARZ-032,fa,19.88,1.05,608.6
GARZ-033,Ne,15.31,1.05,171.03
GARZ-034,Ne,0.0,1.05,419.34
GARZ~NO_BUILDING,,,,
