Full_sesti,short_alias
SM4020,LUCA-030
SM4020A,LUCA-030
SM4021,LUCA-028
SM4022,LUCA-028
SM4023,LUCA-026
SM4023A,LUCA-026
SM4024,LUCA-026
SM4025,LUCA-026
SM4026,LUCA-026
SM4027,LUCA-025
SM4028,LUCA-025
SM4029,LUCA-025
SM4030,LUCA-025
SM4031,LUCA-025
SM4032,LUCA-025
SM4033,LUCA-025
SM4034,LUCA-025
SM4035,LUCA-025
SM4036,LUCA-025
SM4037,LUCA-062
SM4038,
SM4039,LUCA-031
SM4040,LUCA-033
SM4041,
SM4042,LUCA-033
SM4045,
SM4046,
SM4047,LUCA-050
SM4048,LUCA-050
SM4049,LUCA-050
SM4050,LUCA-050
SM4051,LUCA-036
SM4052,LUCA-036
SM4053,LUCA-035
SM4053A,LUCA-035
SM4054,LUCA-034
SM4055,LUCA-034
SM4057,
SM4058,LUCA-036
SM4059,LUCA-036
SM4059A,LUCA-036
SM4060,LUCA-038
SM4061,LUCA-038
SM4062,LUCA-039
SM4062A,LUCA-044
SM4064,LUCA-040
SM4065,LUCA-041
SM4066,LUCA-041
SM4067,LUCA-042
SM4068,LUCA-042
SM4069,LUCA-042
SM4070,LUCA-042
SM4071,LUCA-043
SM4072,LUCA-043
SM4073,LUCA-044
SM4074,LUCA-044
SM4075,LUCA-045
SM4076,LUCA-045
SM4077,LUCA-046
SM4078,LUCA-046
SM4079,LUCA-047
SM4080,LUCA-047
SM4081,LUCA-048
SM4082,LUCA-048
SM4083,LUCA-049
SM4084,LUCA-049
SM4085,LUCA-051
SM4086,LUCA-051
SM4087,LUCA-052
SM4088,LUCA-052
SM4089,LUCA-052
SM4090,LUCA-052
SM4091,LUCA-054
SM4092,LUCA-054
SM4093,LUCA-054
SM4094,LUCA-056
SM4095,LUCA-056
SM4096,LUCA-056
SM4097,LUCA-056
SM4098,LUCA-056
SM4098A,LUCA-056
SM4098B,LUCA-056
SM4099,LUCA-056
SM4100,LUCA-056
SM4101A,LUCA-061
SM4101C,LUCA-056
SM4102,LUCA-061
SM4103,LUCA-060
SM4106,LUCA-024
SM4108,LUCA-024
SM4109,LUCA-024
SM4110,LUCA-060
SM4111,LUCA-060
SM4111A,LUCA-061
SM4112,LUCA-056
SM4113,LUCA-056
SM4114,LUCA-057
SM4114A,LUCA-058
SM4115,LUCA-058
SM4115A,LUCA-059
SM4116,LUCA-023
SM4116A,LUCA-023
SM4117,LUCA-023
SM4118,LUCA-022
SM4119,LUCA-022
SM4120,LUCA-022
SM4121,LUCA-022
SM4122,LUCA-022
SM4123,LUCA-023
SM4124,LUCA-023
SM4125,LUCA-023
SM4126,LUCA-023
SM4127,LUCA-059
SM4128,LUCA-059
SM4128A,LUCA-059
SM4128B,LUCA-058
SM4129,LUCA-058
SM4130A,LUCA-056
SM4131,LUCA-056
SM4131A,LUCA-056
SM4132,LUCA-056
SM4133,LUCA-056
SM4133A,LUCA-056
SM4134,LUCA-056
SM4135,LUCA-056
SM4136,LUCA-056
SM4137,LUCA-230
SM4138,LUCA-230
SM4138A,LUCA-230
SM4139,LUCA-230
SM4139A,LUCA-056
SM4140,LUCA-230
SM4141,LUCA-230
SM4142,LUCA-230
SM4143,LUCA-139
SM4144,LUCA-139
SM4145,LUCA-137
SM4146,LUCA-137
SM4147,LUCA-136
SM4148,LUCA-021
SM4149,LUCA-021
SM4150,LUCA-021
SM4152,LUCA-021
SM4153,LUCA-021
SM4154,LUCA-021
SM4155,LUCA-021
SM4156,LUCA-020
SM4156A,LUCA-020
SM4156B,LUCA-020
SM4157,LUCA-019
SM4158,LUCA-019
SM4159,LUCA-140
SM4161,LUCA-140
SM4163A,LUCA-230
SM4165,LUCA-230
SM4167,LUCA-230
SM4168,LUCA-230
SM4168A,LUCA-016
SM4169,LUCA-016
SM4170,LUCA-015
SM4171,LUCA-015
SM4172,LUCA-015
SM4173,LUCA-014
SM4174,LUCA-014
SM4175,LUCA-013
SM4176,LUCA-013
SM4176A,LUCA-013
SM4176B,LUCA-013
SM4176C,LUCA-013
SM4177,LUCA-013
SM4177A,LUCA-012
SM4177B,LUCA-012
SM4177C,LUCA-012
SM4178,LUCA-011
SM4178A,LUCA-011
SM4179,LUCA-011
SM4180,LUCA-010
SM4187,LUCA-018
SM4188,LUCA-018
SM4188A,LUCA-018
SM4190,LUCA-018
SM4192,LUCA-141
SM4192A,LUCA-141
SM4193,LUCA-141
SM4194,LUCA-141
SM4195,LUCA-141
SM4212,LUCA-134
SM4215,LUCA-134
SM4216,LUCA-134
SM4218,LUCA-135
SM4229,LUCA-066
SM4230,LUCA-066
SM4231,LUCA-066
SM4232,LUCA-066
SM4233,LUCA-063
SM4233A,LUCA-063
SM4233B,LUCA-063
SM4233C,LUCA-063
SM4246,LUCA-135
SM4247,LUCA-134
SM4247A,LUCA-080
SM4247B,LUCA-080
SM4249,LUCA-071
SM4249A,LUCA-081
SM4250,LUCA-081
SM4251,LUCA-081
SM4252,LUCA-081
SM4253,LUCA-081
SM4254,LUCA-081
SM4255,LUCA-081
SM4255A,LUCA-081
SM4257,LUCA-081
SM4259,LUCA-099
SM4260A,LUCA-100
SM4260B,LUCA-100
SM4261,LUCA-102
SM4262,LUCA-130
