short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
LUCA-001,Ne,19.02,0.85,238.04
LUCA-002,Ne,4.6,0.85,36.06
LUCA-003,Ne,0.0,0.85,396.8
LUCA-004,Ne,10.52,0.85,118.0
LUCA-005,A,13.02,0.85,150.6
LUCA-006,A,0.0,0.0,21.84
LUCA-007,A,0.0,0.0,23.89
LUCA-008,A,0.0,0.0,23.73
LUCA-009,A,0.0,0.0,24.9
LUCA-010,A1,15.72,0.85,50.36
LUCA-011,A,0.0,1.25,41.78
LUCA-012,A,0.0,0.0,41.89
LUCA-013,A,0.0,0.0,29.22
LUCA-014,pt,12.48,0.85,67.4
LUCA-015,A,0.0,0.0,29.81
LUCA-016,A,0.0,0.0,32.26
LUCA-017,A,0.0,0.0,33.07
LUCA-018,A,0.0,0.0,34.76
LUCA-019,fa,14.0,0.95,132.37
LUCA-020,fa,17.45,1.25,443.12
LUCA-021,Ne,14.4,0.85,294.17
LUCA-022,SU,5.22,1.25,9.5
LUCA-023,pt,12.7,0.85,87.76
LUCA-024,pt,0.0,0.0,46.33
LUCA-025,fa,0.0,0.0,92.29
LUCA-026,D,13.78,1.25,267.94
LUCA-027,B1,14.0,0.95,169.3
LUCA-028,Bg,16.75,0.95,108.73
LUCA-029,C,9999.0,0.95,1498.78
LUCA-030,Nr,9999.0,0.95,1221.58
LUCA-031,Nr,5.5,0.95,10.19
LUCA-032,Nr,15.05,0.95,30.92
LUCA-033,C,9999.0,0.85,1336.92
LUCA-034,A,15.6,0.85,390.27
LUCA-035,B,13.69,0.85,145.59
LUCA-036,A,11.0,0.85,33.18
LUCA-037,B,11.07,0.85,101.86
LUCA-038,Or,11.5,0.85,69.81
LUCA-039,Or,13.64,0.85,30.71
LUCA-040,C,8.97,0.85,47.35
LUCA-041,A1,0.0,0.0,59.52
LUCA-042,A1,0.0,0.0,39.72
LUCA-043,A1,0.0,0.85,39.96
LUCA-044,Or,14.57,0.95,179.2
LUCA-045,A1,13.19,0.85,182.94
LUCA-046,C,0.0,0.85,44.03
LUCA-047,A1,0.0,0.0,45.75
LUCA-048,A1,13.93,0.85,44.74
LUCA-049,Or,13.77,0.85,33.04
LUCA-050,Or,10.95,0.85,83.04
LUCA-051,B,0.0,0.0,60.59
LUCA-052,B,11.26,0.85,235.06
LUCA-053,B,15.58,0.85,114.77
LUCA-054,fa,13.88,0.85,200.6
LUCA-055,fa,15.0,0.85,185.97
LUCA-056,B,11.53,0.85,56.25
LUCA-057,B,9.0,0.85,119.66
LUCA-058,B,12.76,0.85,112.44
LUCA-059,B,11.38,0.95,103.44
LUCA-060,B1,8.53,0.95,41.14
LUCA-061,A1,9.78,0.95,50.96
LUCA-062,B1,8.59,0.95,98.28
LUCA-063,B,16.26,0.95,305.1
LUCA-064,B,12.32,0.95,101.81
LUCA-065,C,8.86,0.95,24.65
LUCA-066,C,11.38,0.95,89.52
LUCA-067,Bg,14.0,0.95,121.86
LUCA-068,Nr,4.08,0.95,54.72
LUCA-069,A1,15.0,0.95,203.94
LUCA-070,fa,12.79,0.95,53.33
LUCA-071,B,0.0,0.0,38.16
LUCA-072,C,11.6,0.95,168.32
LUCA-073,A,0.0,0.0,74.36
LUCA-074,A,15.38,0.95,163.16
LUCA-075,Bg,15.4,0.95,189.29
LUCA-076,A1,6.5,0.95,82.33
LUCA-077,B,9.27,0.95,69.56
LUCA-078,SMo,16.21,0.95,214.83
LUCA-079,fa,0.0,0.85,152.59
LUCA-080,A,13.67,0.85,52.05
LUCA-081,Ne,14.91,0.85,62.11
LUCA-082,Nd,0.0,0.85,104.54
LUCA-083,Ne,0.0,0.85,18.39
LUCA-084,Ne,0.0,0.0,110.5
LUCA-085,Ne,17.7,0.85,152.75
LUCA-086,B,14.39,0.85,73.5
LUCA-087,Nd,5.13,0.85,19.21
LUCA-088,fa,11.93,0.85,37.47
LUCA-089,Ne,13.57,0.85,108.66
LUCA-090,C,0.0,0.0,58.1
LUCA-091,Ne,9.75,0.85,53.11
LUCA-092,C,0.0,0.85,146.63
LUCA-093,Ne,20.58,0.85,430.85
LUCA-094,A,9.75,0.85,70.5
