short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MARC-001,C,17.93,1.05,165.28
MARC-002,C,15.28,1.05,44.8
MARC-003,A,16.28,1.05,143.61
MARC-004,Kt,0.0,1.05,33.35
MARC-005,Kt,15.18,1.05,208.96
MARC-006,B,0.0,0.0,81.87
MARC-007,fa,0.0,0.0,96.74
MARC-008,pt,15.92,1.05,71.85
MARC-009,B,0.0,0.0,51.58
MARC-010,B,13.0,0.95,51.95
MARC-011,B,15.12,0.95,58.62
MARC-012,B,15.31,0.95,59.74
MARC-013,Bg,15.61,0.75,79.41
MARC-014,B,14.0,0.75,80.34
MARC-015,Bg,15.0,0.75,108.58
MARC-016,Bg,17.0,0.75,223.38
MARC-017,Bg,18.19,0.75,124.18
MARC-018,fa,14.91,0.75,158.37
MARC-019, ,7.8,0.75,29.47
MARC-020, ,14.91,0.85,136.47
MARC-021,fa,13.68,0.85,57.57
MARC-022,fa,9.98,0.85,38.28
MARC-023,B,18.63,1.05,65.51
MARC-024,B,16.95,1.05,55.6
MARC-025,B,16.64,1.05,58.28
MARC-026,B,0.0,0.0,51.53
MARC-027,B,0.0,0.0,49.02
MARC-028,B,0.0,0.0,53.72
MARC-029,B,0.0,0.0,48.67
MARC-030,B,17.03,1.05,62.33
MARC-031,B,18.6,1.05,126.94
MARC-032, ,18.53,0.85,13.04
MARC-033,fa,16.74,0.85,381.41
MARC-034,Bg,16.93,1.05,51.81
MARC-035,fa,15.89,1.05,117.87
MARC-036,fa,18.74,1.05,232.99
MARC-037,B,0.0,1.05,199.76
MARC-038,A,0.0,0.0,54.82
MARC-039,C,0.0,1.05,388.5
MARC-040,B,13.52,1.05,71.04
MARC-041,A,0.0,1.05,103.67
MARC-042,A,13.36,0.95,31.59
MARC-043,pt,15.97,1.05,189.22
MARC-044,A1,10.75,1.05,51.31
MARC-045,B,15.23,1.05,64.13
MARC-046,pt,15.15,1.05,98.75
MARC-047,B,15.35,0.95,92.31
MARC-048,Bg,0.0,0.0,26.2
MARC-049,B,18.55,0.75,75.4
MARC-050,A1,17.67,0.75,50.48
MARC-051,A1,15.83,0.75,38.09
MARC-052,A1,0.0,0.0,111.88
MARC-053,Bg,0.0,0.0,111.44
MARC-054,Bg,0.0,0.0,109.44
MARC-055,B,0.0,0.0,80.68
MARC-056,B,0.0,0.85,79.99
MARC-057,Bg,14.2,0.95,108.45
MARC-058,A,0.0,0.0,250.02
MARC-059,Or,17.0,0.85,159.55
MARC-060,Bg,0.0,0.85,51.69
MARC-061,Bg,15.1,0.95,113.81
MARC-062,Bg,14.07,0.95,111.96
MARC-063,A,19.28,0.75,89.76
MARC-064,B,22.67,0.75,87.53
MARC-065,A,17.62,0.75,144.95
MARC-066,A,20.04,0.75,96.62
MARC-067,A,17.65,0.75,29.76
MARC-068,A,15.7,0.75,53.87
MARC-069,Or,13.68,0.75,87.34
MARC-070,Or,16.31,0.75,131.56
MARC-071,A,16.45,0.85,59.18
MARC-072,A,13.0,0.85,80.32
MARC-073,B,14.68,1.05,80.58
MARC-074,B,0.0,1.05,71.23
MARC-075,B,14.1,0.85,249.74
MARC-076,SU,13.1,0.85,51.4
MARC-077,B,12.82,0.95,84.69
MARC-078,Or,17.52,1.05,133.35
MARC-079,A,16.52,0.95,140.12
MARC-080,A,17.0,0.95,118.91
MARC-081, ,8.08,0.95,29.06
MARC-082, ,12.03,0.95,34.02
MARC-083,B,11.26,0.95,265.7
MARC-084,O,23.0,0.95,344.05
MARC-085, ,17.61,0.95,45.09
MARC-086,O,0.0,0.65,3936.27
MARC-087,SU,0.0,0.0,82.78
MARC-088,SU,0.0,0.65,153.5
MARC-089,SM,17.0,0.75,1031.79
MARC-090,SM,17.25,0.75,1437.71
MARC-091,SM,0.0,0.0,4607.31
MARC-092,Or,0.0,0.0,139.95
MARC-093,Or,9999.0,0.75,285.95
MARC-094,B,16.32,1.05,67.69
MARC-095,B,11.78,1.05,91.17
MARC-096,A1,16.48,1.05,82.28
MARC-097,A1,15.5,1.05,157.87
MARC-098,Or,0.0,0.0,164.41
MARC-099,Nd,0.0,0.0,74.52
MARC-100,C,0.0,0.75,228.2
MARC-101,C,19.5,0.75,822.18
MARC-102,Or,0.0,0.75,655.37
MARC-103,Or,0.0,0.0,163.07
MARC-104,Ne,0.0,0.0,213.66
MARC-105,N,9999.0,0.0,609.24
MARC-106,Ne,9999.0,1.05,350.13
MARC-107,fa,9999.0,0.95,2467.62
MARC-108,B,9999.0,0.95,2863.38
MARC-109,D,9999.0,0.95,2692.84
MARC-110, ,11.9,0.85,814.35
MARC-111, ,17.07,0.85,43.34
MARC-112,Nr,9999.0,0.95,1064.78
MARC-113,C,0.0,0.0,243.46
MARC-114,A1,0.0,0.75,6.27
MARC-115,Or,0.0,0.85,881.83
MARC-116,Or,18.05,1.05,67.3
MARC-117,Or,19.66,0.85,85.22
MARC-118,Or,13.08,0.95,103.71
MARC-119,Or,0.0,0.0,119.32
MARC-120,Nr,14.08,0.95,786.58
MARC-121,SU,12.58,0.95,182.6
MARC-122,SU,14.62,0.95,168.8
MARC-123,SU,31.6,1.05,24.45
MARC-124,SU,13.16,1.05,29.31
MARC-125,SU,17.62,1.05,860.61
MARC-126,SU,9.05,1.05,40.93
MARC-127,SU,24.65,1.05,522.2
MARC-128,Or,16.67,1.05,407.91
MARC-129,A,15.41,0.95,72.41
MARC-130,A,15.32,0.85,304.98
MARC-131,fa,0.0,0.0,206.47
MARC-132,fa,14.5,0.85,260.82
MARC-133,A,0.0,0.0,25.41
MARC-134,B,0.0,0.0,31.89
MARC-135,A1,13.36,0.85,72.47
MARC-136,pt,8.58,0.85,38.18
MARC-137,A1,10.91,0.85,49.69
MARC-138,B,14.85,0.85,50.02
MARC-139,A,7.78,0.85,41.65
MARC-140,A,12.72,0.95,42.63
MARC-141,A,0.0,0.0,39.59
MARC-142,Nr,0.0,0.0,38.3
MARC-143,A,11.84,0.95,37.11
MARC-144,B,0.0,0.95,30.79
MARC-145,B,5.6,0.95,103.39
MARC-146,Nr,11.97,0.95,160.13
MARC-147,B,0.0,0.0,93.87
MARC-148,A,11.26,0.85,30.93
MARC-149,B,14.0,0.85,52.66
MARC-150,B,0.0,0.0,31.94
MARC-151,A,10.0,0.85,53.9
MARC-152,A,12.78,0.85,42.78
MARC-153,B,9.6,0.85,27.04
MARC-154,pt,0.0,0.0,87.06
MARC-155,B1,0.0,0.95,88.73
MARC-156,Or,16.48,0.95,66.09
MARC-157,fa,16.48,0.95,155.1
MARC-158,A1,15.0,0.95,215.34
MARC-159,fa,0.0,0.0,88.39
MARC-160,pt,10.64,0.85,49.17
MARC-161,B,13.36,0.85,65.97
MARC-162,A,13.0,0.85,27.91
MARC-163,B,19.63,0.85,102.11
MARC-164,Or,11.92,0.85,74.19
MARC-165,B,17.95,0.85,98.67
MARC-166,pt,18.32,0.85,50.58
MARC-167,D,12.35,0.85,245.5
MARC-168,A1,7.6,0.85,59.28
MARC-169,pt,10.0,0.85,329.24
MARC-170,A1,0.0,0.0,21.53
MARC-171,B,11.39,0.95,38.21
MARC-172,A1,9.66,0.95,61.48
