Full_sesti,short_alias
SM2598,MAUR-067
SM2598A,MAUR-067
SM2598B,MAUR-067
SM2599,
SM2600,MAUR-066
SM2601,MAUR-065
SM2601A,MAUR-065
SM2601B,MAUR-065
SM2602,MAUR-002
SM2602A,MAUR-002
SM2603,MAUR-057
SM2603A,
SM2604,MAUR-006
SM2605,MAUR-006
SM2606,MAUR-005
SM2607,MAUR-005
SM2608A,MAUR-005
SM2609,MAUR-004
SM2610,MAUR-004
SM2610A,MAUR-008
SM2611,MAUR-008
SM2612,MAUR-010
SM2614,MAUR-010
SM2615,
SM2616,MAUR-010
SM2617,MAUR-010
SM2618,MAUR-010
SM2619,MAUR-010
SM2620,MAUR-010
SM2621,MAUR-008
SM2622,MAUR-008
SM2623,MAUR-008
SM2623B,MAUR-008
SM2624,MAUR-007
SM2627,MAUR-011
SM2628,MAUR-011
SM2629,MAUR-011
SM2630,MAUR-011
SM2631,MAUR-011
SM2632,MAUR-011
SM2633,MAUR-063
SM2633A,MAUR-063
SM2634,MAUR-063
SM2634B,MAUR-014
SM2635,MAUR-014
SM2636,MAUR-014
SM2637,MAUR-015
SM2637A,MAUR-015
SM2638,MAUR-060
SM2639,MAUR-060
SM2640,MAUR-060
SM2640A,MAUR-060
SM2640B,MAUR-060
SM2641,MAUR-016
SM2660,
SM2661,MAUR-064
SM2662,MAUR-064
SM2663,MAUR-064
SM2664,MAUR-064
SM2665,MAUR-006
SM2666,
SM2667,MAUR-011
SM2667A,MAUR-011
SM2668,
SM2668A,MAUR-062
SM2669,MAUR-061
SM2669A,MAUR-061
SM2670,MAUR-058
SM2670A,MAUR-058
SM2671,MAUR-049
SM2672,MAUR-049
SM2673,MAUR-050
SM2674,MAUR-050
SM2674A,MAUR-050
SM2675,MAUR-058
SM2676,MAUR-058
SM2677,MAUR-059
SM2678,MAUR-047
SM2679,MAUR-048
SM2679A,MAUR-047
SM2680,MAUR-035
SM2681,MAUR-035
SM2682,MAUR-035
SM2683,MAUR-034
SM2684,MAUR-033
SM2685,MAUR-033
SM2687,MAUR-031
SM2688,MAUR-031
SM2689,MAUR-031
SM2690,MAUR-031
SM2691,MAUR-029
SM2692,
SM2692A,MAUR-029
SM2693,
SM2694,
SM2704,
SM2708,
SM2709,MAUR-020
SM2710,MAUR-030
SM2710A,MAUR-030
SM2711,MAUR-030
SM2712,MAUR-030
SM2713,MAUR-021
SM2713A,MAUR-021
SM2714,MAUR-021
SM2715,MAUR-021
SM2715A,MAUR-021
SM2716,MAUR-043
SM2717,MAUR-042
SM2718,MAUR-042
SM2719,MAUR-025
SM2720,MAUR-025
SM2721,MAUR-024
SM2722,MAUR-024
SM2723,MAUR-022
SM2723A,MAUR-022
SM2724,MAUR-022
SM2725,MAUR-022
SM2726,MAUR-022
SM2726A,MAUR-022
SM2727,MAUR-022
SM2728,MAUR-022
SM2729,MAUR-023
SM2730,
SM2730A,MAUR-025
SM2731,MAUR-025
SM2732,MAUR-025
SM2733,MAUR-025
SM2734,MAUR-025
SM2735,MAUR-025
SM2736,MAUR-025
SM2737,MAUR-025
SM2738,MAUR-025
SM2739,MAUR-028
SM2740,MAUR-028
SM2741,MAUR-028
SM2742,MAUR-026
SM2743,MAUR-027
SM2746,MAUR-041
SM2747,
SM2748,MAUR-038
SM2749,MAUR-037
SM2750,MAUR-037
SM2750A,MAUR-037
SM2751,MAUR-036
SM2752,MAUR-036
SM2753,MAUR-051
SM2754,MAUR-051
SM2755,MAUR-051
SM2756,MAUR-051
SM2757,MAUR-052
SM2758,MAUR-053
SM2759,MAUR-053
SM2760,MAUR-054
SM2761,MAUR-054
SM2762,MAUR-056
SM2763,MAUR-055
SM2764,MAUR-055
