short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MAUR-001,SU,0.0,0.0,60.84
MAUR-002,B1,10.56,0.95,131.16
MAUR-003,fa,12.74,1.05,37.21
MAUR-004,fa,13.7,1.05,29.89
MAUR-005,fa,13.6,1.05,68.11
MAUR-006,Kt,8.92,1.15,103.4
MAUR-007,Kt,4.6,1.05,90.99
MAUR-008,fa,0.0,0.0,257.59
MAUR-009,fa,16.6,0.95,26.37
MAUR-010,B,15.18,0.95,276.37
MAUR-011,C,9999.0,1.15,519.13
MAUR-012,fa,11.7,1.1,63.6
MAUR-013,fa,9.0,1.07,202.83
MAUR-014,fa,12.46,1.05,159.44
MAUR-015,B,16.52,1.05,114.6
MAUR-016,Ne,22.92,1.05,567.79
MAUR-017,C,0.0,1.05,16.29
MAUR-018,C,0.0,0.0,53.01
MAUR-019, ,13.15,1.05,268.54
MAUR-020, ,8.0,1.05,132.87
MAUR-021,C,14.23,1.05,279.17
MAUR-022,fa,15.1,1.07,270.53
MAUR-023,pt,0.0,0.0,135.03
MAUR-024,pt,14.7,1.07,177.81
MAUR-025,pt,12.0,1.07,373.76
MAUR-026,A,14.6,1.05,123.96
MAUR-027,C,12.32,1.05,42.44
MAUR-028,B1,18.4,1.05,211.13
MAUR-029,C,12.28,1.05,150.2
MAUR-030,C,15.96,1.05,264.81
MAUR-031,Or,0.0,0.0,131.85
MAUR-032,Or,0.0,0.0,62.08
MAUR-033,Or,0.0,0.0,60.38
MAUR-034,pt,0.0,0.0,53.74
MAUR-035,fa,12.18,1.04,155.52
MAUR-036,Or,7.5,1.07,80.57
MAUR-037,Or,10.52,1.05,81.61
MAUR-038,Bg,17.48,1.05,57.04
MAUR-039,B,0.0,0.0,49.98
MAUR-040,B,14.76,1.05,73.84
MAUR-041,C,22.4,1.05,533.19
MAUR-042,fa,15.62,1.05,128.59
MAUR-043,fa,16.74,1.14,203.67
MAUR-044,C,17.18,1.05,193.15
MAUR-045,fa,4.76,1.04,41.06
MAUR-046,Nd,0.0,1.07,9.67
MAUR-047,A,11.25,1.04,169.61
MAUR-048,A,8.32,1.05,40.08
MAUR-049,C,0.0,0.0,77.22
MAUR-050,Bg,12.68,1.05,80.29
MAUR-051,Or,11.57,1.05,77.91
MAUR-052,Bg,9999.0,0.0,1997.37
MAUR-053,Bg,20.0,1.05,320.43
MAUR-054,C,21.64,1.05,328.5
MAUR-055,SU,10.7,1.05,160.23
MAUR-056,SUo,11.41,1.05,89.36
MAUR-057,SUo,0.0,0.0,340.54
MAUR-058,C,15.65,1.05,170.14
MAUR-059,C,12.0,1.05,43.08
MAUR-060,Ne,10.51,1.05,120.42
MAUR-061,A,13.21,1.05,87.21
MAUR-062,fa,0.0,0.0,91.39
MAUR-063,fa,13.64,1.05,96.52
MAUR-064,C,29.3,1.05,1391.69
MAUR-065,A1,15.64,0.95,83.54
MAUR-066,A1,15.92,0.95,121.93
MAUR-067,C,14.08,0.95,133.16
MAUR~NO_BUILDING,,,,
