short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
MOIS-001,N,10.82,0.95,60.82
MOIS-002,N,15.2,0.95,71.53
MOIS-003,N,15.94,0.95,203.89
MOIS-004,N,18.92,0.95,183.03
MOIS-005,N,22.28,0.95,628.79
MOIS-006,Ne,15.36,0.95,27.66
MOIS-007,Ne,12.06,0.95,156.03
MOIS-008,A,15.42,0.95,58.37
MOIS-009,A,14.68,0.95,47.82
MOIS-010,A,16.54,0.95,57.22
MOIS-011,B,15.32,0.95,57.56
MOIS-012,C,15.81,0.95,109.04
MOIS-013,fa,18.27,0.95,140.75
MOIS-014,C,13.98,0.95,393.6
MOIS-015,C,14.57,0.95,265.28
MOIS-016,C,16.33,1.05,133.12
MOIS-017,C,15.98,0.95,95.6
MOIS-018,Bg,22.18,1.05,407.41
MOIS-019,C,9.61,0.95,11.78
MOIS-020,C,20.02,0.95,161.59
MOIS-021,Or,0.0,0.0,510.52
MOIS-022,pt,17.85,1.05,112.6
MOIS-023,pt,15.93,1.05,60.23
MOIS-024,pt,23.0,1.05,115.09
MOIS-025,C,23.14,1.05,365.66
MOIS-026,C,0.0,0.0,221.18
MOIS-027, ,0.0,1.05,7.53
MOIS-028,A,0.0,1.05,262.98
MOIS-029,A,0.0,0.0,85.46
MOIS-030,Nd,4.38,1.15,8.2
MOIS-031,Nd,4.38,1.15,9.46
MOIS-032,A,13.52,1.05,24.03
MOIS-033,Or,18.01,0.75,74.05
MOIS-034,Or,16.4,1.05,76.79
MOIS-035,Nr,9999.0,0.95,30564.01
MOIS-036,pt,9999.0,0.95,280.95
MOIS-037,A,9999.0,0.95,271.37
MOIS-038,pt,9999.0,0.95,30558.83
MOIS-039,fa,9999.0,0.95,30524.97
MOIS-040,fa,9999.0,1.35,30353.47
MOIS-041,A,13.6,0.95,52.76
MOIS-042,Or,9999.0,0.95,4820.86
MOIS-043,A,10.69,1.05,222.66
MOIS-044,Or,12.93,0.95,27.69
MOIS-045,B1,12.4,0.95,40.8
MOIS-046,A,10.68,0.95,28.86
MOIS-047,fa,0.0,0.0,220.75
MOIS-048,Ne,0.0,1.05,1470.34
MOIS-049,SMo,9999.0,0.95,262.13
MOIS-050,C,0.0,0.0,89.51
MOIS-051,C,0.0,0.0,75.26
MOIS-052,C,0.0,0.0,88.05
MOIS-053,C,13.2,1.05,119.29
MOIS-054,SMo,17.03,0.95,407.67
MOIS-055,SMo,9999.0,0.95,2990.76
MOIS-056,Bg,13.44,1.15,92.74
MOIS-057,A,12.58,1.15,51.97
MOIS-058,Or,9.32,1.15,100.81
MOIS-059,SMo,9999.0,1.05,3507.7
MOIS-060,C,15.6,1.15,123.01
MOIS-061,C,15.25,1.15,106.83
MOIS-062,fa,12.26,0.75,127.64
MOIS-063,B,13.68,0.85,331.53
MOIS-064,Or,12.98,0.75,123.19
MOIS-065,A,9999.0,0.75,459.45
MOIS-066,pt,11.8,0.75,237.98
MOIS-067,B,10.87,0.75,84.32
MOIS-068,Or,11.37,0.75,192.97
MOIS-069,Or,8.78,0.75,71.65
MOIS-070,B,15.72,0.75,103.07
MOIS-071,Or,0.0,0.75,388.74
MOIS-072,pt,14.9,0.75,182.56
MOIS-073,Or,0.0,0.75,381.9
MOIS-074,pt,14.7,0.75,115.96
MOIS-075,Bg,9999.0,0.75,969.8
MOIS-076,Bg,9999.0,0.0,1106.9
MOIS-077,Bg,9999.0,0.0,793.38
MOIS-078,Bg,9999.0,0.0,689.52
MOIS-079,Bg,9999.0,0.0,609.0
MOIS-080,B,9999.0,0.95,277.95
MOIS-081,fa,13.0,0.95,69.39
MOIS-082,A1,10.74,0.95,68.27
MOIS-083,A1,6.9,0.95,42.58
MOIS-084,Bg,12.46,0.97,73.96
MOIS-085,C,12.5,0.95,206.5
MOIS-086,Bg,12.97,0.97,87.59
MOIS-087,Bg,10.07,0.95,71.27
MOIS-088,B,0.0,0.0,96.75
MOIS-089,Or,9999.0,0.75,4871.44
MOIS-090,B,0.0,0.0,78.85
MOIS-091,Knt,0.0,0.0,22.46
MOIS-092,Or,0.0,0.0,17.47
MOIS-093,Bg,0.0,0.0,51.38
MOIS-094,Knt,11.78,1.05,26.42
MOIS-095,A,7.38,0.95,37.87
MOIS-096,Knt,5.63,1.05,44.1
MOIS-097,A,10.78,1.05,86.24
MOIS-098,A,6.97,1.05,38.8
MOIS-099,SMo,9999.0,0.75,5007.76
MOIS-100,B1,4.38,1.15,16.86
MOIS-101,Bg,11.72,1.05,199.1
MOIS-102,Knt,14.36,1.05,84.91
MOIS-103,Bg,5.38,1.05,11.02
MOIS-104,Kt,0.0,1.05,298.12
MOIS-105,Bg,0.0,1.15,133.17
MOIS-106,Bg,9999.0,1.15,2075.64
MOIS-107,B,14.0,0.95,58.4
MOIS-108,B,9999.0,0.75,614.42
MOIS-109,C,16.02,1.05,147.08
MOIS-110,C,0.0,1.05,560.51
MOIS-111,A,11.6,1.15,50.01
MOIS-112,A1,10.34,1.15,50.64
MOIS-113,Or,9999.0,0.95,4034.02
MOIS-114,Or,8.68,0.95,105.88
MOIS-115,Or,0.0,1.05,370.03
MOIS-116,Or,9999.0,0.95,3545.46
MOIS-117,Kt,0.0,0.0,0.0
MOIS-118,Or,0.0,1.15,1068.05
MOIS-119,Or,9999.0,0.95,4760.9
MOIS-120,Nr,9999.0,0.75,5122.8
MOIS-121,A,13.2,1.05,14.66
MOIS-122,Or,15.74,1.05,556.28
MOIS-123,C,17.2,1.05,440.47
MOIS~NO_BUILDING,,,,
