short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
STEF-001,C,15.32,0.65,130.0
STEF-002,C,18.87,0.65,703.11
STEF-003,C,14.0,0.65,286.88
STEF-004,pt,9999.0,0.65,26866.89
STEF-005, ,9999.0,1.05,27316.17
STEF-006,pt,9999.0,0.65,26636.71
STEF-007,A,6.73,0.65,44.23
STEF-008,pt,10.83,0.65,33.86
STEF-009,pt,6.75,0.65,45.13
STEF-010,A,6.17,0.95,23.37
STEF-011,Or,0.0,0.0,30.04
STEF-012,A,7.14,0.85,51.77
STEF-013,pt,12.5,0.65,298.07
STEF-014,Or,11.75,0.95,83.99
STEF-015,C,17.84,1.05,694.97
STEF-016,C,0.0,0.95,123.62
STEF-017,D,0.0,0.0,752.68
STEF-018,B,0.0,0.0,88.09
STEF-019,Ne,9.08,0.85,78.4
STEF-020,C,0.0,0.0,693.3
STEF-021,fa,11.67,0.85,85.25
STEF-022,D,10.94,1.05,74.87
STEF-023,fa,5.02,0.85,11.62
STEF-024,Ne,7.71,0.85,157.88
STEF-025,fa,0.0,0.85,58.89
STEF-026,D,14.1,1.05,266.03
STEF-027,A,12.56,0.85,48.55
STEF-028,C,16.68,1.05,884.02
STEF-029,fa,13.27,1.05,253.99
STEF-030,Bg,10.52,1.05,103.71
STEF-031,fa,0.0,0.0,132.04
STEF-032,fa,6.67,1.05,32.59
STEF-033,Bg,0.0,0.0,110.64
STEF-034,C,0.0,1.05,996.38
STEF-035,A,0.0,0.0,43.72
STEF-036,A,10.75,1.05,33.53
STEF-037,C,12.0,1.95,183.38
STEF-038,C,21.0,1.05,596.09
STEF-039,A,12.34,1.05,73.6
STEF-040,A,6.65,1.05,54.11
STEF-041,C,13.35,1.05,100.28
STEF-042,C,14.6,1.05,147.06
STEF-043,C,0.0,1.05,372.89
STEF-044,Bg,13.55,1.05,77.84
STEF-045,Or,0.0,0.0,79.42
STEF-046,Ka,5.21,1.05,402.25
STEF-047,B,0.0,1.05,32.87
STEF-048,C,8.11,1.05,30.95
STEF-049,A1,14.07,1.05,161.77
STEF-050,Bg,14.0,1.05,297.46
STEF-051,Ka,11.0,1.05,180.27
STEF-052,B,10.07,1.05,38.73
STEF-053,Bg,13.98,1.05,79.92
STEF-054,A1,13.57,1.05,35.97
STEF-055,D,10.43,1.05,89.46
STEF-056,A,8.0,0.85,46.66
STEF-057,A,0.0,0.0,30.41
STEF-058,B,17.1,1.05,215.59
STEF-059,A,0.0,0.0,45.99
STEF-060,A,0.0,0.0,45.76
STEF-061,A1,0.0,0.95,399.63
STEF-062,C,15.05,0.95,288.21
STEF-063,Bg,14.38,0.65,204.93
STEF-064,Ne,9999.0,1.05,27729.81
STEF-065,Ne,11.33,1.05,142.19
STEF-066,C,19.0,0.85,392.82
STEF-067,C,0.0,0.85,353.82
STEF-068,C,10.9,0.85,213.03
STEF-069,C,10.05,0.95,53.88
STEF-070,C,9999.0,1.15,29872.83
STEF-071,Ne,9999.0,1.05,953.87
STEF-072,A1,9999.0,1.05,609.04
STEF-073,C,0.0,0.0,277.29
STEF-074,C,13.64,1.15,97.42
STEF-075,A1,0.0,0.0,105.86
STEF-076,Ne,13.53,1.05,246.18
STEF-077,C,0.0,0.0,219.4
STEF-078,C,8.51,1.15,49.96
STEF-079,A1,14.08,1.05,118.66
STEF-080,fa,9.97,1.15,74.58
STEF-081,A1,15.47,1.05,165.18
STEF-082,C,8.23,1.15,123.3
STEF-083,Ne,14.29,1.05,145.26
STEF-084,Kt/pt,7.01,1.15,102.22
STEF-085,A1,0.0,0.0,84.11
STEF-086,B,0.0,0.0,74.25
STEF-087,Bg,7.29,1.05,65.77
STEF-088,B,11.0,1.05,67.43
STEF-089,Bg,0.0,0.0,60.36
STEF-090,Bg,20.0,1.05,949.4
STEF-091,B,14.99,1.05,88.29
STEF-092,Bg,0.0,0.0,93.31
STEF-093,Bg,0.0,0.0,94.56
STEF-094,Bg,12.39,1.05,89.76
STEF-095,A,11.03,1.15,110.78
STEF-096,A,0.0,0.0,70.93
STEF-097,A,13.95,1.15,132.97
STEF-098,A,0.0,1.15,63.19
STEF-099,A1,12.13,1.15,53.55
STEF-100,B,12.94,1.15,113.26
STEF-101,A,0.0,0.0,49.25
STEF-102,A1,12.03,1.15,32.47
STEF-103,A,0.0,0.0,45.27
STEF-104,A1,9.0,1.15,74.17
STEF-105,A,0.0,0.0,45.96
STEF-106,A,0.0,0.0,46.63
STEF-107,A1,0.0,0.0,67.87
STEF-108,A,0.0,0.0,43.56
STEF-109,Ne,10.13,1.15,102.63
STEF-110,A1,0.0,0.0,63.35
STEF-111,A,0.0,0.0,40.45
STEF-112,A,0.0,0.0,48.45
STEF-113,A1,0.0,0.0,68.29
STEF-114,A1,0.0,0.0,70.26
STEF-115,fa,13.27,1.05,123.04
STEF-116,A,14.05,1.15,295.16
STEF-117,fa,13.44,1.05,102.02
STEF-118,A,8.22,1.05,45.3
STEF-119,fa,7.9,1.05,17.27
