short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
ZOBE-001,SU,9999.0,17.89,none,3333
ZOBE-002,Bg,12.37,29.08,"SM2542, SM2543",5
ZOBE-003,Bg,13.67,217.31,"SM2544, SM2545",5
ZOBE-004,C,13.53,531.29,"SM2546, SM2546A, SM2557, SM2557A, SM2558",5
ZOBE-005,B,5.6,63.77,"SM2532, SM2533A",2
ZOBE-006,B,9999.0,238.43,"SM2518, SM2519, SM2520, SM2521A",3333
ZOBE-007,B1,18.29,67.65,"SM2437, SM2515, SM2516",7
ZOBE-008,B,10.03,64.69,"SM2530, SM2531, SM2534",4
ZOBE-009,B1,15.6,142.56,"SM2517, SM2517A",6
ZOBE-010,B,0.0,61.6,"SM2529, SM2535",1
ZOBE-011,B,8.38,134.47,"SM2520A, SM2521, SM2522, SM2523, SM2524, SM2525",3
ZOBE-012,B1,15.61,263.96,"SM2432, SM2433, SM2434, SM2435, SM2436",6
ZOBE-013,B,9999.0,492.35,none,3333
ZOBE-014,B,10.66,62.01,"SM2527, SM2528, SM2536, SM2537",4
ZOBE-015,B,10.72,72.26,none,4
ZOBE-016,B,7.15,11.43,none,3
ZOBE-017,Kt,6.1,39.02,SM2514,3
ZOBE-018,C,17.58,471.75,"SM2488, SM2488A",6
ZOBE-019,C,17.0,268.76,"SM2490, SM2491, SM2492",6
ZOBE-020,C,16.24,274.14,"SM2493, SM2493A, SM2493B",6
ZOBE-021,C,16.0,346.44,"SM2475, SM2494, SM2494A, SM2495, SM2496, SM2496A",6
ZOBE-022,Bg,13.95,269.76,"SM2469, SM2470, SM2487, SM2487A",5
ZOBE-023,Bg,17.79,195.8,"SM2471, SM2472, SM2484, SM2485, SM2486",6
ZOBE-024,Bg,0.0,159.79,"SM2473, SM2483",1
ZOBE-025,Or,18.3,165.17,"SM2474, SM2482",7
ZOBE-026,C,17.42,199.47,"SM2480, SM2481",6
ZOBE-027,C,10.36,126.15,"SM2476, SM2477, SM2477A, SM2478, SM2479",4
ZOBE-028,fa,0.0,74.03,"SM2461, SM2462",1
ZOBE-029,fa,11.54,91.73,SM2463,4
ZOBE-030,fa,10.72,102.16,"SM2451, SM2464",4
ZOBE-031,fa,12.62,73.84,"SM2455, SM2456, SM2457, SM2458, SM2459",5
ZOBE-032,fa,13.98,66.87,SM2460,5
ZOBE-033,fa,0.0,0.0,"SM2452, SM2453, SM2454",1
ZOBE-034,B,14.41,123.78,"SM2438, SM2439, SM2440",5
ZOBE-035,B,17.3,84.44,"SM2441, SM2441A",6
ZOBE-036,Bg,17.3,213.87,"SM2442, SM2443",6
ZOBE-037,pt,0.0,395.45,SM2466,1
ZOBE-038,pt,18.19,325.76,"SM2450, SM2465, SM2465A",7
ZOBE-039,pt,18.8,930.18,SM2467,7
ZOBE-040,pt,0.0,124.76,none,1
ZOBE-041,C,9.8,161.93,"SM2444, SM2445, SM2446, SM2447, SM2448, SM2449",4
ZOBE-042,pt,0.0,501.27,"SM2539, SM2540, SM2554A, SM2555",1
ZOBE-043,B,0.0,93.31,"SM2553A, SM2554",1
ZOBE-044,pt,0.0,28.69,SM2538,1
ZOBE-045,B,0.0,63.77,SM2553,1
ZOBE-046,fa,0.0,33.98,none,1
ZOBE-047,fa,0.0,50.52,none,1
ZOBE-048,fa,0.0,47.1,SM2538A,1
ZOBE~NO_BUILDING,,,,"SM2489, SM2541",
