Full_sesti,short_alias
SP2196,BOLD-065
SP2197,BOLD-056
SP2198,BOLD-056
SP2199,BOLD-028
SP2200,BOLD-027
SP2202A,BOLD-027
SP2203,BOLD-030
SP2204,BOLD-030
SP2205,BOLD-030
SP2205A,BOLD-070
SP2206,BOLD-056
SP2207,BOLD-056
SP2207A,BOLD-056
SP2207B,BOLD-056
SP2208,BOLD-056
SP2209,BOLD-056
SP2209A,BOLD-056
SP2210,BOLD-064
SP2210A,
SP2210B,BOLD-063
SP2210C,BOLD-063
SP2211,BOLD-063
SP2211A,BOLD-063
SP2212,BOLD-062
SP2212A,BOLD-061
SP2212B,BOLD-061
SP2213,BOLD-062
SP2214,BOLD-067
SP2214A,BOLD-067
SP2215,BOLD-068
SP2215A,BOLD-068
SP2216,BOLD-068
SP2217,BOLD-069
SP2218,BOLD-069
SP2219,BOLD-069
SP2220,BOLD-059
SP2221,BOLD-060
SP2221A,BOLD-060
SP2222,BOLD-060
SP2223,BOLD-057
SP2224,BOLD-057
SP2225,BOLD-057
SP2225A,BOLD-055
SP2226,BOLD-053
SP2227,BOLD-053
SP2228,BOLD-053
SP2229,BOLD-052
SP2230,BOLD-052
SP2231,BOLD-054
SP2232,BOLD-054
SP2233,BOLD-058
SP2233A,BOLD-058
SP2234,BOLD-051
SP2234A,BOLD-051
SP2234B,BOLD-051
SP2235,BOLD-051
SP2236,BOLD-050
SP2237,BOLD-050
SP2238,BOLD-050
SP2239,BOLD-050
SP2240,BOLD-050
SP2240A,BOLD-050
SP2241,
SP2242,BOLD-049
SP2243,BOLD-049
SP2244,BOLD-049
SP2244A,BOLD-044
SP2245,BOLD-044
SP2245A,BOLD-043
SP2247,BOLD-044
SP2248,
SP2249,BOLD-049
SP2250,BOLD-049
SP2251,BOLD-049
SP2252,BOLD-049
SP2253,BOLD-049
SP2254,BOLD-049
SP2255,BOLD-049
SP2256,BOLD-049
SP2257,BOLD-049
SP2257B,BOLD-049
SP2258,BOLD-049
SP2259,BOLD-049
SP2260,BOLD-049
SP2261,BOLD-049
SP2262,BOLD-049
SP2263,BOLD-071
SP2264,BOLD-048
SP2265,BOLD-048
SP2266,BOLD-048
SP2266A,BOLD-046
SP2267,BOLD-046
SP2267A,BOLD-047
SP2268,BOLD-048
SP2269,BOLD-001
SP2269A,BOLD-001
SP2270,BOLD-002
SP2271,BOLD-001
SP2272,BOLD-004
SP2272A,BOLD-045
SP2273,BOLD-039
SP2273A,BOLD-039
SP2274,BOLD-040
SP2275,BOLD-041
SP2276,BOLD-041
SP2277,BOLD-042
SP2278,BOLD-042
SP2279,BOLD-042
SP2279A,BOLD-042
SP2279B,BOLD-042
SP2280,BOLD-042
SP2281,BOLD-005
SP2281A,
SP2282,BOLD-006
SP2283,
SP2284,BOLD-037
SP2285,BOLD-035
SP2286,BOLD-034
SP2286A,BOLD-034
SP2286B,BOLD-033
SP2286C,BOLD-033
SP2287,BOLD-033
SP2288,BOLD-033
SP2289,BOLD-033
SP2290,BOLD-034
SP2291,BOLD-034
SP2292,BOLD-035
SP2293,BOLD-036
SP2294,BOLD-037
SP2295,
SP2296,BOLD-007
SP2297,
SP2302,BOLD-009
SP2303,BOLD-010
SP2304,BOLD-010
SP2304A,BOLD-010
SP2304B,BOLD-010
SP2304C,BOLD-010
SP2304D,BOLD-010
SP2305,BOLD-010
SP2305A,BOLD-010
SP2305B,BOLD-010
SP2305C,BOLD-010
SP2306,BOLD-010
SP2307,BOLD-070
SP2308,BOLD-070
SP2309,BOLD-031
SP2310,BOLD-031
SP2311,BOLD-031
SP2312,BOLD-031
SP2312A,BOLD-031
SP2312B,
SP2312C,BOLD-031
SP2313,
SP2314,BOLD-032
SP2315,BOLD-032
SP2316,BOLD-032
SP2317,BOLD-032
SP2318,BOLD-032
SP2319,BOLD-032
SP2320,BOLD-032
SP2321,BOLD-022
SP2322,BOLD-022
SP2323,BOLD-022
SP2324,BOLD-024
SP2325,BOLD-024
SP2326,BOLD-024
SP2327,BOLD-019
SP2328,
SP2329,BOLD-021
SP2330,
SP2331,BOLD-017
SP2332A,BOLD-016
SP2333,BOLD-014
SP2334,BOLD-014
SP2335,BOLD-013
SP2336,BOLD-013
SP2338,
SP2341,BOLD-023
SP2341A,BOLD-023
SP2342,BOLD-023
SP2343,BOLD-023
SP2344,BOLD-023
SP2345,BOLD-023
SP2346,BOLD-023
SP2347,BOLD-011
SP2348,BOLD-011
SP2349,BOLD-011
SP2350,BOLD-011
