short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
CASS-001,C,10.11,147.19,"SP1933, SP1933A, SP1937, SP1938",4
CASS-002,C,14.16,130.46,"SP1934, SP1934A, SP1934B, SP1935, SP1936",5
CASS-003,B1,7.96,132.85,"SP1514, SP1514A",3
CASS-004,A,13.7,197.11,"SP1512B, SP1512C, SP1513, SP1513A, SP1513B, SP1513C",5
CASS-005,A,12.84,59.03,SP1512,5
CASS-006,A,0.0,32.36,none,1
CASS-007,A1,13.37,33.81,SP1512D,5
CASS-008,A,0.0,23.41,SP1512E,1
CASS-009,A,12.87,203.79,"SP1510, SP1510A, SP1510B",5
CASS-010,pt,0.0,40.6,"SP1915, SP1915A, SP1915B",1
CASS-011,A1,0.0,29.19,SP1916,1
CASS-012,pt,0.0,42.94,"SP1913, SP1914, SP1917, SP1918",1
CASS-013,A1,0.0,75.8,"SP1929, SP1930, SP1931, SP1931A",1
CASS-014,pt,8.57,29.91,SP1932,3
CASS-015,B,0.0,97.96,"SP1910, SP1911, SP1912, SP1919, SP1920",1
CASS-016,A1,0.0,52.17,"SP1927, SP1928",1
CASS-017,B,0.0,58.05,"SP1924, SP1925, SP1926",1
CASS-018,A1,0.0,265.36,SP1932A,1
CASS-019,B,10.4,61.23,"SP1908, SP1909, SP1921, SP1922",4
CASS-020,B,0.0,93.93,"SP1906, SP1907, SP1923",1
CASS-021,A1,12.06,34.32,SP1904,5
CASS-022,Bg,18.0,240.74,SP1870A,6
CASS-023,C,15.16,302.45,"SP1868A, SP1869",6
CASS-024,A1,0.0,81.33,SP1903,1
CASS-025,A1,14.6,219.04,"SP1901, SP1902",5
CASS-026,Bg,15.48,188.18,"SP1896A, SP1897, SP1898, SP1898A, SP1899",6
CASS-027,Bg,14.13,205.38,none,5
CASS-028,Bg,16.32,169.47,"SP1518, SP1518B, SP1518C",6
CASS-029,C,25.12,739.29,"SP1865, SP1866",9
CASS-030,pt,15.8,373.24,"SP1870, SP1871, SP1871A, SP1872",6
CASS-031,A,18.45,19.91,"SP1519B, SP1519C",7
CASS-032,Bg,0.0,139.1,"SP1516C, SP1516D, SP1517, SP1517A",1
CASS-033,pt,0.0,146.52,"SP1873, SP1874, SP1889C",1
CASS-034,C,19.0,308.55,"SP1857, SP1858, SP1859, SP1860",7
CASS-035,A,16.5,445.63,"SP1519, SP1519A, SP1520, SP1521, SP1522, SP1524, SP1525, SP1526, SP1527, SP1528, SP1529",6
CASS-036,fa,13.0,31.03,SP1864,5
CASS-037,C,17.33,106.03,"SP1516, SP1516A, SP1516B",6
CASS-038,C,0.0,131.74,SP1889B,1
CASS-039,fa,15.05,163.63,"SP1894, SP1895, SP1895A, SP1895B",6
CASS-040,Bg,20.33,146.95,"SP1892, SP1893",7
CASS-041,D,10.36,31.32,SP1863A,4
CASS-042,D,17.06,84.17,"SP1861, SP1861A, SP1862, SP1863",6
CASS-043,C,18.0,169.75,"SP1889, SP1890, SP1891",6
CASS-044,C,12.15,309.51,"SP1876, SP1877, SP1879, SP1880, SP1881, SP1882",5
CASS-045,A,13.98,68.15,"SP1878, SP1888",5
CASS-046,C,10.37,120.15,"SP1884, SP1885, SP1886, SP1887",4
CASS-047,C,16.67,421.43,"SP1559, SP1559A, SP1560, SP1561, SP1562",6
CASS-048, ,8.15,13.82,SP1558A,3
CASS-049,A,8.85,48.54,SP1558,3
CASS-050,C,8.36,156.01,none,3
CASS-051,C,14.0,390.32,"SP1563, SP1564, SP1565, SP1566",5
CASS-052,C,14.82,417.89,"SP1567, SP1568, SP1569, SP1570, SP1571",5
CASS-053,B,0.0,77.18,SP1572,1
CASS-054,B,18.31,57.2,"SP1573, SP1574, SP1575",7
CASS-055,B,13.43,82.53,"SP1597, SP1597A, SP1598, SP1599",5
CASS-056,B,17.55,55.65,"SP1576, SP1577",6
CASS-057,C,0.0,134.94,"SP1578, SP1579, SP1580, SP1581, SP1582, SP1583",1
CASS-058,D,15.98,58.68,"SP1595, SP1596, SP1600, SP1601",6
CASS-059,fa,0.0,112.67,"SP1584, SP1585",1
CASS-060,D,17.72,82.68,"SP1592, SP1593, SP1594, SP1602, SP1602A",6
CASS-061,fa,10.65,26.34,"SP1591A, SP1603",4
CASS-062,fa,15.07,75.19,"SP1586, SP1586A, SP1586B, SP1587, SP1589, SP1590",6
CASS-063,C,10.0,32.29,"SP1852, SP1853",4
CASS-064,B,15.8,122.43,none,6
CASS-065,C,19.25,181.29,SP1840,7
CASS-066,pt,11.07,68.44,none,4
CASS-067,pt,16.13,759.57,SP1851,6
CASS-068,pt,0.0,44.2,none,1
CASS-069,D,16.28,170.94,"SP1841, SP1842, SP1843, SP1844, SP1844A",6
CASS-070,C,15.13,48.37,none,6
CASS-071,C,13.25,227.2,"SP1846, SP1846A, SP1847, SP1848, SP1848A, SP1849, SP1849A, SP1850",5
CASS-072,A,0.0,77.94,"SP1838, SP1839",1
CASS-073,D,8.75,40.17,"SP1817, SP1818, SP1819, SP1820",3
CASS-074,A,11.5,60.18,SP1837,4
CASS-075,A,9.5,76.37,"SP1821, SP1822, SP1836",4
CASS-076,A,7.62,39.26,"SP1823, SP1834, SP1835",3
CASS-077,B,14.94,456.31,"SP1812, SP1812A, SP1813, SP1814, SP1815, SP1816",5
CASS-078,A,9.3,50.8,"SP1824, SP1825, SP1833",4
CASS-079,A,15.56,88.42,"SP1826, SP1827, SP1832",6
CASS-080,B,15.0,285.02,"SP1808, SP1810, SP1811",5
CASS-081,A,10.3,85.48,"SP1828, SP1829, SP1830, SP1831",4
CASS-082,fa,15.64,112.71,"SP1797, SP1798, SP1799, SP1800",6
CASS-083,A,15.64,225.02,"SP1793, SP1793A, SP1794, SP1795, SP1796, SP1801, SP1802, SP1803, SP1803B",6
CASS-084, ,12.9,92.74,SP1803A,5
CASS-085, ,10.55,45.86,none,4
CASS-086,B,15.4,190.48,"SP1804, SP1805, SP1805A, SP1806, SP1807",6
CASS-087,C,9.15,21.84,none,4
CASS-088,C,14.54,372.17,"SP1789, SP1790, SP1791",5
CASS-089,Or,12.3,196.86,"SP1530, SP1531, SP1532, SP1533, SP1534",5
CASS-090,C,11.0,143.47,"SP1535, SP1535A, SP1536",4
CASS-091,C,11.0,199.2,"SP1537, SP1538, SP1539, SP1540, SP1540A, SP1540B, SP1541",4
CASS-092,Bg,16.09,168.3,"SP1542, SP1543, SP1544, SP1545",6
CASS-093,Bg,0.0,73.29,"SP1552, SP1553, SP1554",1
CASS-094,C,14.3,208.41,none,5
CASS-095,C,11.0,80.52,SP1546,4
CASS-096,Bg,13.63,76.41,SP1555,5
CASS-097,C,17.36,280.98,"SP1547, SP1548, SP1549, SP1550, SP1551, SP1556, SP1557A",6
CASS-098,C,0.0,3.1,none,1
CASS-099,C,0.0,628.2,"SP1942, SP1943, SP1944",1
CASS-100,A,12.73,195.82,none,5
CASS-101,A,0.0,42.88,none,1
CASS-102,C,14.24,69.34,SP1941,5
CASS-103,A,9.6,82.03,SP1945,4
CASS-104,A,9.6,46.76,none,4
CASS-105,C,0.0,660.62,"SP1939, SP1940",1
CASS-106,Or,12.0,235.27,SP1950A,4
CASS-107,A,11.42,59.08,none,4
