short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
FRAR-001,Ne,0.0,125.64,SP2465C,1
FRAR-002,B,0.0,115.12,"SP2465B, SP2465G",1
FRAR-003,A1,0.0,90.38,"SP2465D, SP2465M",1
FRAR-004,A1,0.0,54.48,SP2465A,1
FRAR-005,A1,0.0,181.39,"SP2465, SP2465E, SP2465F",1
FRAR-006,fa,0.0,105.69,none,1
FRAR-007,Nr,17.2,562.74,"SP2466, SP2466A",6
FRAR-008,C,0.0,66.56,SP2464B,1
FRAR-009,Ne,13.7,229.57,SP3073E,5
FRAR-010,A,0.0,176.72,SP2463,1
FRAR-011,A,0.0,67.74,SP2462,1
FRAR-012,Ne,12.0,252.96,SP3073A,4
FRAR-013,B1,0.0,140.22,"SP2461, SP2461A",1
FRAR-014,fa,5.53,8.68,none,2
FRAR-015,B1,0.0,82.24,"SP2459A, SP2460, SP2460A",1
FRAR-016,SU,0.0,156.46,none,1
FRAR-017,Ne,12.9,187.85,none,5
FRAR-018,Nd,0.0,69.05,SP2459,1
FRAR-019,Nr,10.3,256.58,none,4
FRAR-020,D,0.0,408.32,"SP2458, SP2458B, SP2467",1
FRAR-021,SU,9999.0,8461.01,SP3063,3333
FRAR-022,Kot,0.0,118.24,none,1
FRAR-023,A1,0.0,34.14,none,1
FRAR-024,SM,13.1,181.58,none,5
FRAR-025,SU,9999.0,641.67,"SP3051, SP3052, SP3053",3333
FRAR-026,Knt,0.0,73.36,"SP2468A, SP2468B",1
FRAR-027,SU,0.0,610.82,"SP2455, SP2456",1
FRAR-028,SU,0.0,72.79,none,1
FRAR-029,SU,0.0,1052.74,"SP2468C, SP2552, SP2553, SP2553A, SP2554",1
FRAR-030,SM,9999.0,10979.15,"SP2556, SP2556A, SP2556B, SP2556C",3333
FRAR-031,A1,0.0,66.88,"SP2439, SP2441",1
FRAR-032,SU,0.0,58.72,none,1
FRAR-033,B,0.0,47.71,SP2438A,1
FRAR-034,pt,0.0,57.55,"SP2443, SP2444",1
FRAR-035,SU,0.0,420.64,none,1
FRAR-036,A,0.0,28.69,SP2438,1
FRAR-037,pt,0.0,65.76,"SP2445, SP2446",1
FRAR-038,fa,0.0,124.6,"SP2427, SP2437",1
FRAR-039,B,0.0,364.12,"SP2454, SP2454A",1
FRAR-040,A,0.0,12.12,none,1
FRAR-041,fa,0.0,19.51,SP2436,1
FRAR-042,A1,0.0,6.25,none,1
FRAR-043,B,0.0,34.6,"SP2449, SP2449A",1
FRAR-044,pt,0.0,53.71,"SP2447, SP2448",1
FRAR-045,B,0.0,63.55,"SP2428, SP2429, SP2430",1
FRAR-046,B,0.0,59.75,"SP2431, SP2432",1
FRAR-047,A1,0.0,84.19,"SP2433, SP2434, SP2435",1
FRAR-048,B,0.0,57.3,"SP2450, SP2451",1
FRAR-049,B,0.0,66.77,"SP2452, SP2453",1
FRAR-050,Nr,0.0,313.06,"SP2479, SP2480, SP2481, SP2550, SP2551",1
FRAR-051,A1,0.0,74.94,"SP2470, SP2471",1
FRAR-052,A1,0.0,141.86,"SP2472, SP2473, SP2474",1
FRAR-053,pt,0.0,82.15,SP2478,1
FRAR-054,SM,9999.0,7426.11,none,3333
FRAR-055,Or,0.0,122.07,"SP2475, SP2475A, SP2476, SP2477",1
FRAR-056,SM,0.0,905.47,"SP3002, SP3003",1
FRAR-057,Ne,0.0,582.74,"SP3080M, SP3080N, SP3080P",1
FRAR-058,Ne,0.0,245.19,SP3073K,1
FRAR-059,Ne,0.0,193.37,SP3080L,1
FRAR-060,Ne,0.0,162.45,none,1
FRAR-061,Ne,0.0,230.92,"SP3073M, SP3073N",1
FRAR-062,Ne,0.0,5.07,none,1
FRAR-063,Ne,0.0,188.06,none,1
FRAR-064,Ne,0.0,163.4,SP2464M,1
FRAR-065,Ne,0.0,365.12,"SP2464D, SP2464E, SP2464F, SP2464G, SP2464H, SP2464I, SP2464L",1
FRAR-066,Bg,0.0,23.67,SP2484,1
FRAR-067,B,0.0,74.39,SP2485,1
FRAR-068,Bg,0.0,61.25,"SP2486, SP2487",1
FRAR-069,fa,0.0,67.14,SP2483A,1
FRAR-070,C,0.0,203.24,"SP2482, SP2548, SP2548A, SP2548B",1
FRAR-071,B,0.0,60.71,none,1
FRAR-072,Bg,0.0,105.86,"SP2488, SP2489, SP2490",1
FRAR-073,Bg,0.0,95.26,"SP2491, SP2492",1
FRAR-074,Bg,0.0,67.74,"SP2493, SP2494",1
FRAR-075,A,0.0,68.46,"SP2545, SP2546",1
FRAR-076,A,0.0,49.12,none,1
FRAR-077,B,0.0,100.31,"SP2497, SP2544",1
FRAR-078,Nr,0.0,127.33,"SP2498, SP2543A",1
FRAR-079,Nr,0.0,19.21,none,1
FRAR-080,Nr,0.0,47.9,SP2543,1
FRAR-081,Nr,0.0,14.22,SP2498D,1
FRAR-082,Nr,0.0,124.18,"SP2498A, SP2498B, SP2543B, SP2543C, SP2543D",1
FRAR-083,Bg,0.0,85.69,"SP2530, SP2531, SP2531A, SP2532",1
FRAR-084,Bg,0.0,130.71,"SP2533, SP2534, SP2535",1
FRAR-085,pt,0.0,153.39,"SP2536, SP2537, SP2538, SP2538A",1
FRAR-086,Or,0.0,86.34,"SP2527, SP2528, SP2529",1
FRAR-087,A,0.0,65.12,SP2539,1
FRAR-088,Or,0.0,130.95,"SP2524, SP2525, SP2526",1
FRAR-089,Or,0.0,5.2,none,1
FRAR-090,pt,0.0,39.39,SP2541,1
FRAR-091,fa,9999.0,11049.59,"SP2516, SP2517, SP2518, SP2518A, SP2519, SP2519A",3333
FRAR-092,C,9999.0,4926.83,SP2521A,3333
FRAR-093,C,9999.0,4844.51,"SP2515, SP2515A, SP2519B",3333
FRAR-094,C,18.4,295.19,"SP2521, SP2521B",7
FRAR-095,pt,0.0,56.34,"SP2372, SP2372A, SP2411",1
FRAR-096,B,0.0,68.16,"SP2407, SP2408",1
FRAR-097,Bg,0.0,105.36,"SP2403, SP2404, SP2405, SP2406",1
FRAR-098,pt,0.0,118.23,"SP2409, SP2410",1
FRAR-099,B,0.0,87.37,"SP2373, SP2374",1
FRAR-100,Ne,0.0,55.21,"SP2381, SP2381A",1
FRAR-101,B,0.0,73.2,"SP2401, SP2402",1
FRAR-102,Ne,0.0,25.11,SP2382,1
FRAR-103,B,0.0,65.27,SP2380,1
FRAR-104,Ne,0.0,48.55,SP2399,1
FRAR-105,A,0.0,60.72,"SP2375, SP2376",1
FRAR-106,Ne,0.0,37.42,none,1
FRAR-107,A,0.0,31.65,SP2377,1
FRAR-108,A,0.0,89.62,"SP2378, SP2379",1
FRAR-109,Ne,0.0,72.59,"SP2396, SP2397, SP2398",1
FRAR-110,A,0.0,24.68,none,1
FRAR-111,A,0.0,25.72,none,1
FRAR-112,Bg,0.0,56.08,"SP2394, SP2395",1
FRAR-113,D,0.0,404.1,"SP2384, SP2385, SP2386, SP2386A, SP2387, SP2387A, SP2388, SP2389, SP2390, SP2390A, SP2391, SP2393",1
FRAR-114,Ne,0.0,325.91,"SP3080R, SP3080S, SP3080T, SP3080U, SP3080Z",1
FRAR-115,Ne,0.0,101.62,"SP3073S, SP3073T",1
FRAR-116,Ne,0.0,166.04,"SP3073P, SP3073Q",1
FRAR-117,Nd,0.0,93.75,none,1
FRAR-118,Ne,15.7,504.37,"SP3080, SP3080A, SP3080B, SP3080C, SP3080D",6
FRAR-119,Ne,15.5,493.57,"SP3080E, SP3080F",6
FRAR-120,Nd,0.0,131.86,none,1
FRAR-121,Ne,15.4,795.67,none,6
FRAR-122,Ne,15.1,654.14,"SP3078Q, SP3078R, SP3078S, SP3078T",6
FRAR-123,Ne,13.7,289.81,SP3081,5
FRAR-124,Ne,14.4,920.51,"SP3077, SP3077A, SP3077B, SP3077C, SP3077D, SP3077E, SP3077F, SP3077G, SP3077H, SP3077I, SP3077L, SP3077M",5
FRAR-125,Nr,0.0,138.98,none,1
FRAR-126,Ne,6.02,81.86,none,3
FRAR-127,Knt,13.6,249.96,none,5
FRAR-128, ,9.96,120.68,none,4
FRAR-129,Ne,0.0,441.63,SP3082,1
FRAR-130,A1,9.96,29.62,SP3083,4
FRAR-131, ,8.53,46.69,none,3
FRAR-132,A1,8.7,59.89,SP3084,3
FRAR-133, ,10.7,173.75,none,4
FRAR-134,C,9999.0,8687.19,"SP3085, SP3085A, SP3086",3333
FRAR-135,Ne,9999.0,8585.29,"SP3087, SP3088, SP3089, SP3090, SP3091A",3333
FRAR-136,Ne,9999.0,8667.73,none,3333
FRAR-137,Bg,9.74,104.28,"SP3091, SP3092, SP3093",4
FRAR-138,C,2.78,29.62,none,1
FRAR-139,A1,11.6,71.95,SP3097A,4
FRAR-140,A,6.64,37.68,none,3
FRAR-141,A1,0.0,47.05,SP3097,1
FRAR-142,C,8.74,152.0,"SP3103, SP3104",3
FRAR-143,A1,9999.0,65.99,SP3098,3333
FRAR-144,A,10.18,164.85,"SP3101, SP3102",4
FRAR-145,B1,9999.0,276.22,none,3333
FRAR-146,A1,9.65,45.54,SP3100,4
FRAR-147,B1,9999.0,8519.91,"SP3098A, SP3099",3333
FRAR-148,C,17.6,209.1,SP3076A,6
FRAR-149,Knt,0.0,57.03,SP3075C,1
FRAR-150,C,13.7,153.94,none,5
FRAR-151,Nd,0.0,19.78,none,1
FRAR-152,C,10.6,143.14,none,4
FRAR-153,Nd,0.0,17.23,none,1
FRAR-154,Ne,0.0,94.72,"SP2424, SP2425, SP2426",1
FRAR-155,Ne,0.0,55.5,SP2423,1
FRAR-156,A,0.0,52.65,"SP2419, SP2420, SP2421, SP2422",1
FRAR-157,Bg,0.0,107.86,"SP2370, SP2371A, SP2413, SP2414, SP2415",1
FRAR-158,B1,0.0,168.97,"SP2417, SP2418, SP2418A",1
FRAR-159,Bg,0.0,103.44,"SP2369, SP2416",1
FRAR-160,C,0.0,302.1,none,1
FRAR-161,C,0.0,69.28,none,1
FRAR-162,fa,0.0,61.16,SP2367,1
FRAR-163,fa,0.0,16.0,none,1
FRAR-164,D,0.0,404.3,"SP2361, SP2361A, SP2362, SP2362A, SP2363, SP2364, SP2365, SP2365A, SP2366",1
FRAR-165,Kna,0.0,616.15,none,1
FRAR-166,Ne,0.0,79.95,SP2499,1
FRAR-167,pt,0.0,68.39,"SP2500, SP2501",1
FRAR-168,fa,0.0,74.04,SP2503,1
FRAR-169,Ne,0.0,26.29,"SP2392, SP2392A",1
FRAR-170,B,0.0,78.83,"SP2504, SP2505, SP2505A",1
FRAR-171,B,0.0,76.51,"SP2505B, SP2506",1
FRAR-172,C,0.0,20.52,none,1
FRAR-173,B,0.0,307.67,"SP2356, SP2357, SP2358, SP2358A",1
FRAR-174,B,0.0,87.67,"SP2506A, SP2507, SP2508",1
FRAR-175,C,0.0,83.52,"SP2355, SP2355A",1
FRAR-176,Bg,0.0,85.8,"SP2509, SP2510",1
FRAR-177,C,0.0,755.41,none,1
FRAR-178,C,0.0,27.46,SP2514O,1
FRAR-179,C,0.0,82.15,none,1
