short_alias,list_of_addresses
MELO-001,"SP1345, SP1345A, SP1345B, SP1345C, SP1346, SP1347"
MELO-002,"SP1348, SP1348A, SP1349"
MELO-003,none
MELO-004,SP1379
MELO-005,"SP1417, SP1417A"
MELO-006,"SP1410, SP1411, SP1412, SP1413, SP1414, SP1415, SP1416"
MELO-007,"SP1418, SP1419, SP1419A"
MELO-008,"SP1420, SP1420A"
MELO-009,"SP1408, SP1409"
MELO-010,"SP1406, SP1407"
MELO-011,"SP1404, SP1405"
MELO-012,"SP1952, SP1952A"
MELO-013,"SP1463, SP1464, SP1465, SP1465B, SP1466, SP1466A, SP1467, SP1468, SP1469, SP1470"
MELO-014,"SP1471, SP1472, SP1472A"
MELO-015,"SP1951, SP1953, SP1954"
MELO-016,SP1497
MELO-017,"SP1493, SP1494"
MELO-018,"SP1484, SP1485, SP1485A"
MELO-019,none
MELO-020,"SP1482, SP1483"
MELO-021,none
MELO-022,"SP1480, SP1481"
MELO-023,SP1479
MELO-024,"SP1473, SP1492"
MELO-025,"SP1474, SP1490, SP1491"
MELO-026,"SP1475, SP1476, SP1488, SP1489"
MELO-027,"SP1477, SP1478, SP1478A, SP1487"
MELO-028,"SP1460, SP1461, SP1462"
MELO-029,none
MELO-030,none
MELO-031,"SP1436, SP1436A, SP1437, SP1438, SP1439, SP1445, SP1446, SP1447"
MELO-032,"SP1449A, SP1449B"
MELO-033,"SP1459, SP1459A"
MELO-034,"SP1447A, SP1448, SP1449, SP1449D, SP1450, SP1450A"
MELO-035,SP1449C
MELO-036,"SP1455, SP1456, SP1457, SP1458"
MELO-037,SP1454
MELO-038,"SP1451, SP1452, SP1453"
MELO-039,none
MELO-040,"SP1430, SP1430A, SP1431, SP1432, SP1433"
MELO-041,"SP1429, SP1429A, SP1429B"
MELO-042,"SP1386, SP1387, SP1421A, SP1422, SP1422A"
MELO-043,"SP1383, SP1383A, SP1384, SP1385, SP1423, SP1424, SP1425, SP1425A, SP1426"
MELO-044,"SP1382, SP1382A, SP1427, SP1428"
MELO-045,"SP1394, SP1396"
MELO-046,SP1397
MELO-047,"SP1393, SP1398"
MELO-048,SP1399
