short_alias,TP_CLS_ED,Qu_Gronda,Superficie,list_of_addresses,floors_est
NOMB-001,Bg,11.2,45.87,"SP2561, SP2562",4
NOMB-002,C,19.7,394.04,"SP2557, SP2558, SP2559, SP2559A, SP2560, SP2574, SP2575, SP2576, SP2577, SP2578",7
NOMB-003,A1,10.6,45.36,"SP2563, SP2564",4
NOMB-004,A1,14.6,58.8,SP2565,5
NOMB-005,Bg,12.6,96.47,"SP2572, SP2572A, SP2573",5
NOMB-006,C,0.0,147.44,"SP2566, SP2566A, SP2567, SP2568, SP2591, SP2592, SP2593",1
NOMB-007,Or,16.1,84.71,"SP2569, SP2570, SP2571",6
NOMB-008,B,9999.0,9005.08,SP2594,3333
NOMB-009,B,9.74,93.57,"SP2588, SP2589, SP2590",4
NOMB-010,B,9999.0,951.47,"SP2587, SP2595, SP2596, SP2598, SP2599, SP2599A, SP2599B",3333
NOMB-011,C,9999.0,5585.03,"SP2579, SP2581, SP2607, SP2608",3333
NOMB-012,D,9999.0,6042.41,"SP2582, SP2583, SP2584, SP2585, SP2586, SP2600, SP2600A, SP2601",3333
NOMB-013,A,0.0,42.42,none,1
NOMB-014,A,11.62,178.11,SP2609A,4
NOMB-015,pt,10.47,137.74,"SP2623, SP2624",4
NOMB-016,B,12.45,100.51,"SP2602, SP2603, SP2603A, SP2606",5
NOMB-017,pt,12.4,192.77,"SP2610, SP2610A, SP2611, SP2612, SP2613, SP2614, SP2614A, SP2614B, SP2615",5
NOMB-018,A1,10.27,71.0,"SP2620, SP2621",4
NOMB-019,A1,9.46,58.75,"SP2618, SP2619",4
NOMB-020,A1,15.49,142.96,"SP2616, SP2617",6
NOMB-021,C,17.12,97.77,"SP2625, SP2626, SP2634, SP2635",6
NOMB-022,C,9.4,62.93,"SP2626A, SP2633",4
NOMB-023,B,12.67,73.21,"SP2627, SP2627A",5
NOMB-024,B,13.04,59.69,"SP2628, SP2629, SP2631, SP2632",5
NOMB-025,B,15.93,146.65,"SP2630, SP2630A, SP2630B, SP2630C",6
NOMB-026,C,15.9,469.88,"SP2636, SP2638, SP2646, SP2646A, SP2647",6
NOMB-027,C,16.75,165.15,"SP2639, SP2640, SP2641, SP2642, SP2643, SP2644, SP2645",6
NOMB-028,C,15.17,156.25,SP2648,6
NOMB-029,C,12.23,111.25,"SP2649, SP2651, SP2652, SP2653, SP2653A",5
NOMB-030,Nd,9999.0,6221.99,"SP2604B, SP2604C",3333
NOMB-031,B,9999.0,6459.61,none,3333
NOMB-032,Nd,5.0,14.01,SP2604A,2
NOMB-033,A,9.58,48.35,none,4
NOMB-034,B,9.6,104.23,SP2679,4
NOMB-035,A,16.65,167.17,"SP2683, SP2684, SP2684A",6
NOMB-036,fa,9999.0,810.39,"SP2604, SP2605, SP2605A, SP2605B, SP2677, SP2677A",3333
NOMB-037,C,11.11,90.24,"SP2704, SP2705, SP2705C",4
NOMB-038,fa,0.0,0.56,none,1
NOMB-039,B,3.05,27.4,none,2
NOMB-040,Knt,5.35,48.61,"SP2680A, SP2680B",2
NOMB-041,C,9.57,69.26,"SP2703, SP2703A",4
NOMB-042,C,0.0,73.72,"SP2686, SP2687, SP2688",1
NOMB-043,Nr,4.37,58.43,"SP2680, SP2680D",2
NOMB-044,C,8.43,30.34,none,3
NOMB-045,C,0.0,79.74,SP2702A,1
NOMB-046,C,0.0,77.49,"SP2689, SP2690",1
NOMB-047,Nr,9.14,32.84,none,4
NOMB-048,C,13.56,122.93,"SP2699, SP2700, SP2700A, SP2718, SP2718A, SP2719",5
NOMB-049,C,11.1,57.25,SP2702,4
NOMB-050,C,0.0,100.68,"SP2681, SP2682, SP2691, SP2692",1
NOMB-051,C,10.14,55.8,"SP2693, SP2694, SP2701",4
NOMB-052,fa,11.44,169.93,"SP2695, SP2695A, SP2696, SP2697, SP2698, SP2720, SP2721, SP2722, SP2723",4
NOMB-053,C,16.72,361.09,"SP2789, SP2789A, SP2790, SP2791, SP2792, SP2793, SP2794",6
NOMB-054,C,0.0,83.22,"SP2768A, SP2769",1
NOMB-055,C,14.6,137.68,"SP2784, SP2785, SP2786",5
NOMB-056,C,15.55,473.43,none,6
NOMB-057,C,14.69,135.19,"SP2782, SP2783",5
NOMB-058,pt,10.49,136.99,"SP2770, SP2771",4
NOMB-059,C,10.27,190.4,"SP2767A, SP2768, SP2768B, SP2768C",4
NOMB-060,pt,0.0,90.1,SP2767,1
NOMB-061,pt,4.57,54.29,none,2
NOMB-062,C,17.21,226.03,SP2776,6
