short_alias,TP_CLS_ED,Qu_Gronda,Qu_Terra,Superficie
SILV-001,B,0.0,1.05,33.55
SILV-002,B,0.0,0.0,58.93
SILV-003,B,14.38,0.95,137.38
SILV-004,A,0.0,0.0,42.53
SILV-005,A,0.0,1.05,30.96
SILV-006,A1,11.68,0.95,32.57
SILV-007,A,0.0,0.0,30.15
SILV-008,A,0.0,0.95,51.47
SILV-009,A1,14.0,0.95,230.23
SILV-010,C,11.9,0.95,97.86
SILV-011,fa,16.78,0.95,179.58
SILV-012,fa,0.0,1.15,5.53
SILV-013,fa,15.65,0.95,39.45
SILV-014,C,12.98,1.05,55.95
SILV-015,pt,8.3,0.95,135.01
SILV-016,A,13.35,0.95,38.5
SILV-017,C,12.97,0.95,68.67
SILV-018,Bg,0.0,0.0,79.79
SILV-019,A1,13.6,0.95,232.31
SILV-020,Bg,0.0,0.0,35.76
SILV-021,Bg,0.0,0.0,33.84
SILV-022,A1,14.28,0.95,52.95
SILV-023,A1,12.69,0.95,42.65
SILV-024,C,13.63,0.95,51.76
SILV-025,C,14.41,0.95,151.72
SILV-026,B,9999.0,0.95,9927.77
SILV-027,C,0.0,0.0,58.04
SILV-028,Bg,0.0,0.0,99.28
SILV-029,C,0.0,0.0,38.85
SILV-030,C,0.0,0.0,44.47
SILV-031,Bg,13.25,0.95,88.34
SILV-032,C,0.0,0.0,117.23
SILV-033,C,9999.0,0.85,9063.22
SILV-034,C,0.0,0.0,56.5
SILV-035,Bg,14.69,1.05,330.83
SILV-036,A,0.0,0.0,35.22
SILV-037,C,15.1,0.95,39.86
SILV-038,C,0.0,0.0,108.94
SILV-039,Bg,15.9,0.95,75.82
SILV-040,D,0.0,0.95,160.95
SILV-041,Bg,0.0,0.0,50.16
SILV-042,Bg,0.0,0.0,64.61
SILV-043,C,0.0,0.0,75.64
SILV-044,Bg,9999.0,0.85,39.99
SILV-045,D,9999.0,0.85,9498.36
SILV-046,D,9999.0,0.85,9697.53
SILV-047,C,9999.0,0.85,255.11
SILV-048,C,9999.0,0.85,9456.78
SILV-049,pt,9999.0,0.95,9167.04
SILV-050,fa,9999.0,0.85,9349.82
SILV-051,C,0.0,0.0,100.86
SILV-052,Nd,9999.0,0.95,9471.14
SILV-053,D,13.52,0.85,113.31
SILV-054,C,9999.0,0.95,9089.1
SILV-055,fa,15.9,0.85,33.76
SILV-056,C,0.0,0.0,151.55
SILV-057,fa,13.47,0.85,73.37
SILV-058,Nd,3.8,1.4,16.16
SILV-059,C,0.0,0.0,102.07
SILV-060,C,14.5,0.85,132.01
SILV-061,C,0.0,0.0,117.64
SILV-062,C,0.0,0.0,164.47
SILV-063,C,0.0,0.0,203.63
SILV-064,C,0.0,0.0,147.28
SILV-065,C,16.09,0.85,35.9
SILV-066,C,0.0,0.0,106.11
SILV-067,C,0.0,0.0,82.48
SILV-068,fa,13.0,0.85,298.24
SILV-069,C,0.0,0.0,140.75
SILV-070,Or,11.3,0.85,130.32
SILV-071,C,5.83,0.85,51.59
SILV-072,C,17.28,0.85,168.58
SILV-073,D,13.16,0.85,293.05
SILV-074,C,14.0,0.85,141.76
SILV-075,B,14.49,0.85,164.09
SILV-076,B1,15.6,0.85,106.94
SILV-077,C,11.72,0.85,320.07
SILV-078,C,13.34,0.85,298.04
SILV-079,C,13.63,0.85,108.23
SILV-080,B,15.0,0.85,79.19
SILV-081,D,18.07,0.85,194.01
SILV-082,C,14.17,0.85,92.86
SILV-083,B,0.0,0.0,82.51
SILV-084,A1,13.39,0.85,61.42
SILV-085,B,12.43,0.85,75.32
SILV-086,C,0.0,0.0,77.46
SILV-087,C,14.64,0.85,199.52
SILV-088,pt,14.09,0.85,70.37
SILV-089,C,0.0,0.85,28.73
SILV-090,B,7.46,0.85,57.12
SILV-091,B,0.0,0.0,93.16
SILV-092,B,16.64,0.85,61.61
SILV-093,A,15.06,0.85,154.8
SILV-094,Ne,15.81,0.85,97.42
SILV-095,Or,15.06,0.85,137.49
SILV-096,Ne,19.66,0.85,60.47
SILV-097,B,17.6,0.85,163.13
SILV-098,D,13.24,0.85,186.31
SILV-099,D,14.48,0.85,81.6
SILV-100,SU,13.68,0.85,583.23
SILV-101,SU,0.0,0.85,2154.6
SILV-102,pt,0.0,0.85,520.31
SILV-103,C,17.19,1.25,89.84
SILV-104,C,17.69,1.25,139.23
SILV-105,pt,12.05,1.35,97.76
SILV-106,D,16.27,1.25,91.07
SILV-107,C,16.75,1.35,192.84
SILV-108,A,13.89,1.35,154.88
SILV-109,C,13.68,1.25,134.27
SILV-110,C,10.59,1.35,62.8
SILV-111,Bg,13.94,1.35,139.87
SILV-112,Bg,0.0,0.0,76.61
SILV-113,C,14.17,1.35,314.4
SILV-114,D,13.48,1.25,147.41
SILV-115,Kt/Or,19.42,1.25,221.88
SILV-116,Knt,11.61,1.25,99.57
SILV-117,Knt,5.73,1.25,195.94
SILV-118,Knt,14.0,1.25,58.03
SILV-119,D,13.31,1.05,135.36
SILV-120,C,12.95,1.05,253.15
SILV-121,C,0.0,1.05,79.94
SILV-122,C,16.1,1.05,162.53
SILV-123,SM,16.5,0.75,624.65
SILV-124,A,15.02,1.05,96.08
SILV-125,D,12.6,1.05,48.05
SILV-126,D,4.5,1.05,13.81
SILV-127,Or,0.0,1.05,270.25
SILV-128,D,13.63,1.05,139.92
SILV-129,A,15.67,1.25,283.56
SILV-130,fa,0.0,1.25,256.37
SILV-131,A,0.0,1.25,256.37
SILV-132,A,12.32,1.25,39.47
SILV-133,A,16.59,1.25,157.98
SILV-134,B,8.23,1.25,94.22
SILV-135,Bg,12.96,1.25,107.83
SILV-136,Bg,12.6,1.05,185.61
SILV-137,A,13.8,1.25,26.0
SILV-138,fa,13.0,1.25,286.99
SILV-139,fa,0.0,1.05,230.24
SILV-140,C,12.68,0.95,43.99
SILV-141,pt,15.06,1.05,72.87
SILV-142,fa,13.42,1.05,154.41
SILV-143,Ne,15.1,1.05,101.52
SILV-144,A1,10.95,1.05,150.09
SILV-145,A1,0.0,0.0,23.54
SILV-146,A1,6.6,1.05,27.45
SILV-147,A1,12.03,1.05,85.41
SILV-148,fa,10.56,1.05,101.58
SILV-149,fa,10.0,1.05,103.2
SILV-150,fa,13.41,1.05,94.9
SILV-151,Bg,10.73,1.05,131.22
SILV-152,fa,9.0,1.05,15.18
SILV-153,fa,14.13,1.05,132.16
SILV-154,Bg,0.0,0.0,121.69
SILV-155,fa,4.5,1.05,38.74
SILV-156,Bg,17.0,1.05,262.96
SILV-157,Bg,0.0,1.05,97.91
SILV-158,Or,13.92,1.05,168.83
SILV-159,Bg,15.36,1.05,33.19
SILV-160, ,0.0,0.0,34.0
SILV-161,Bg,0.0,0.0,38.22
SILV-162, ,0.0,0.0,59.03
SILV-163,A,0.0,0.0,32.49
SILV-164, ,12.43,1.05,100.74
SILV-165, ,13.29,1.05,54.48
SILV-166,A,4.5,1.05,55.03
SILV-167,C,16.0,1.15,503.69
SILV-168,C,18.0,0.95,124.44
SILV-169,C,15.17,1.15,141.48
SILV-170,Or,12.16,1.15,47.9
SILV-171,Or,0.0,0.0,89.99
SILV-172,C,15.55,0.95,119.88
SILV-173,pt,6.0,1.15,77.18
SILV-174,C,12.16,1.15,83.7
SILV-175,pt,12.61,0.95,79.45
SILV-176,Bg,0.0,0.0,84.3
SILV-177,D,16.6,1.35,148.29
SILV-178,N,9999.0,0.85,1288.76
SILV-179,C,15.08,1.35,200.44
SILV-180,D,13.38,1.35,182.26
SILV-181,C,9999.0,0.85,803.18
SILV-182,B,9999.0,1.05,10102.61
SILV-183,B,9999.0,1.05,10138.49
SILV-184,B,0.0,0.0,62.35
SILV-185,B,0.0,0.0,69.94
SILV-186,D,14.25,0.85,124.8
SILV-187,B,0.0,0.0,79.38
SILV-188,Bg,16.68,0.85,41.99
SILV-189,Bg,13.0,0.85,154.91
SILV-190,Bg,0.0,0.0,34.86
SILV-191,A,10.67,0.85,45.71
SILV-192,fa,8.3,0.85,85.89
SILV-193,A,15.97,0.85,148.57
SILV-194,Bg,16.94,0.85,47.76
SILV-195,Bg,0.0,0.0,151.49
SILV-196,Bg,13.68,0.85,88.51
SILV-197,Bg,16.55,0.85,150.46
SILV-198,Bg,0.0,0.0,220.81
SILV-199,Bg,17.6,0.85,138.57
SILV-200,B,13.93,0.85,90.29
SILV-201,A,14.23,0.85,154.32
SILV-202,A1,0.0,0.0,44.06
SILV-203,A,0.0,0.0,42.91
SILV-204,A1,16.83,0.85,51.15
SILV-205,A,14.4,0.85,81.87
SILV-206,A,13.65,0.85,47.99
SILV-207,A,13.65,0.85,26.52
SILV-208,A,14.4,0.85,64.32
SILV-209,A,0.0,0.0,23.34
SILV-210,A,12.1,0.85,32.99
SILV-211,Or,12.89,0.85,89.06
SILV-212,Or,6.98,0.85,153.99
SILV-213,A,9999.0,0.87,243.82
SILV-214,A,9999.0,0.85,322.92
SILV-215,Nd,0.0,0.87,16.52
SILV-216,A,0.0,0.0,19.68
SILV-217,A1,15.48,0.85,18.71
SILV-218,A1,13.76,0.85,27.49
SILV-219,A,13.97,0.85,258.95
SILV-220,A,11.7,0.85,74.99
SILV-221,A,11.0,0.87,30.47
SILV-222,SP,15.43,0.75,1131.28
SILV-223,SP,13.9,0.75,1764.48
SILV-224,SU,0.0,0.65,14.73
SILV-225,SU,0.0,0.65,14.23
SILV-226,D,13.05,0.65,221.43
SILV-227,SU,4.32,0.65,39.22
SILV-228,D,8.8,1.15,146.01
SILV-229,B,10.25,1.05,99.11
SILV-230,B,10.4,1.95,46.16
SILV-231,A1,12.53,1.95,72.76
SILV-232,A1,9.2,1.05,58.33
SILV-233,A1,15.0,1.05,44.86
SILV-234,A,10.62,1.05,31.53
SILV-235,Bg,13.41,1.05,128.43
SILV-236,A1,12.68,1.05,69.56
SILV-237,A,0.0,1.05,35.34
SILV-238,fa,0.0,0.0,86.74
SILV-239,SU,34.42,1.05,37.56
SILV-240,fa,0.0,1.05,29.35
SILV-241,A,14.6,1.05,37.05
SILV-242,B,11.11,1.05,53.68
SILV-243,A,14.73,1.05,64.09
SILV-244,A,11.0,1.05,145.3
SILV-245,C,0.0,0.0,231.58
SILV-246,C,18.5,1.15,115.89
SILV-247,C,0.0,0.0,367.61
SILV-248,C,13.67,0.85,142.28
SILV-249,C,13.6,1.15,43.66
SILV-250,D,13.47,0.85,113.38
SILV-251,pt,11.9,0.95,156.98
SILV-252,SU,15.41,0.95,42.93
SILV-253,SU,0.0,0.0,30.49
SILV-254,pt,17.09,0.95,615.81
SILV-255,B,14.27,1.05,53.53
SILV-256,SU,13.06,0.95,134.06
SILV-257,Bg,16.53,0.95,132.59
SILV-258,Bg,9.74,0.95,95.05
SILV-259,B,9.74,0.95,105.12
SILV-260,B,12.72,0.95,120.69
SILV-261,B,10.31,0.85,153.97
SILV-262,B,9.97,0.95,73.77
SILV-263,C,11.98,0.95,64.99
SILV-264,C,15.62,0.95,187.68
SILV-265,fa,13.6,0.85,121.9
SILV-266,fa,12.2,0.85,72.36
SILV-267,Bg,14.01,0.85,61.5
SILV-268,A,9.64,0.85,41.37
SILV-269,pt,9999.0,0.85,36925.35
SILV-270,A,10.59,0.85,56.49
SILV-271,B,16.52,0.85,176.59
SILV-272,pt,10.59,1.15,116.47
SILV-273,pt,9999.0,0.95,37077.37
SILV-274,Nr,10.24,0.85,85.69
SILV-275,B,0.0,0.85,33.39
SILV-276,C,13.69,0.85,165.08
SILV-277,B,12.68,1.15,90.22
SILV-278,B,9.18,0.85,58.53
SILV-279,pt,9.77,0.95,151.18
SILV-280,B,0.0,0.0,59.62
SILV-281,A,8.0,0.85,54.32
SILV-282,pt,13.55,0.95,152.34
SILV-283,C,0.0,0.0,9.6
SILV-284,A,0.0,0.0,10.5
SILV-285,A,0.0,0.85,24.01
SILV-286,B,12.75,0.85,134.07
SILV-287,C,0.0,0.85,56.58
SILV-288,C,18.67,0.95,334.07
SILV-289,A1,10.15,0.85,58.73
SILV-290,A,0.0,0.0,24.73
SILV-291,A1,13.05,0.85,68.29
SILV-292,B,13.09,0.85,62.05
SILV-293,A,9999.0,0.85,60.21
SILV-294,A,0.0,0.0,31.29
SILV-295,pt,13.09,0.95,135.83
SILV-296,Or,11.9,0.95,78.4
SILV-297,A,0.0,0.0,20.92
SILV-298,Bg,19.7,0.85,445.9
SILV-299,pt,0.0,0.0,33.13
SILV-300,D,14.04,0.95,67.96
SILV-301,A,0.0,0.0,68.76
SILV-302,A,11.79,0.95,65.32
SILV-303,pt,9999.0,0.85,36579.11
SILV-304,pt,13.06,0.95,144.34
SILV-305,B,13.72,0.95,88.88
SILV-306,C,16.3,0.85,395.71
SILV-307,pt,9999.0,0.95,36537.67
SILV-308,fa,12.06,0.95,211.29
SILV-309,Bg,12.0,0.95,141.31
SILV-310,Bg,18.72,0.85,316.35
SILV-311,A,9999.0,0.85,36273.95
SILV-312,A,9999.0,0.85,36267.35
