TARGET_FID_12_13,Join_Count,TARGET_FID_1,Full_sesti,Codice_1
2,2,49569,CN1800,LEON
3,2,49573,CN1801,LEON
5,1,49577,CN1802,LEON
7,1,49581,CN1803,LEON
15,1,70676,CN96B,GIOB
15,1,83171,CN96A,GIOB
17,1,70675,CN96C,GIOB
19,1,54962,CN97C,GERE
19,1,67252,CN97E,GERE
20,1,49585,CN1804,LEON
20,1,76692,CN1809,LEON
20,1,76696,CN1810,LEON
22,1,49592,CN1807,LEON
22,1,76687,CN1808,LEON
24,2,49658,CN1978,LEON
24,2,49651,CN1977,LEON
26,3,49647,CN1976,LEON
38,2,51740,CN51,GERE
38,2,51743,CN52,GERE
38,2,51746,CN53,GERE
38,2,51737,CN50,GERE
38,2,51734,CN49,GERE
39,1,54963,CN97B,GERE
40,1,54964,CN97A,GERE
40,1,54966,CN96,GERE
40,1,54965,CN97,GERE
41,2,82556,CN740,MACE
41,2,54641,CN740B,MACE
41,2,54638,CN740A,MACE
42,1,65743,CN813,MACE
45,1,54957,CN810,MACE
49,1,72840,CN95A,GERE
52,1,53435,CN1310,LEON
54,1,53440,CN1311,LEON
55,1,76333,CN1322D,LEON
55,1,53445,CN1322E,LEON
55,1,73818,CN1323,LEON
55,1,53444,CN1322F,LEON
55,1,73870,CN1325,LEON
60,1,51252,CN658A,LEON
60,1,65764,CN952,LEON
60,1,51219,CN956,LEON
60,1,51259,CN957,LEON
60,1,51249,CN959,LEON
60,1,51213,CN950,LEON
60,1,51256,CN957A,LEON
60,1,51216,CN951,LEON
62,1,51229,CN964,LEON
62,1,51222,CN961,LEON
62,1,51235,CN962,LEON
62,1,51225,CN965,LEON
62,1,51232,CN963,LEON
62,1,51238,CN966,LEON
64,1,51240,CN967,LEON
64,1,51243,CN968,LEON
64,1,51262,CN969,LEON
65,1,51271,CN977A,LEON
65,1,51265,CN977,LEON
65,1,51268,CN977B,LEON
66,1,51274,CN978,LEON
67,1,51277,CN979,LEON
68,1,51289,CN981A,LEON
68,1,51286,CN981,LEON
69,2,51338,CN986B,LEON
